Percentile	Sample_Name	PercentSnow	Age_yr
0.5	TM14-16	100	13892
0.841	TM14-16	100	14311
0.975	TM14-16	100	14723
0.025	TM14-17	100	14427
0.159	TM14-17	100	14765
0.5	TM14-17	100	15123
0.841	TM14-17	100	15485
0.975	TM14-17	100	15854
0.025	TM14-18	100	14551
0.159	TM14-18	100	14850
0.5	TM14-18	100	15174
0.841	TM14-18	100	15512
0.975	TM14-18	100	15855
0.025	UpLy-12-10	100	13712
0.159	UpLy-12-10	100	14079
0.5	UpLy-12-10	100	14489
0.841	UpLy-12-10	100	14934
0.975	UpLy-12-10	100	15365
