Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
UpLy-12-10--58	Be-10 (qtz)	14982	238	1223	14720	233	1143	14349	227	887	--	--	--
													
UpLy-12-10--59	Be-10 (qtz)	14475	234	1203	14235	230	1125	13865	224	872	--	--	--
													
UpLy-12-10--60	Be-10 (qtz)	14492	229	1179	14256	225	1103	13896	219	856	--	--	--
													
UpLy-12-10--61	Be-10 (qtz)	15424	249	1280	15090	243	1191	14746	237	926	--	--	--
													
UpLy-12-10--62	Be-10 (qtz)	15470	256	1318	15123	250	1224	14773	244	951	--	--	--
													
UpLy-12-10--63	Be-10 (qtz)	14699	234	1205	14450	230	1127	14088	224	875	--	--	--
													
UpLy-12-10--64	Be-10 (qtz)	14121	223	1146	13900	219	1073	13507	213	831	--	--	--
													
UpLy-12-10--65	Be-10 (qtz)	14817	235	1212	14560	231	1132	14201	225	880	--	--	--
													
UpLy-12-10--66	Be-10 (qtz)	14837	236	1217	14579	232	1137	14210	226	883	--	--	--
													
UpLy-12-10--67	Be-10 (qtz)	15430	247	1269	15096	241	1181	14759	236	919	--	--	--
													
UpLy-12-10--68	Be-10 (qtz)	15350	250	1287	15025	244	1197	14672	239	931	--	--	--
													
UpLy-12-10--69	Be-10 (qtz)	14638	236	1213	14391	232	1134	14034	226	881	--	--	--
													
UpLy-12-10--70	Be-10 (qtz)	14648	231	1190	14404	227	1113	14050	222	865	--	--	--
													
UpLy-12-10--71	Be-10 (qtz)	14473	233	1199	14234	229	1122	13860	223	869	--	--	--
													
UpLy-12-10--72	Be-10 (qtz)	15028	237	1220	14765	233	1140	14396	227	886	--	--	--
													
UpLy-12-10--73	Be-10 (qtz)	14136	223	1149	13917	220	1076	13518	213	832	--	--	--
													
UpLy-12-10--74	Be-10 (qtz)	14629	236	1216	14382	232	1137	14023	226	882	--	--	--
													
UpLy-12-10--75	Be-10 (qtz)	14507	229	1177	14270	225	1102	13918	219	856	--	--	--
													
UpLy-12-10--76	Be-10 (qtz)	14458	232	1194	14220	228	1117	13837	222	865	--	--	--
													
UpLy-12-10--77	Be-10 (qtz)	14592	232	1195	14350	228	1118	13993	223	868	--	--	--
													
UpLy-12-10--78	Be-10 (qtz)	15229	242	1245	14929	237	1161	14572	231	902	--	--	--
													
UpLy-12-10--79	Be-10 (qtz)	15223	246	1267	14921	241	1180	14554	235	917	--	--	--
													
UpLy-12-10--80	Be-10 (qtz)	14272	224	1153	14050	221	1080	13658	214	837	--	--	--
													
UpLy-12-10--81	Be-10 (qtz)	14579	234	1206	14336	230	1127	13981	224	875	--	--	--
													
UpLy-12-10--82	Be-10 (qtz)	14514	228	1174	14278	224	1099	13924	219	853	--	--	--
													
UpLy-12-10--83	Be-10 (qtz)	14949	239	1231	14686	235	1150	14316	229	893	--	--	--
													
UpLy-12-10--84	Be-10 (qtz)	14717	236	1217	14464	232	1138	14096	226	883	--	--	--
													
UpLy-12-10--85	Be-10 (qtz)	14456	228	1171	14222	224	1096	13856	218	851	--	--	--
													
UpLy-12-10--86	Be-10 (qtz)	15194	249	1283	14894	244	1196	14519	238	928	--	--	--
													
UpLy-12-10--87	Be-10 (qtz)	14344	228	1173	14115	224	1098	13733	218	851	--	--	--
													
UpLy-12-10--88	Be-10 (qtz)	15075	239	1232	14802	235	1150	14434	229	893	--	--	--
													
UpLy-12-10--89	Be-10 (qtz)	14992	236	1216	14731	232	1136	14366	226	883	--	--	--
													
UpLy-12-10--90	Be-10 (qtz)	14877	238	1224	14617	234	1144	14248	228	888	--	--	--
													
UpLy-12-10--91	Be-10 (qtz)	15057	241	1238	14786	236	1156	14415	230	898	--	--	--
													
UpLy-12-10--92	Be-10 (qtz)	14329	229	1178	14100	225	1103	13705	219	853	--	--	--
													
UpLy-12-10--93	Be-10 (qtz)	15043	240	1236	14775	236	1154	14404	230	896	--	--	--
													
UpLy-12-10--94	Be-10 (qtz)	14424	226	1166	14192	223	1091	13813	217	846	--	--	--
													
UpLy-12-10--95	Be-10 (qtz)	14866	234	1206	14609	230	1127	14246	224	876	--	--	--
													
UpLy-12-10--96	Be-10 (qtz)	15162	245	1261	14871	240	1176	14500	234	913	--	--	--
													
UpLy-12-10--97	Be-10 (qtz)	15007	237	1221	14744	233	1141	14372	227	886	--	--	--
													
UpLy-12-10--98	Be-10 (qtz)	14552	235	1210	14308	231	1131	13943	225	877	--	--	--
													
UpLy-12-10--99	Be-10 (qtz)	15474	252	1299	15129	246	1207	14778	241	938	--	--	--
													
UpLy-12-10--100	Be-10 (qtz)	14159	222	1144	13943	219	1072	13551	213	830	--	--	--
													
UpLy-12-10--101	Be-10 (qtz)	14492	230	1186	14255	226	1109	13892	221	861	--	--	--
													
UpLy-12-10--102	Be-10 (qtz)	14876	234	1203	14620	230	1124	14259	224	873	--	--	--
													
UpLy-12-10--103	Be-10 (qtz)	15191	243	1253	14896	239	1168	14532	233	907	--	--	--
													
UpLy-12-10--104	Be-10 (qtz)	14225	224	1154	14006	221	1081	13616	214	837	--	--	--
													
UpLy-12-10--105	Be-10 (qtz)	14519	228	1174	14283	224	1098	13927	219	853	--	--	--
													
UpLy-12-10--106	Be-10 (qtz)	14387	230	1184	14154	226	1107	13766	220	858	--	--	--
													
UpLy-12-10--107	Be-10 (qtz)	14729	234	1206	14478	230	1127	14119	224	875	--	--	--
													
UpLy-12-10--108	Be-10 (qtz)	14872	238	1226	14612	234	1145	14245	228	889	--	--	--
													
UpLy-12-10--109	Be-10 (qtz)	14439	227	1167	14207	223	1092	13840	217	848	--	--	--
													
UpLy-12-10--110	Be-10 (qtz)	15219	244	1257	14919	239	1172	14554	233	910	--	--	--
													
UpLy-12-10--111	Be-10 (qtz)	15370	246	1268	15045	241	1180	14698	235	918	--	--	--
													
UpLy-12-10--112	Be-10 (qtz)	14390	228	1173	14158	224	1097	13773	218	850	--	--	--
													
UpLy-12-10--113	Be-10 (qtz)	15123	245	1259	14838	240	1174	14465	234	911	--	--	--
													
UpLy-12-10--114	Be-10 (qtz)	14683	237	1218	14433	232	1138	14068	226	883	--	--	--
													
UpLy-12-10--115	Be-10 (qtz)	15038	237	1222	14773	233	1142	14408	227	887	--	--	--
													
UpLy-12-10--116	Be-10 (qtz)	14950	241	1242	14685	237	1160	14313	231	900	--	--	--
													
UpLy-12-10--117	Be-10 (qtz)	15068	243	1250	14794	238	1167	14420	232	906	--	--	--
													
UpLy-12-10--118	Be-10 (qtz)	14719	236	1215	14467	232	1136	14102	226	881	--	--	--
													
UpLy-12-10--119	Be-10 (qtz)	14945	239	1232	14682	235	1151	14311	229	893	--	--	--
													
UpLy-12-10--120	Be-10 (qtz)	14174	226	1165	13956	223	1091	13553	216	844	--	--	--
													
UpLy-12-10--121	Be-10 (qtz)	14730	235	1211	14478	231	1132	14117	225	879	--	--	--
													
UpLy-12-10--122	Be-10 (qtz)	14557	232	1193	14316	228	1116	13965	222	867	--	--	--
													
UpLy-12-10--123	Be-10 (qtz)	15022	243	1253	14754	239	1170	14372	233	907	--	--	--
													
UpLy-12-10--124	Be-10 (qtz)	15320	243	1249	15005	238	1163	14658	232	905	--	--	--
													
UpLy-12-10--125	Be-10 (qtz)	14893	235	1212	14634	231	1133	14268	225	880	--	--	--
													
UpLy-12-10--126	Be-10 (qtz)	14810	240	1236	14550	236	1154	14178	230	895	--	--	--
													
UpLy-12-10--127	Be-10 (qtz)	14522	228	1174	14285	224	1098	13934	219	853	--	--	--
													
UpLy-12-10--128	Be-10 (qtz)	14829	236	1216	14572	232	1137	14204	226	882	--	--	--
													
UpLy-12-10--129	Be-10 (qtz)	14669	231	1191	14424	227	1114	14068	222	865	--	--	--
													
UpLy-12-10--130	Be-10 (qtz)	15318	246	1264	15002	240	1177	14651	235	915	--	--	--
													
UpLy-12-10--131	Be-10 (qtz)	14879	235	1210	14621	231	1131	14255	225	879	--	--	--
													
UpLy-12-10--132	Be-10 (qtz)	14527	235	1212	14284	231	1133	13918	225	879	--	--	--
													
UpLy-12-10--133	Be-10 (qtz)	14221	223	1149	14003	220	1077	13613	214	834	--	--	--
													
UpLy-12-10--134	Be-10 (qtz)	15012	238	1227	14748	234	1146	14379	228	890	--	--	--
													
UpLy-12-10--135	Be-10 (qtz)	15341	247	1273	15020	242	1185	14673	236	922	--	--	--
													
