Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-16--1	Be-10 (qtz)	13105	256	1070	12888	252	1002	12838	251	800	--	--	--
													
TM14-16--2	Be-10 (qtz)	12922	252	1055	12669	247	985	12584	246	784	--	--	--
													
TM14-16--3	Be-10 (qtz)	12768	249	1042	12466	243	969	12361	241	770	--	--	--
													
TM14-16--4	Be-10 (qtz)	13069	255	1067	12849	251	999	12796	250	797	--	--	--
													
TM14-16--5	Be-10 (qtz)	13028	254	1063	12803	250	995	12742	249	794	--	--	--
													
TM14-16--6	Be-10 (qtz)	12909	252	1054	12653	247	983	12568	245	783	--	--	--
													
TM14-16--7	Be-10 (qtz)	12944	253	1057	12700	248	987	12620	246	786	--	--	--
													
TM14-16--8	Be-10 (qtz)	12857	251	1049	12584	246	978	12493	244	779	--	--	--
													
TM14-16--9	Be-10 (qtz)	12848	251	1049	12572	245	977	12478	244	778	--	--	--
													
TM14-16--10	Be-10 (qtz)	12836	251	1048	12556	245	976	12456	243	776	--	--	--
													
TM14-16--11	Be-10 (qtz)	13001	254	1061	12773	249	993	12703	248	792	--	--	--
													
TM14-16--12	Be-10 (qtz)	13034	254	1064	12809	250	996	12747	249	794	--	--	--
													
TM14-16--13	Be-10 (qtz)	12990	254	1060	12760	249	992	12684	248	791	--	--	--
													
TM14-16--14	Be-10 (qtz)	12785	250	1043	12488	244	971	12384	242	772	--	--	--
													
TM14-16--15	Be-10 (qtz)	13085	255	1068	12867	251	1000	12812	250	799	--	--	--
													
TM14-16--16	Be-10 (qtz)	12723	248	1038	12407	242	964	12293	240	766	--	--	--
													
TM14-16--17	Be-10 (qtz)	12901	252	1053	12642	247	983	12553	245	782	--	--	--
													
TM14-16--18	Be-10 (qtz)	12998	254	1061	12769	249	993	12692	248	791	--	--	--
													
