Years_B1950	d18O_IceVolCorrected
37412	-10.655
37442	-10.565
37471	-10.608
37500	-10.596
37527	-10.701
37555	-10.746
37583	-10.74
37612	-10.374
37640	-10.289
37695	-9.974
37722	-9.949
37749	-9.98
37776	-10
37803	-10.279
37830	-10.551
37857	-10.547
37884	-10.424
37909	-10.374
37936	-10.315
37962	-10.276
37989	-10.18
38015	-10.31
38040	-10.316
38065	-10.301
38092	-10.495
38117	-10.569
38142	-10.707
38167	-10.746
38192	-10.587
38217	-10.593
38243	-10.373
38267	-10.432
38292	-10.436
38317	-10.394
38341	-10.397
38390	-10.475
38414	-10.47
38439	-10.373
38463	-10.409
38487	-10.482
38511	-10.735
38535	-10.913
38560	-10.902
38583	-10.847
38606	-10.834
38630	-10.837
38654	-10.89
38678	-10.837
38701	-10.792
38724	-10.748
38748	-10.694
38772	-10.717
38795	-10.684
38819	-11.012
38842	-11.062
38866	-11.199
38889	-11.149
38913	-11.242
38936	-11.308
38959	-11.375
38983	-11.322
39007	-11.242
39030	-11.093
39053	-11.061
39078	-10.94
39101	-10.795
39125	-10.785
39148	-10.994
39171	-11.176
39195	-11.283
39218	-11.284
39242	-11.472
39264	-11.621
39287	-11.722
39310	-11.799
39333	-11.783
39356	-11.814
39378	-11.827
39400	-11.821
39422	-11.861
39444	-11.342
39465	-11.688
39487	-11.715
39508	-11.722
39529	-11.649
39550	-11.512
39570	-11.403
39590	-11.26
39610	-11.299
39630	-11.347
39650	-11.468
39669	-11.676
39688	-11.58
39706	-12.054
39722	-11.863
39743	-11.851
39760	-11.718
39778	-11.662
39795	-11.763
39812	-11.791
39828	-11.767
39844	-11.82
39861	-11.815
39892	-11.642
39906	-11.641
39921	-11.602
39935	-11.649
39949	-11.585
39962	-11.444
39976	-11.333
39989	-11.334
40002	-11.396
40014	-11.513
40027	-11.583
40039	-11.723
40052	-11.679
40064	-11.67
40075	-11.63
40087	-11.639
40099	-11.828
40110	-11.739
40122	-11.887
40133	-11.88
40145	-11.918
40157	-11.953
40168	-11.918
40179	-12.021
40190	-11.962
40201	-11.965
40212	-11.925
40224	-11.692
40236	-11.504
40247	-11.493
40259	-11.4
40270	-11.223
40282	-11.279
40294	-11.142
40306	-11.078
40317	-11.13
40329	-11.087
40341	-11.246
40353	-11.445
40366	-11.503
40378	-11.511
40390	-11.442
40402	-11.397
40414	-11.555
40427	-11.353
40439	-11.414
40451	-11.345
40464	-11.34
40476	-11.372
40489	-11.356
40502	-11.386
40514	-11.455
40527	-11.449
40539	-11.58
40551	-11.626
40564	-11.75
40577	-11.711
40589	-11.738
40602	-11.668
40615	-11.623
40628	-11.671
40640	-11.67
40653	-11.641
40665	-11.706
40678	-11.777
40690	-11.75
40703	-11.814
40715	-11.825
40727	-11.944
40740	-12.037
40753	-11.974
40765	-11.852
40777	-11.876
40789	-11.799
40802	-11.671
40815	-11.549
40827	-11.487
40840	-11.457
40853	-11.526
40866	-11.667
40878	-11.697
