Station_ID	Year	January	February	March	April	May
PDS	2005		2.2075	-7.336451613	-11.381	-21.99419355
PDS	2006		-4.275	-0.188709677	0.675	-35.07967742
PDS	2007		4.370714286	-1.966451613	-5.196666667	-7.833225806
PDS	2008		-0.769310345	-6.471612903	-8.954	-17.89709677
SNF	1989		3.272857143	6.971935484		
SNF	1990		-0.4975	-1.246612903	-20.15466667	-18.8183871
SNF	1991		0.92	17.39677419	-4.193666667	-1.95516129
SNF	1992		5.123793103	0.279193548	-3.524666667	-9.707419355
SNF	1993		1.493214286	-5.616612903	-9.165666667	-26.26483871
SNF	1994		4.572857143	-2.883387097	-4.423	-10.98258065
SNF	1995		-2.014285714	13.47096774	0.3	-11.77096774
SNF	1996					
SNF	1997					
SNF	1998		12.11428571	-10.04285714		
STR	1989		5.515	5.624516129	-11.19233333	-6.662258065
STR	1990		3.167142857	1.271129032	-6.638	-3.657741935
STR	1991		1.338214286	13.30129032	2.613666667	-7.146129032
STR	1992		4.925172414	2.207258065	-8.193666667	-3.362580645
STR	1993		6.932142857	-2.056774194	0.469833333	-18.25
STR	1994		4.898571429	-2.113548387	-8.002666667	-5.198064516
STR	1995		-0.482142857	13.82064516	-1.186333333	-11.40935484
STR	1996		5.404137931	4.360645161	-1.090333333	-20.80354839
STR	1997		4.9375	0.347741935	-2.256	-20.08580645
STR	1998		14.11357143	-3.068064516	-1.195333333	-10.22580645
STR	1999		2.473214286	2.764516129	4.885	-6.847096774
STR	2000		2.831034483	-3.723225806	-11.56366667	-16.24645161
STR	2001		3.841428571	0.835806452	0.569666667	-16.91354839
STR	2002		0.655357143	2.005806452	0.674333333	-8.185806452
STR	2003		-0.7325	-0.138064516	4.288333333	-1.507096774
STR	2004		0.89	-4.758064516	-29.08733333	-9.338387097
STR	2005		-5.541785714	-5.470645161	-4.122333333	-18.32064516
STR	2006		-1.603571429	5.293548387	5.57	-22.41290323
STR	2007		1.711428571	-5.523548387	-6.104333333	-5.390322581
STR	2008		-0.004137931	-1.207741935	-9.579	-13.48225806
TNY	1999		7.575	-0.758064516	0.04	-11.27419355
TNY	2000			1.435483871	-3.843333333	-6.587096774
TNY	2001		1.842857143	1.222580645	3.083333333	-15.90645161
TNY	2002		1.171428571	1.880645161	-7.253333333	-9.761290323
TNY	2003		1.743214286	1.59516129	6.005333333	0.963548387
TNY	2004		0.75137931	-5.959032258	-6.318666667	-7.950645161
TNY	2005		-3.746071429	-2.647096774	-3.877666667	-11.23322581
TNY	2006		-2.42	5.67	4.336333333	-15.33967742
TNY	2007		5.197142857	-1.010645161	-2.168	-7.801290323
TNY	2008		2.836206897	-3.543548387	-5.322666667	-15.20032258
VLC	1990				-1.975666667	
VLC	1991				-1.172666667	
VLC	1992				-0.804666667	
VLC	1993				-5.888833333	
VLC	1994				-3.252833333	
VLC	1995		-21.21071429		-7.5	
VLC	1996				1.985333333	
VLC	1997				-5.202333333	
VLC	1998				-3.771333333	
VLC	1999				-4.05	-11.85129032
VLC	2000				-1.801333333	-9.529354839
VLC	2001				0.864333333	
VLC	2002		-0.123571429	0.711612903	-4.595666667	-8.979354839
VLC	2003		0.713571429	-0.342580645	1.831666667	2.723548387
VLC	2004				-2.461333333	
VLC	2005				-2.526666667	
VLC	2006		0.273928571		7.827666667	-17.74387097
VLC	2007				-4.398333333	
VLC	2008				-3.789	
AGP	1990		3.971785714	1.042258065	-0.398	
AGP	1991		-1.4	8.86483871	-3.361666667	
AGP	1992		3.05	0.753709677	-2.386	
AGP	1993		4.074642857	-2.782258065	1.652666667	
AGP	1994		4.446071429	1.508064516	-0.979666667	
AGP	1995		-2.7925	11.36290323	-1.738333333	
AGP	1996		6.092758621	4.116774194	-10.2044	
AGP	1997					
AGP	1998					
AGP	1999		6.86	-0.021290323		
AGP	2000		14.79517241	7.326451613	4.856666667	
AGP	2001		1.501428571	-2.672580645	-13.64733333	
AGP	2002		-1.397857143	-0.395483871	-9.077	
AGP	2003			-3.390967742	-1.173	
AGP	2004			-9.444516129	-8.451	
AGP	2005		-8.628928571	-10.46322581	14.55357143	
AGP	2006			-6.801612903	-14.02966667	
AGP	2007				0.181333333	
AGP	2008				-4.287	
HTT	1988		-0.2	0.60483871	-3.6	-1.7
HTT	1989		4.2375	1.619354839	-12.7	0
HTT	1990				-9.754333333	
HTT	1991				-2.864666667	
HTT	1992				-5.548666667	
HTT	1993				-2.285333333	
HTT	1994				-3.216833333	
HTT	1995				-3.332666667	
HTT	1996				10.67590909	
HTT	1997				-3.561666667	
HTT	1998				0.887333333	
HTT	1999				4.022	
HTT	2000				-7.487333333	
