Percentile	Sample_Name	PercentSnow	Age_yr
0.025	TM14-07	100	14187
0.159	TM14-07	100	15198
0.5	TM14-07	100	16264
0.841	TM14-07	100	17349
0.975	TM14-07	100	18416
0.025	TM14-11	100	12505
0.159	TM14-11	100	13421
0.5	TM14-11	100	14389
0.841	TM14-11	100	15377
0.975	TM14-11	100	16350
0.025	TM14-12	100	13595
0.159	TM14-12	100	14551
0.5	TM14-12	100	15554
0.841	TM14-12	100	16571
0.975	TM14-12	100	17567
0.025	TM14-13	100	19848
0.159	TM14-13	100	21308
0.5	TM14-13	100	22855
0.841	TM14-13	100	24442
0.975	TM14-13	100	26021
0.025	TM14-15	100	13389
0.159	TM14-15	100	14315
0.5	TM14-15	100	15285
0.841	TM14-15	100	16264
0.975	TM14-15	100	17216
0.025	TM14-16	100	12119
0.159	TM14-16	100	12985
0.5	TM14-16	100	13897
0.841	TM14-16	100	14824
0.975	TM14-16	100	15731
0.025	TM14-17	100	13234
0.159	TM14-17	100	14157
0.5	TM14-17	100	15123
0.841	TM14-17	100	16097
0.975	TM14-17	100	17044
0.025	TM14-18	100	13302
0.159	TM14-18	100	14219
0.5	TM14-18	100	15178
0.841	TM14-18	100	16144
0.975	TM14-18	100	17082
0.025	UpLy-12-10	100	12627
0.159	UpLy-12-10	100	13533
0.5	UpLy-12-10	100	14493
0.841	UpLy-12-10	100	15475
0.975	UpLy-12-10	100	16442
