Depth_mm	d18O	Years_B1950
231.4	-7.87	18835
231.6	-7.39	18836
231.8	-7.30	18836
232.0	-7.20	18836
232.2	-7.29	18837
232.4	-7.66	18837
232.6	-7.19	18837
232.8	-6.84	18838
233.0	-6.36	18838
233.2	-6.51	18838
233.4	-6.79	18838
233.6	-7.17	18839
233.8	-6.84	18839
234.0	-7.19	18839
234.2	-7.19	18840
234.4	-6.63	18840
234.6	-7.06	18840
234.8	-6.90	18841
235.0	-6.76	18843
235.2	-6.53	18848
235.4	-7.04	18853
235.6	-7.04	18858
235.8	-6.97	18863
236.0	-7.40	18868
236.2	-7.38	18873
236.4	-7.18	18878
236.6	-7.05	18883
236.8	-7.26	18889
237.0	-6.93	18894
237.2	-6.64	18899
237.4	-6.42	18904
237.6	-6.33	18909
237.8	-6.75	18914
238.0	-6.73	18919
238.2	-7.47	18924
238.4	-7.30	18929
238.6	-7.25	18934
238.8	-7.04	18939
239.0	-7.27	18944
239.2	-7.30	18949
239.4	-7.38	18955
239.6	-6.96	18960
239.8	-6.75	18965
240.0	-6.79	18970
240.2	-6.69	18975
240.4	-6.67	18980
240.6	-6.65	18985
240.8	-6.53	18990
241.0	-6.41	18995
241.2	-6.84	19000
241.4	-6.99	19005
241.6	-7.08	19010
241.8	-7.25	19015
242.0	-7.21	19021
242.2	-6.87	19026
242.4	-6.89	19031
242.6	-6.87	19036
242.8	-6.79	19041
243.0	-7.04	19046
243.2	-6.96	19051
243.4	-7.00	19056
243.6	-6.89	19061
243.8	-7.12	19066
244.0	-7.06	19071
244.2	-6.60	19076
244.4	-6.53	19081
244.6	-6.88	19086
244.8	-7.08	19092
245.0	-6.85	19097
245.2	-7.18	19102
245.4	-6.62	19112
245.6	-6.16	19122
245.8	-6.65	19132
246.0	-6.54	19142
246.2	-6.89	19152
246.4	-7.44	19163
246.6	-7.35	19173
246.8	-6.80	19183
247.0	-6.26	19193
247.2	-6.81	19203
247.4	-7.27	19213
247.6	-7.39	19224
247.8	-7.14	19234
248.0	-6.71	19244
248.2	-6.21	19254
248.4	-6.34	19259
248.6	-6.44	19264
248.8	-6.27	19269
249.0	-6.35	19274
249.2	-6.32	19279
249.4	-6.41	19284
249.6	-6.69	19289
249.8	-6.88	19295
250.0	-6.93	19300
250.2	-7.10	19305
250.4	-7.31	19310
250.6	-7.43	19315
250.8	-7.03	19320
251.0	-6.60	19325
251.2	-6.93	19330
251.4	-6.83	19335
251.6	-6.57	19340
251.8	-6.68	19345
252.0	-6.73	19350
252.2	-6.65	19355
252.4	-6.99	19361
252.6	-6.83	19366
252.8	-6.86	19371
253.0	-6.86	19376
253.2	-6.72	19381
253.4	-6.75	19386
253.6	-6.42	19391
253.8	-6.50	19396
254.0	-6.32	19401
254.2	-6.31	19406
254.4	-6.49	19411
254.6	-6.42	19440
254.8	-6.52	19477
255.0	-6.60	19515
255.2	-6.53	19552
255.4	-6.45	19590
255.6	-6.38	19627
255.8	-6.48	19664
256.0	-6.55	19702
256.2	-6.78	19739
256.4	-6.66	19777
256.6	-6.58	19814
256.8	-6.47	19851
257.0	-6.39	19889
257.2	-6.39	19926
257.4	-6.35	19964
257.6	-6.43	20001
257.8	-6.40	20038
258.0	-6.26	20076
258.2	-6.03	20113
258.4	-6.18	20151
258.6	-6.22	20188
258.8	-6.07	20225
259.0	-5.82	20263
259.2	-5.98	20300
259.4	-6.05	20316
259.6	-5.92	20330
259.8	-5.98	20344
260.0	-6.14	20357
260.2	-6.12	20371
260.4	-6.08	20384
260.6	-6.12	20398
260.8	-6.16	20411
261.0	-6.11	20425
261.2	-6.27	20438
261.4	-5.99	20452
261.6	-6.17	20465
261.8	-6.44	20479
262.0	-6.21	20492
262.2	-6.23	20506
262.4	-6.25	20519
262.6	-6.13	20533
262.8	-6.31	20546
263.0	-6.39	20560
263.2	-6.56	20574
263.4	-6.55	20587
263.6	-6.33	20601
263.8	-6.28	20614
264.0	-6.46	20628
264.2	-6.46	20641
264.4	-6.64	20656
264.6	-6.57	20673
264.8	-6.48	20690
265.0	-6.63	20707
265.2	-6.60	20723
265.4	-6.53	20740
265.6	-6.38	20757
265.8	-6.46	20774
266.0	-6.36	20791
266.2	-6.42	20808
266.4	-6.10	20825
266.6	-6.22	20842
266.8	-6.29	20859
267.0	-6.21	20876
267.2	-5.97	20893
267.4	-6.29	20910
267.6	-6.44	20927
267.8	-6.20	20944
268.0	-6.26	20961
268.2	-6.16	20978
268.4	-6.10	20995
268.6	-6.03	21011
268.8	-6.04	21028
269.0	-6.01	21045
269.2	-6.01	21062
269.4	-5.90	21079
269.6	-6.01	21096
269.8	-6.25	21113
270.0	-6.45	21130
270.2	-6.37	21147
270.4	-6.36	21164
270.6	-6.33	21181
270.8	-6.29	21198
271.0	-6.69	21215
271.2	-6.68	21232
271.4	-6.62	21249
271.6	-6.67	21266
271.8	-6.72	21283
272.0	-6.71	21299
272.2	-6.74	21316
272.4	-6.77	21333
272.6	-6.63	21350
272.8	-6.66	21367
273.0	-6.64	21384
273.2	-6.84	21401
273.4	-6.84	21418
273.6	-6.55	21435
273.8	-6.62	21452
274.0	-6.70	21469
274.2	-6.59	21486
274.4	-6.63	21503
274.6	-6.64	21520
274.8	-6.65	21537
275.0	-6.71	21554
275.2	-6.75	21571
275.4	-6.72	21587
275.6	-6.94	21604
275.8	-6.86	21621
276.0	-6.78	21638
276.2	-6.72	21655
276.4	-6.69	21672
276.6	-6.64	21689
276.8	-6.40	21706
277.0	-6.61	21723
277.2	-6.71	21740
277.4	-6.74	21757
277.6	-6.77	21774
277.8	-6.71	21791
278.0	-6.51	21808
278.2	-6.37	21825
278.4	-6.50	21842
278.6	-6.46	21859
278.8	-6.19	21876
279.0	-6.25	21892
279.2	-6.29	21909
279.4	-6.26	21926
279.6	-6.00	21943
279.8	-5.94	21960
