Depth_mm	d18O	Years_B1950
49.0	-7.54	12785
49.2	-7.58	12790
49.3	-7.44	12794
49.5	-7.84	12798
49.7	-7.78	12803
49.8	-7.95	12807
50.0	-7.72	12811
50.2	-7.77	12816
50.3	-7.87	12820
50.5	-8.03	12825
50.7	-7.87	12829
50.8	-7.78	12833
51.0	-8.02	12838
51.2	-8.03	12842
51.3	-7.86	12846
51.5	-8.06	12851
51.7	-8.06	12855
51.8	-8.00	12859
52.0	-8.10	12864
52.2	-8.25	12868
52.3	-8.16	12873
52.5	-8.33	12877
52.7	-8.15	12881
52.8	-8.45	12886
53.0	-8.36	12890
53.2	-8.33	12894
53.3	-8.59	12899
53.5	-8.62	12903
53.7	-8.56	12907
53.8	-8.62	12912
54.0	-8.67	12916
54.2	-8.56	12921
54.3	-8.29	12925
54.5	-8.56	12929
54.7	-8.41	12934
54.8	-8.30	12938
55.0	-8.27	12942
55.2	-8.15	12947
55.3	-8.30	12951
55.5	-8.38	12955
55.7	-8.38	12960
55.8	-8.43	12964
56.0	-8.40	12969
56.2	-8.38	12974
56.4	-8.41	12979
56.6	-8.48	12984
56.8	-8.37	12989
57.0	-8.38	12995
57.2	-8.45	13000
57.4	-8.30	13005
57.6	-8.30	13010
57.8	-8.28	13016
58.0	-8.29	13021
58.2	-8.02	13026
58.4	-8.16	13031
58.6	-8.14	13037
58.8	-8.13	13042
59.0	-8.10	13047
59.2	-8.04	13051
59.4	-8.22	13056
59.6	-8.14	13061
59.8	-8.17	13067
60.0	-8.05	13072
60.2	-7.93	13077
60.4	-7.85	13082
60.6	-8.02	13088
60.8	-8.00	13093
61.0	-8.03	13098
61.2	-8.09	13103
61.4	-8.09	13109
61.6	-8.06	13114
61.8	-8.17	13119
62.0	-8.08	13124
62.2	-8.07	13130
62.4	-8.10	13135
62.6	-7.96	13140
62.8	-7.71	13145
63.0	-7.85	13150
63.2	-7.99	13156
63.4	-7.94	13161
63.6	-7.87	13166
63.8	-7.94	13171
64.0	-7.87	13177
64.2	-7.72	13182
64.4	-7.86	13187
64.6	-7.94	13192
64.8	-7.96	13198
65.0	-7.99	13203
65.2	-7.98	13208
65.4	-7.88	13214
65.6	-7.87	13219
65.8	-7.96	13225
66.0	-8.14	13230
66.2	-8.36	13236
66.4	-8.45	13241
66.6	-8.37	13246
66.8	-8.35	13251
67.0	-8.38	13256
67.2	-8.35	13262
67.4	-8.36	13267
67.6	-8.26	13272
67.8	-8.36	13277
68.0	-8.33	13283
68.2	-8.56	13288
68.4	-8.48	13293
68.6	-8.58	13298
68.8	-8.38	13304
69.0	-8.40	13309
69.2	-8.26	13314
69.4	-8.34	13319
69.6	-8.28	13325
69.8	-8.29	13330
70.0	-8.09	13335
70.2	-8.09	13340
70.4	-8.01	13345
70.6	-8.33	13351
70.8	-8.21	13356
71.0	-8.34	13361
71.2	-8.46	13366
71.4	-8.48	13372
71.6	-8.32	13377
71.8	-8.20	13382
72.0	-8.16	13387
72.2	-7.97	13393
72.4	-8.03	13398
72.6	-8.19	13403
72.8	-8.14	13408
73.0	-8.37	13414
73.2	-8.25	13419
73.4	-8.20	13424
73.6	-8.15	13429
73.8	-8.14	13434
74.0	-8.26	13440
74.2	-8.23	13445
74.4	-8.21	13450
74.6	-8.10	13455
74.8	-8.14	13461
75.0	-8.14	13466
75.2	-8.17	13471
75.4	-8.02	13476
75.6	-7.94	13482
75.8	-8.10	13487
76.0	-8.16	13492
76.2	-8.13	13497
76.4	-8.08	13503
76.6	-8.03	13508
76.8	-8.23	13513
77.0	-8.05	13518
77.2	-8.03	13523
77.4	-8.37	13529
77.6	-8.22	13534
77.8	-8.10	13539
78.0	-8.19	13544
78.2	-8.28	13550
78.4	-8.24	13555
78.6	-8.22	13560
78.8	-8.00	13565
79.0	-7.87	13571
79.2	-8.09	13576
79.4	-8.31	13581
79.6	-8.18	13586
79.8	-8.14	13591
80.0	-8.11	13597
80.2	-8.12	13602
80.4	-8.20	13607
80.6	-8.15	13612
80.8	-8.12	13618
81.0	-8.06	13623
81.2	-7.87	13628
81.4	-8.02	13633
81.6	-8.05	13639
81.8	-8.07	13644
82.0	-8.32	13649
82.2	-8.14	13654
82.4	-8.26	13660
82.6	-8.24	13665
82.8	-8.22	13670
83.0	-8.22	13675
83.2	-8.27	13680
83.4	-8.17	13686
83.6	-8.22	13691
83.8	-8.20	13696
84.0	-8.29	13701
84.2	-8.18	13707
84.4	-8.19	13712
84.6	-8.39	13717
84.8	-8.36	13722
85.0	-8.38	13728
85.2	-8.05	13733
85.4	-8.16	13738
85.6	-8.28	13743
85.8	-8.25	13749
86.0	-8.20	13754
86.2	-8.26	13759
86.4	-8.30	13764
86.6	-8.17	13769
86.8	-8.21	13775
87.0	-8.20	13780
87.2	-8.36	13784
87.4	-8.22	13785
87.6	-8.32	13787
87.8	-8.20	13788
88.0	-8.21	13789
88.2	-8.18	13791
88.4	-8.18	13792
88.6	-8.08	13793
88.8	-8.26	13795
89.0	-8.17	13796
89.2	-8.02	13798
89.5	-8.13	13799
89.7	-8.14	13800
89.9	-7.95	13802
90.1	-8.12	13803
90.3	-8.21	13804
90.5	-8.16	13806
90.7	-8.17	13807
90.9	-8.04	13809
91.1	-8.08	13810
91.3	-8.13	13811
91.5	-8.07	13813
91.7	-8.06	13815
92.0	-8.06	13821
92.2	-8.02	13827
92.4	-8.04	13834
92.6	-8.02	13840
92.8	-7.85	13846
93.0	-8.04	13852
93.2	-8.11	13858
93.4	-8.07	13865
93.6	-8.02	13871
93.8	-8.00	13877
94.0	-7.91	13883
94.2	-7.95	13889
94.4	-7.87	13896
94.7	-7.79	13902
94.9	-7.88	13908
95.1	-7.93	13914
95.3	-7.89	13920
95.5	-7.81	13927
95.7	-7.83	13933
95.9	-7.86	13939
96.1	-7.76	13945
96.3	-7.55	13951
96.5	-7.77	13958
96.7	-7.75	13964
96.9	-7.65	13970
97.2	-7.62	13976
97.4	-7.46	13982
97.6	-7.52	13989
97.8	-7.45	13995
98.0	-7.56	14001
98.2	-7.37	14007
98.4	-7.45	14013
98.6	-7.40	14020
98.8	-7.39	14026
99.0	-7.37	14032
99.2	-7.17	14038
99.4	-7.33	14044
99.6	-7.27	14051
99.9	-7.30	14057
100.1	-7.38	14063
100.3	-7.46	14069
100.5	-7.40	14075
100.7	-7.51	14082
100.9	-7.52	14088
101.1	-7.62	14094
101.3	-7.57	14100
101.5	-7.44	14106
101.7	-7.59	14113
101.9	-7.50	14119
102.1	-7.77	14125
102.4	-7.75	14131
102.6	-7.76	14137
102.8	-7.61	14144
103.0	-7.87	14150
103.2	-7.77	14156
103.4	-7.73	14162
103.6	-7.92	14168
103.8	-7.77	14175
104.0	-8.04	14181
104.2	-7.96	14187
104.4	-7.96	14193
104.6	-7.92	14199
104.8	-7.98	14206
105.1	-7.91	14212
105.3	-8.02	14218
105.5	-7.90	14224
105.7	-7.88	14230
105.9	-7.95	14237
106.1	-8.00	14243
106.3	-7.99	14249
106.5	-8.00	14255
106.7	-7.87	14261
106.9	-7.92	14268
107.1	-7.95	14274
107.3	-8.03	14280
107.6	-8.08	14286
107.8	-8.21	14292
108.0	-8.27	14299
108.2	-7.98	14305
108.4	-8.09	14311
108.6	-7.95	14317
108.8	-8.06	14323
109.0	-8.00	14330
109.2	-7.97	14336
109.4	-7.84	14342
109.6	-8.02	14348
109.8	-8.03	14354
110.0	-7.89	14361
110.3	-7.92	14367
110.5	-7.95	14373
