Sample_Name	Latitude_DD	Longitude_DD	Elevation_m	Boulder_Height_m	Month	Est_Avg_SWE_m	Est_SWE_SD	Est_Avg_Snow_Density	Est_Snow_Density_SD	Est_Avg_Snow_Depth_m	Est_Snow_Depth_SD	Snow_Surf_Rel_to_Sample_m	monthly_Ssnow	monthly_Ssnow_SD	annual_Ssnow	annual_Ssnow_SD
TM14-13	37.88072	-119.39328	2676.9	0.65	February	0.533209363	0.121627313	0.34613802	0.022566122	1.546866582	0.36707233	0.897078895	0.801051683	0.075109408	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	February	0.531915791	0.119976827	0.346525913	0.020938106	1.541035646	0.361326978	0.673714673	0.859545008	0.069843356	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	February	0.545610147	0.117364925	0.348627027	0.021580587	1.570533916	0.35105701	0.595543743	0.870119998	0.069826198	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	February	0.554268277	0.122256272	0.347227352	0.021512529	1.603770771	0.373303104	0.805446065	0.839877602	0.067601141	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	February	0.550970597	0.123615653	0.347478422	0.020369809	1.590980685	0.369538271	0.171078185	0.961693311	0.05092532	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	March	0.74128571	0.173932122	0.373977248	0.02105714	1.987128992	0.473817492	0.301407103	0.928310949	0.079420333	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	March	0.748381344	0.170432206	0.373743642	0.020585948	2.00826701	0.469061806	1.259116583	0.751746546	0.082393067	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	March	0.742958155	0.178534963	0.373212325	0.021049089	1.996395384	0.491775587	1.147003624	0.760370334	0.091364948	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	March	0.702295922	0.161434242	0.366988524	0.020560393	1.919911771	0.455960499	0.025809306	0.99397156	0.024313578	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	March	0.715417789	0.176790082	0.369640354	0.020877574	1.941773723	0.492265878	1.482376397	0.674647723	0.091262804	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	March	0.690680867	0.165374588	0.36664348	0.020348179	1.888937903	0.462352353	0.80045829	0.839135501	0.085265454	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	March	0.697085399	0.166012571	0.366925624	0.021295302	1.906244447	0.467811622	0.024615665	0.994663379	0.02255508	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	March	0.69727032	0.170451312	0.366435976	0.021428761	1.909187064	0.477882139	1.112240496	0.77015089	0.089014177	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	March	0.692891479	0.161708597	0.367370467	0.021699942	1.891810063	0.453287475	1.073222534	0.777971148	0.084219	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	March	0.705440353	0.170905231	0.367208506	0.021413231	1.928288549	0.484022992	0.647482763	0.866022645	0.087164566	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	March	0.697905216	0.167998646	0.366770699	0.021140337	1.908879533	0.472433831	0.719464823	0.84567655	0.090113554	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	March	0.704655599	0.160432168	0.366917256	0.021199192	1.928236757	0.456832231	1.278027493	0.728584614	0.085687291	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	March	0.694281336	0.168995334	0.366653277	0.020649104	1.899944373	0.478559868	0.511180987	0.889070946	0.084517425	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	March	0.686144366	0.166801321	0.367105941	0.020996652	1.874723446	0.465966813	1.224625719	0.725826448	0.092983466	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	March	0.682466377	0.167422482	0.365280305	0.020801921	1.87377148	0.470452208	1.007318008	0.788140353	0.087850165	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	March	0.721321024	0.168771519	0.370002339	0.020365706	1.955643444	0.470541687	0.978199695	0.7849855	0.093410611	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	March	0.711713873	0.162282726	0.367722441	0.022386612	1.943050767	0.460825868	1.143236908	0.769843404	0.081578769	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	March	0.703724386	0.165877542	0.368219104	0.020263102	1.917699257	0.469442834	0.423637705	0.901879036	0.087471889	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	April	0.843604615	0.222115246	0.385668607	0.020814823	2.194588236	0.593858241	0.480805744	0.885742251	0.108548248	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	April	0.843045051	0.214429482	0.385403031	0.022460874	2.196268651	0.577702314	1.447975356	0.715334191	0.09764433	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	April	0.842835544	0.208319905	0.385635156	0.021032223	2.191587972	0.555611265	1.342110537	0.719049539	0.0998189	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	April	0.726282322	0.210699244	0.371576785	0.020717136	1.960465396	0.579347829	0.064007901	0.984899255	0.0430224	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	April	0.758819551	0.210678961	0.375905307	0.020876371	2.026201267	0.578521763	1.567119467	0.656885054	0.106413305	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	April	0.721212848	0.206340758	0.370153322	0.021314705	1.954967395	0.571393229	0.874678675	0.825381501	0.101380419	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	April	0.718827749	0.212726344	0.370340233	0.020346408	1.946937854	0.58887543	0.05715664	0.98764894	0.036659721	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	April	0.718796755	0.210915666	0.37154506	0.021398053	1.941951393	0.586422635	1.147262467	0.763766079	0.106052447	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	April	0.718464267	0.208542664	0.370955183	0.020320616	1.941447116	0.568953967	1.127447136	0.768242427	0.103656647	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	April	0.740774387	0.210233529	0.372336965	0.020561139	1.996729391	0.580607494	0.731040803	0.848870458	0.101764588	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	April	0.722267486	0.208009692	0.369418946	0.021203846	1.962988612	0.582525744	0.786863413	0.833234752	0.105615882	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	April	0.699893765	0.217374611	0.368418431	0.02037004	1.90618045	0.600992924	1.259857016	0.734122872	0.11102631	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	April	0.725502845	0.209718564	0.368954898	0.020727004	1.974763904	0.58868534	0.600174905	0.87148628	0.102606258	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	April	0.710216557	0.203652715	0.368731661	0.021214221	1.931479684	0.558759353	1.283391918	0.716066954	0.107685839	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	April	0.705808012	0.217079432	0.367727563	0.021997702	1.926685432	0.600966217	1.066068246	0.778354426	0.109999505	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	April	0.740656324	0.207772407	0.373663832	0.021122356	1.987518197	0.569022445	1.014339201	0.778713426	0.108724454	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	April	0.740440373	0.21190512	0.372923348	0.020142514	1.989468442	0.570963927	1.191418886	0.760356702	0.102439374	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	April	0.745275393	0.211879337	0.374481802	0.021038948	1.994892245	0.573193201	0.517318288	0.880509798	0.103109676	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	May	0.77746285	0.183981392	0.376709839	0.021586237	2.071567319	0.508828814	0.372049277	0.912002742	0.090148534	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	May	0.771572285	0.182116405	0.377662406	0.020970351	2.048330206	0.493223656	1.29890422	0.742958478	0.086952962	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	May	0.773889232	0.172823529	0.375773454	0.021556215	2.065902574	0.476903055	1.215669319	0.746156214	0.088308245	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	May	0.487956326	0.167333553	0.338838962	0.02103153	1.44440086	0.501220511	0.005508182	0.998706675	0.011645666	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	May	0.569399144	0.174238739	0.351024156	0.021700968	1.630561116	0.513134888	1.173640105	0.745766098	0.097469982	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	May	0.494477554	0.172210852	0.340880904	0.021440896	1.456273248	0.515554153	0.434236216	0.916879505	0.075925723	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	May	0.489358171	0.172003118	0.339457567	0.020588641	1.445492182	0.512496911	0.005186207	0.998973747	0.008455479	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	May	0.487277906	0.175297272	0.339584088	0.022265992	1.442535607	0.531263596	0.670453114	0.866448136	0.090897736	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	May	0.483323353	0.16537454	0.338846458	0.020624462	1.431891987	0.495885677	0.639247779	0.872492752	0.085304547	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	May	0.478347636	0.170959336	0.339845722	0.020967955	1.412406479	0.513254108	0.265871921	0.947463581	0.066319557	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	May	0.469820819	0.167231203	0.338363865	0.020876979	1.394208164	0.505364636	0.311380869	0.9367281	0.071474589	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	May	0.458694386	0.176045454	0.33585141	0.021080028	1.36968339	0.531092012	0.738504298	0.848771795	0.094931058	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	May	0.455283727	0.171290843	0.336315565	0.021500378	1.358893164	0.517383778	0.173632359	0.964447176	0.055534934	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	May	0.461684224	0.174199574	0.335672771	0.020129272	1.380841077	0.525664975	0.750937807	0.837843394	0.099172329	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	May	0.445904625	0.168979113	0.333609675	0.021298251	1.341559772	0.514689773	0.521318704	0.895425746	0.083925513	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	May	0.529799547	0.175007034	0.345183605	0.020698064	1.541561056	0.517603775	0.594245952	0.874131433	0.093223263	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	May	0.532267392	0.169803019	0.345234768	0.020804906	1.546474217	0.500567124	0.762230395	0.850557479	0.085813227	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	May	0.532064917	0.170791785	0.34723847	0.02125977	1.538359851	0.504473353	0.197298339	0.956539138	0.062413129	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	June	0.229749777	0.105785994	0.305688705	0.021142028	0.756536614	0.346389748	0.000150735	0.999971371	0.00078293	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	June	0.227791764	0.107570502	0.307022561	0.021465601	0.746339148	0.351058285	0.138968697	0.974856588	0.03766967	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	June	0.223127776	0.10405223	0.306159822	0.021538799	0.733396613	0.339947908	0.087233499	0.983271885	0.030968694	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	June	0.124870381	0.090376158	0.29315542	0.02185745	0.44024162	0.289503553	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	June	0.155058337	0.093236369	0.297089851	0.021781569	0.530246557	0.308215819	0.161769046	0.966558386	0.042703469	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	June	0.123385639	0.085407814	0.293121268	0.021044811	0.43346455	0.272905774	0.001581297	0.999732276	0.002944605	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	June	0.120907148	0.085334204	0.291898424	0.021314951	0.426746096	0.280183637	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	June	0.124363216	0.086981473	0.294161113	0.021580569	0.435677359	0.280200159	0.015615353	0.997085386	0.011317418	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	June	0.12542659	0.085839135	0.293053504	0.021153231	0.44181903	0.279569133	0.015313182	0.997295595	0.01101268	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	June	0.125972303	0.086271815	0.292784195	0.02158609	0.442348084	0.282555133	0.000295784	0.999951287	0.001120938	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	June	0.116503306	0.087332919	0.293174606	0.021676639	0.412398505	0.276537459	0.00101769	0.999843787	0.002562985	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	June	0.116651259	0.089008822	0.291759784	0.020300888	0.41461624	0.287250425	0.039915479	0.992318954	0.01960204	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	June	0.114463994	0.088416212	0.292095385	0.021210438	0.408452264	0.27749301	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	June	0.113041768	0.086780052	0.291943239	0.021715066	0.404125055	0.276634281	0.031492335	0.993722599	0.017487457	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	June	0.107779667	0.083132763	0.291234897	0.021300199	0.386516222	0.262046053	0.004928047	0.999095392	0.005581213	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	June	0.14056745	0.089001794	0.295576887	0.020436666	0.485879015	0.291669677	0.006741047	0.998724281	0.007368695	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	June	0.142586615	0.089077739	0.294804025	0.021933606	0.495801528	0.290310886	0.025936547	0.995348116	0.015014434	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	June	0.140720925	0.091244848	0.295314733	0.021316095	0.485558837	0.3008801	8.85E-05	0.999987197	0.000404864	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	July	0.024794545	0.019208292	0.279814312	0.020718979	0.092342329	0.063490214	0	1	0	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	July	0.023940988	0.020410096	0.280927121	0.021948697	0.090574912	0.065618028	0	1	0	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	July	0.022438639	0.019436525	0.281309	0.021757569	0.084403654	0.064415734	0	1	0	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	July	0.011856155	0.01625833	0.278631941	0.020693238	0.050944498	0.047619494	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	July	0.015026265	0.016955526	0.279472469	0.022484619	0.060099836	0.052797933	0	1	0	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	July	0.011588799	0.016156732	0.278639413	0.021340777	0.050071374	0.047096879	0	1	0	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	July	0.011111884	0.016276195	0.278244596	0.021055408	0.04880924	0.04743872	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	July	0.012108093	0.016541264	0.277540553	0.021289075	0.052000277	0.048581259	0	1	0	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	July	0.010934907	0.015702536	0.280413979	0.02056341	0.047417909	0.045117164	0	1	0	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	July	0.012363388	0.016151454	0.278354278	0.021852032	0.051974492	0.047766302	0	1	0	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	July	0.011362808	0.015982008	0.278068455	0.021326214	0.049162955	0.046271158	0	1	0	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	July	0.010597067	0.016568913	0.278601064	0.021018349	0.047735495	0.046414409	0	1	0	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	July	0.011221525	0.01606951	0.277988647	0.021650601	0.048908185	0.046626476	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	July	0.010662672	0.016192374	0.278462213	0.02171792	0.047732689	0.046312079	0	1	0	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	July	0.010127221	0.015908239	0.277865174	0.021622832	0.045905377	0.045253527	0	1	0	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	July	0.013987153	0.016281734	0.277272965	0.020915209	0.05714314	0.05007685	0	1	0	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	July	0.01301123	0.016274822	0.278170055	0.021531823	0.05373852	0.04941469	0	1	0	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	July	0.013528985	0.015821324	0.278712779	0.022031868	0.055064007	0.047678651	0	1	0	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	August	0.000876502	0.000679653	0.277089404	0.021646095	0.003303342	0.002280092	0	1	0	0.975118621	0.014722629
