Sample_Name	Latitude_DD	Longitude_DD	Elevation_m	Boulder_Height_m	Month	Est_Avg_SWE_m	Est_SWE_SD	Est_Avg_Snow_Density	Est_Snow_Density_SD	Est_Avg_Snow_Depth_m	Est_Snow_Depth_SD	Snow_Surf_Rel_to_Sample_m	monthly_Ssnow	monthly_Ssnow_SD	annual_Ssnow	annual_Ssnow_SD
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	September	0.00028078	0.000600938	0.275724651	0.020845599	0.001480379	0.001647069	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	September	0.000333104	0.000635688	0.275770795	0.020501586	0.00166558	0.001755205	0	1	0	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	September	0.000285294	0.000613693	0.277452622	0.021353153	0.001477415	0.001659098	0	1	0	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	September	0.000271597	0.00062733	0.276908804	0.021428586	0.001481983	0.001683507	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	September	0.000303422	0.000607747	0.278171588	0.02152663	0.001524254	0.001665638	0	1	0	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	September	0.000285781	0.000603602	0.275837576	0.021778063	0.001497378	0.001652002	0	1	0	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	September	0.000303968	0.000612239	0.277552823	0.021325794	0.001557171	0.001616724	0	1	0	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	September	0.000302851	0.000607011	0.276817766	0.021435724	0.001533365	0.001689348	0	1	0	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	September	0.000241927	0.000598535	0.278567853	0.02209094	0.001374243	0.001577795	0	1	0	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	September	0.000318575	0.000598514	0.278429969	0.021121949	0.001564347	0.001646817	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	September	0.000325411	0.000613284	0.277479159	0.021781869	0.001595046	0.001688693	0	1	0	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	September	0.000306439	0.000616128	0.278419001	0.021295769	0.00154532	0.001684217	0	1	0	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	September	0.000311935	0.000608446	0.278022645	0.020325098	0.001542839	0.001668523	0	1	0	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	September	0.000336442	0.000595116	0.276239527	0.023047366	0.001625946	0.001660401	0	1	0	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	September	0.000307593	0.000625431	0.277187883	0.020392527	0.00156632	0.001672942	0	1	0	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	October	0.010881131	0.002763954	0.27822796	0.021724319	0.039377665	0.010618009	0	1	0	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	October	0.010871751	0.002712516	0.279150902	0.021898806	0.039235974	0.010478825	0	1	0	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	October	0.010753506	0.002803898	0.278298185	0.021698955	0.038887387	0.010682659	0	1	0	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	October	0.006756829	0.002330254	0.277967682	0.022068912	0.024442636	0.008632966	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	October	0.008175576	0.002401801	0.277472265	0.020983175	0.029652275	0.009082197	0	1	0	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	October	0.006704511	0.002212014	0.278893084	0.021494416	0.024168122	0.008152198	0	1	0	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	October	0.006736215	0.002330083	0.278442802	0.02123356	0.024348219	0.008604226	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	October	0.006738474	0.002329406	0.277684823	0.020638704	0.02439424	0.008603173	0	1	0	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	October	0.006705999	0.002225701	0.277936257	0.022030488	0.024298717	0.008360946	0	1	0	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	October	0.006632834	0.00237094	0.27720037	0.020895018	0.02404532	0.008667341	0	1	0	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	October	0.006459563	0.002243294	0.277869518	0.021074293	0.023377655	0.008305526	0	1	0	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	October	0.006294271	0.002263974	0.27819111	0.021929659	0.02275773	0.008377068	0	1	0	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	October	0.006202633	0.002220034	0.27753492	0.0209915	0.022501298	0.008344439	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	October	0.00621288	0.002266629	0.278018287	0.021574592	0.022471387	0.008368576	0	1	0	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	October	0.005997666	0.002242335	0.277926659	0.022324833	0.021729751	0.008385051	0	1	0	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	October	0.007286265	0.002269707	0.278402294	0.021333405	0.026336482	0.008474355	0	1	0	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	October	0.007457786	0.002198862	0.278600203	0.021373666	0.026895505	0.008099626	0	1	0	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	October	0.007365831	0.002318083	0.279754968	0.022149971	0.026478004	0.008584613	0	1	0	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	November	0.099515545	0.021440305	0.28960952	0.021554479	0.345742122	0.080112491	0	1	0	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	November	0.099118292	0.02230038	0.289623932	0.021185612	0.34426635	0.08254119	0	1	0	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	November	0.097510499	0.020219961	0.289830657	0.021490674	0.338516904	0.075541001	0	1	0	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	November	0.063486202	0.018486237	0.285350766	0.021165222	0.223777903	0.067709958	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	November	0.07552571	0.018112615	0.286208857	0.021964596	0.265878761	0.06870953	0.000133745	0.999973312	0.000499752	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	November	0.065231174	0.018477145	0.285512172	0.022460748	0.229991437	0.068164926	0	1	0	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	November	0.063608848	0.018591597	0.28499184	0.021101889	0.224338621	0.067538861	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	November	0.063621702	0.018520855	0.284639593	0.02108719	0.224805582	0.06835848	0	1	0	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	November	0.062918694	0.018439007	0.284302419	0.021057206	0.222748984	0.068250997	0	1	0	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	November	0.063674811	0.017714763	0.285057253	0.021081846	0.224778039	0.065445577	0	1	0	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	November	0.061567618	0.018148384	0.284735068	0.021069127	0.21739513	0.066415591	0	1	0	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	November	0.060350953	0.017994441	0.282911757	0.020768331	0.214181246	0.065151831	0	1	0	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	November	0.059834239	0.017754573	0.28483601	0.021883407	0.211467691	0.065661531	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	November	0.061224537	0.017519246	0.283500849	0.0222979	0.217302964	0.064637864	0	1	0	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	November	0.058693054	0.018222205	0.286168994	0.021087656	0.2063122	0.065932595	0	1	0	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	November	0.06862381	0.018188595	0.284800528	0.021231872	0.242460235	0.067481859	0	1	0	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	November	0.069718884	0.019111316	0.286191205	0.021512827	0.24495519	0.069778314	0	1	0	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	November	0.069217655	0.018729951	0.28618063	0.021420708	0.243440916	0.069374351	0	1	0	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	December	0.275664673	0.070817836	0.311852582	0.021450466	0.888316028	0.237412163	2.60E-05	0.999994579	0.000171416	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	December	0.278662992	0.072171373	0.313803267	0.020950964	0.891950661	0.238472865	0.181402533	0.966376221	0.034016682	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	December	0.28013107	0.072701897	0.312004775	0.021413106	0.902160525	0.244052498	0.124714904	0.975722259	0.031888984	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	December	0.213321196	0.061770393	0.30590407	0.02176495	0.700865992	0.208640451	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	December	0.231804184	0.063987225	0.307657499	0.020670435	0.756017107	0.212636092	0.304800748	0.934783375	0.041042162	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	December	0.216123023	0.06053754	0.304593546	0.020560346	0.713172228	0.207892421	0.003729973	0.99939262	0.004069055	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	December	0.21043687	0.05919371	0.304234736	0.021597087	0.695094071	0.201922487	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	December	0.210066098	0.06082438	0.304739461	0.020913404	0.692751135	0.208977459	0.043963624	0.991682479	0.018005691	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	December	0.208006832	0.060341517	0.304975507	0.022181093	0.686681302	0.208940466	0.035357555	0.993454194	0.016307932	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	December	0.212571839	0.057077737	0.304291252	0.021363417	0.70134103	0.193161437	0.00044389	0.999926016	0.001232567	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	December	0.209972855	0.059172426	0.303714789	0.021752748	0.69477969	0.201385161	0.000424264	0.999922786	0.001021947	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	December	0.202667593	0.060825759	0.304105822	0.02140206	0.669979952	0.207335061	0.093335891	0.981227834	0.025221572	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	December	0.207619742	0.059552835	0.304045724	0.023109706	0.687182266	0.206046539	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	December	0.20402244	0.060602083	0.303479154	0.021120479	0.675149362	0.204676306	0.095200374	0.979845069	0.026870872	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	December	0.198631337	0.060683585	0.303046098	0.020645977	0.658361304	0.206564492	0.018082118	0.996577282	0.010785089	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	December	0.220489426	0.063497093	0.305480524	0.02060971	0.725097596	0.214377178	0.013096841	0.997408904	0.009637348	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	December	0.223409741	0.060483795	0.306500426	0.020752093	0.732585563	0.204991976	0.051626566	0.990380299	0.017421124	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	December	0.223872594	0.061653734	0.305457865	0.020873865	0.737233576	0.212705414	0	1	0	0.974648971	0.013143439
