Core_Section	Interval_cm	ODPdepth_m	ODPage_ka	BehlDepth_m	BehlAge_ka	HendyDepth_m	HendyAge_yrs	pach.d18O	pach.d13C	bull.d18O	bull.d13C
893A 08H 2	146	65.06	44.646	64.77	44.106	65.665	42646	2.243	0.144		
893A 08H 3	2	65.09	44.665	64.8	44.131	65.695	42658	2.16	0.035	1.757	-0.55
893A 08H 3	19	65.2	44.747	64.91	44.201	65.805	42692	2.148	0.221	2.165	-0.49
893A 08H 3	26	65.27	44.797	64.98	44.245	65.875	42714	2.227	0.197	1.401	0.004
893A 08H 3	33	65.32	44.832	65.03	44.276	65.925	42729	2.095	0.239	2.385	-0.502
893A 08H 3	65	65.54	44.992	65.26	44.414	66.155	42797	2.036	-0.047	2.033	-0.677
893A 08H 3	72	65.59	45.03	65.31	44.452	66.205	42815	2.085	-0.056	2.345	-0.442
893A 08H 3	79	65.6	45.035	65.32	44.458	66.215	42818	2.146	0.003	2.324	-0.373
893A 08H 3	85	65.74	45.136	65.46	44.546	66.355	42862	2.125	0.026	2.294	-0.366
893A 08H 3	100	65.75	45.143	65.47	44.553	66.365	42865	2.237	0.183	2.177	-0.464
893A 08H 3	107	65.77	45.158	65.49	44.565	66.385	42871	2.296	0.19	2.265	-0.452
893A 08H 3	117	65.85	45.215	65.58	44.615	66.475	42895	2.168	-0.11	2.085	-0.537
893A 08H 3	131	65.98	45.309	65.71	44.697	66.605	42935	2.076	0.184	2.328	-0.422
893A 08H 3	146	66.04	45.352	65.77	44.735	66.665	42954	2.28	0.139	2.256	-0.51
893A 08H 4	5	66.12	45.409	65.85	44.791	66.745	42982	2.106	0.05	2.261	-0.612
893A 08H 4	11	66.18	45.452	65.92	44.829	66.815	43000	2.124	0.159	2.138	-0.489
893A 08H 4	21	66.2	45.466	65.94	44.842	66.835	43006	2.153	0.18	1.498	-0.403
893A 08H 4	50	66.4	45.609	66.15	44.974	67.045	43071	2.049	0.163	1.87	-0.634
893A 08H 4	57	66.41	45.618	66.16	44.98	67.055	43074	2.036	0.259		
893A 08H 4	69	66.53	45.704	66.28	45.062	67.175	43114	2.124	0.275		
893A 08H 4	76	66.6	45.755	66.36	45.106	67.255	43135	2.161	0.137		
893A 08H 4	83	66.67	45.805	66.43	45.156	67.325	43160	2.165	0.24		
893A 08H 4	90	66.74	45.855	66.5	45.2	67.395	43182	2.421	0.075		
893A 08H 4	97	66.8	45.899	66.57	45.238	67.465	43200	2.075	0.267		
893A 08H 4	105	66.87	45.949	66.64	45.288	67.535	43254	1.801	-0.046	1.374	-0.424
893A 08H 4	112	66.93	45.995	66.7	45.326	67.595	43295	2.003	0.125	1.044	-0.854
893A 08H 4	119	66.98	46.028	66.76	45.357	67.655	43329	1.605	0.105	0.972	-0.801
893A 08H 4	128	67.06	46.083	66.84	45.414	67.735	43390	1.554	-0.083	1.268	-1.051
893A 08H 4	138	67.1	46.153	66.88	45.439	67.775	43417	1.661	0.203	1.454	-0.685
893A 08H 5	5	67.29	46.252	67.08	45.565	67.975	43552	2.215	0.205	2.059	-0.483
893A 08H 5	19	67.41	46.338	67.21	45.64	68.105	43633	1.811	-0.02	1.841	-0.554
893A 08H 5	25	67.47	46.381	67.27	45.678	68.165	43674	1.516	-0.183	1.721	-0.543
893A 08H 5	32	67.54	46.431	67.34	45.722	68.235	43721	1.753	0.149	1.629	-0.519
893A 08H 5	39	67.61	46.481	67.41	45.772	68.305	43775	1.817	0.095	1.665	-0.499
893A 08H 5	46	67.68	46.532	67.48	45.816	68.375	43823	1.737	0.152	1.554	-0.073
893A 08H 5	57	67.79	46.611	67.6	45.885	68.495	43897	1.987	0.188	1.972	-0.411
893A 08H 5	64	67.86	46.661	67.67	45.929	68.565	43945			1.814	-0.367
893A 08H 5	71	67.93	46.711	67.74	45.973	68.635	43992	1.992	0.098	2.013	-0.549
893A 08H 5	92	68.14	46.863	67.96	46.112	68.855	44141	1.894	0.154	1.528	-0.788
893A 08H 5	98	68.2	46.906	68.02	46.149	68.915	44182	1.918	0.046	1.107	-0.573
893A 08H 5	106	68.28	46.963	68.1	46.2	68.995	44236	1.501	0.477	0.994	-0.558
893A 08H 5	115	68.35	47.016	68.17	46.25	69.065	44290	1.524	0.512	0.852	-0.075
893A 08H 5	124	68.43	47.071	68.25	46.3	69.145	44344	1.657	0.299	1.289	-0.787
893A 08H 5	131	68.5	47.122	68.33	46.344	69.225	44391	1.762	0.023		
893A 08H 5	138	68.57	47.172	68.4	46.388	69.295	44439	1.815	-0.085		
893A 08H 5	145	68.64	47.222	68.47	46.432	69.365	44486	1.9	0.131	1.473	-0.526
893A 08H 6	5	68.73	47.287	68.56	46.495	69.455	44554	1.888	0.006	1.654	-0.503
893A 08H 6	12	68.8	47.337	68.63	46.539	69.525	44601	2.034	0.255	1.862	-0.428
893A 08H 6	19	68.87	47.388	68.7	46.583	69.595	44649	2.013	0.16	1.902	-0.544
893A 08H 6	26	68.94	47.438	68.78	46.627	69.675	44696	1.969	0.115	1.65	-0.748
893A 08H 6	32	69	47.481	68.84	46.665	69.735	44737	1.86	0.174	1.462	-0.786
893A 08H 6	43	69.11	47.561	68.95	46.734	69.845	44811	1.595	0.334	1.181	-0.672
893A 08H 6	49	69.17	47.604	69.01	46.778	69.905	44858	1.854	0.337	1.002	-0.938
893A 08H 6	55	69.23	47.647	69.07	46.816	69.965	44899			0.826	-0.507
893A 08H 6	62	69.3	47.697	69.14	46.86	70.035	44946	1.934	0.056	1.511	-0.834
893A 08H 6	71	69.39	47.762	69.24	46.916	70.135	45007	1.724	0.124	1.137	-0.577
893A 08H 6	77	69.45	47.806	69.3	46.954	70.195	45048	1.238	-0.057	0.736	-0.702
893A 08H 6	89	69.52	47.859	69.37	46.998	70.265	45095			1.281	-0.937
893A 08H 6	96	69.59	47.906	69.44	47.042	70.335	45143	1.645	0.215	1.691	-0.605
893A 08H 6	103	69.66	47.956	69.51	47.092	70.405	45197	1.702	0.047	1.701	-0.53
893A 08H 6	110	69.73	48.007	69.58	47.136	70.475	45244	1.729	0.231	1.767	-0.37
893A 08H 6	117	69.8	48.057	69.65	47.18	70.545	45292	1.85	0.381	1.81	-0.569
893A 08H 6	124	69.86	48.098	69.72	47.218	70.615	45332	2.085	0.256	1.324	-0.474
893A 08H 6	135	69.96	48.17	69.82	47.281	70.715	45400	1.961	-0.14	1.162	-0.789
893A 08H 6	142	70.01	48.208	69.87	47.312	70.765	45420	2.264	0.169		
893A 8H-07	1	70.089	48.2654	69.95	47.369	70.845	45456	2.211	0.163		
893A 8H-07	10	70.17	48.323	70.04	47.419	70.935	45488	2.133	0.146		
893A 8H-07	19	70.26	48.3878	70.13	47.482	71.025	45527	2.176	0.097	1.92	-0.531
893A 08H 7	24	70.31	48.424	70.19	47.513	71.085	45547	2.175	0.032	1.991	-0.931
893A 08H 7	34	70.41	48.496	70.29	47.582	71.185	45591	2.323	0.136	2.108	-0.435
893A 08H 7	41	70.48	48.546	70.37	47.626	71.265	45619	2.353	0.124	2.511	-0.84
893A 08H 7	47	70.54	48.59	70.43	47.67	71.325	45647	2.398	0.099	2.368	-0.637
893A 08H 7	57	70.64	48.662	70.54	47.733	71.435	45687	2.157	-0.065		
893A 08H 7	64	70.71	48.712	70.61	47.784	71.505	45719	2.239	0.086	1.105	-0.527
893A 08H 7	71	70.77	48.757	70.67	47.821	71.565	45743	2.394	0.146		
893A 08H 7	78	70.79	48.772	70.7	47.834	71.595	45751	2.249	0.051	1.788	-0.45
893A 08H 7	85	70.82	48.787	70.73	47.853	71.625	45763	2.164	0.041	1.556	-0.924
893A 08H 7	91	70.84	48.805	70.75	47.865	71.645	45771	2.33	0.059	1.765	-0.788
893A 08H 7	98	70.91	48.856	70.82	47.916	71.715	45802	2.621	0.121	2.247	-0.75
893A 08H 7	105	70.98	48.906	70.9	47.96	71.795	45830	2.373	0.17	1.661	-0.995
893A 08H 7	112	71.05	48.957	70.97	48.01	71.865	45862	2.163	0.186	1.628	-0.976
893A 08H 7	116	71.09	48.986	71.02	48.035	71.915	45878	2.184	0.075	1.764	-0.934
893A 08H 7	125	71.15	49.025	71.08	48.073	71.975	45902	2.162	0.111	1.485	-0.715
893A 08H 7	132	71.19	49.057	71.12	48.104	72.015	45922	2.383	0.138	2.508	-0.687
893A 08H 7	142	71.25	49.101	71.19	48.142	72.085	45946	2.463	0.138	2.649	-0.615
893A 08H 8	7	71.39	49.201	71.34	48.236	72.235	45998	2.435	0.033	2.534	-0.683
893A 08H 8	19	71.51	49.288	71.47	48.324	72.365	46033	2.441	0.079	2.176	-0.509
893A 08H 8	26	71.58	49.338	71.55	48.374	72.445	46057	2.381	0.025	1.866	-0.707
893A 08H 8	34	71.66	49.396	71.64	48.431	72.535	46081	2.418	0.042	2.284	-0.524
893A 08H 8	53	71.85	49.532	71.86	48.563	72.755	46141	2.25	0.116	2.189	-0.617
893A 08H 8	60	71.92	49.583	71.94	48.613	72.835	46161	2.121	0.188		
893A 08H 8	70	72.02	49.654	72.05	48.683	72.945	46193	2.183	0.164		
893A 08H 8	77	72.09	49.704	72.13	48.733	73.025	46217	2.293	0.153	1.845	-0.561
893A 08H C	4	72.33	49.88	72.09	48.708	72.985	46276	2.247	0.051	2.17	-0.376
893A 08H C	11	72.5	50	72.14	48.739	73.035	46304	2.204	0.124	2.225	-0.588
893A 08H C	22	72.76	50.189	72.21	48.789	73.105	46344	2.1	0.136	1.977	-0.761
893A 08H C	29	72.93	50.309	72.26	48.815	73.155	46372	2.097	0.066	2.125	-0.717
893A 09H 1	4	73.04	50.388	72.32	48.859	73.215	46400	1.634	-0.035		
893A 09H 1	11	73.11	50.439	72.4	48.903	73.295	46503	1.573	0.303	1.385	-0.588
893A 09H 1	18	73.18	50.49	72.47	48.947	73.365	46607	1.852	0.143	1.76	-0.502
893A 09H 1	27	73.27	50.554	72.56	49.009	73.455	46754	1.608	0.036	1.768	-0.648
893A 09H 1	34	73.34	50.604	72.64	49.053	73.535	46858	2.088	0.163	2.066	-0.433
893A 09H 1	41	73.41	50.655	72.71	49.097	73.605	46961	1.794	0.21	1.895	-0.534
893A 09H 1	48	73.48	50.705	72.78	49.148	73.675	47079	1.64	0.239	1.953	-0.493
893A 09H 1	55	73.55	50.756	72.86	49.192	73.755	47182	1.847	0.028	1.768	-0.797
893A 09H 1	74	73.62	50.803	72.93	49.236	73.825	47285	2.018	0.044	1.677	-0.779
893A 09H 1	81	73.66	50.834	72.97	49.267	73.865	47359	1.577	0.404	1.412	-0.76
893A 09H 1	88	73.73	50.885	73.05	49.311	73.945	47463	1.973	0.033	1.289	-0.844
893A 09H 1	95	73.8	50.935	73.12	49.355	74.015	47566	1.818	-0.043	1.626	-0.545
893A 09H 1	104	73.89	51	73.21	49.418	74.105	47713	1.983	-0.206	1.555	-0.424
893A 09H 1	111	73.96	51.057	73.29	49.462	74.185	47817	1.844	-0.153	1.78	-0.504
893A 09H 1	120	74.02	51.11	73.35	49.5	74.245	47891	1.803	0.134	1.98	-0.549
893A 09H 1	127	74.09	51.169	73.42	49.55	74.315	48009	1.739	0.307	1.9	-0.38
893A 09H 1	134	74.13	51.203	73.46	49.575	74.355	48068	1.932	0.213	1.521	-0.413
893A 09H 1	143	74.2	51.262	73.54	49.619	74.435	48171	1.784	0.256	1.734	-0.449
893A 09H 2	1	74.265	51.316	73.61	49.663	74.505	48274	1.747	0.175	1.611	-0.571
893A 09H 2	8	74.33	51.371	73.67	49.707	74.565	48378	1.575	0.406	1.998	-0.42
893A 09H 2	15	74.4	51.43	73.75	49.751	74.645	48481	1.607	0.382	1.668	-0.775
893A 09H 2	29	74.54	51.548	73.89	49.845	74.785	48702	1.955	0.008	1.201	-0.669
893A 09H 2	36	74.61	51.607	73.96	49.889	74.855	48806	1.469	0.443	0.919	-1.281
893A 09H 2	45	74.67	51.658	74.03	49.927	74.925	48894	1.532	0.399	0.939	-0.973
893A 09H 2	52	74.74	51.717	74.1	49.971	74.995	48997	1.839	0.133	1.362	-0.757
893A 09H 2	58	74.8	51.767	74.16	50.015	75.055	49101	1.703	0.143	1.367	-0.743
893A 09H 2	65	74.87	51.827	74.23	50.059	75.125	49204	1.646	0.286	0.866	-0.858
893A 09H 2	72	74.94	51.885	74.31	50.103	75.205	49307	1.763	0.197	1.573	-0.635
893A 09H 2	79	75.01	51.945	74.38	50.147	75.275	49411			1.345	-0.469
893A 09H 2	88	75.04	51.973	74.41	50.172	75.305	49470	1.676	0.177	1.016	-0.788
893A 09H 2	95	75.1	52.021	74.47	50.21	75.365	49558	1.656	0.365	1.283	-0.663
893A 09H 2	107	75.192	52.098	74.57	50.308	75.465	49691	1.759	0.182	1.279	-0.582
893A 09H 2	117	75.24	52.139	74.62	50.363	75.515	49765	1.416	0.71	1.192	-0.459
893A 09H 2	122	75.29	52.181	74.67	50.418	75.565	49853	1.438	0.42	1.213	-0.19
893A 09H 2	128	75.35	52.231	74.73	50.494	75.625	49942	1.281	0.464	1.367	-0.604
893A 09H 2	136	75.43	52.299	74.82	50.581	75.715	50060	1.462	-0.017	1.238	-0.587
893A 09H 2	143	75.5	52.358	74.89	50.658	75.785	50163	1.476	0.518	1.173	-0.445
893A 09H 3	5	75.6	52.442	74.99	50.778	75.885	50326	1.139	0.412	0.863	-0.723
893A 09H 3	16	75.66	52.493	75.06	50.844	75.955	50414	1.458	0.233	0.993	-0.554
893A 09H 3	23	75.71	52.532	75.11	50.909	76.005	50503	1.36	0.141	1.457	-0.812
893A 09H 3	34	75.77	52.588	75.17	50.975	76.065	50591	1.569	-0.052	1.504	-0.936
893A 09H 3	41	75.84	52.645	75.25	51.051	76.145	50695	1.329	0.452	0.81	-0.705
893A 09H 3	48	75.91	52.703	75.32	51.139	76.215	50813	1.282	0.599	1.134	-0.748
893A 09H 3	55	75.98	52.763	75.4	51.215	76.295	50916	1.388	0.531	0.785	-0.939
893A 09H 3	63	76.04	52.809	75.46	51.291	76.355	51019	1.446	0.66	1.673	-0.586
893A 09H 3	72	76.11	52.872	75.54	51.368	76.435	51123	1.607	-0.003	0.564	-1.182
893A 09H 3	78	76.17	52.923	75.6	51.444	76.495	51226	1.823	-0.024	0.848	-1.026
893A 09H 3	89	76.23	52.977	75.66	51.51	76.555	51315	2.17	-0.02	2.102	-0.63
893A 09H 3	98	76.28	53.016	75.72	51.565	76.615	51388	1.657	-0.02	0.975	-0.586
893A 09H 3	104	76.34	53.066	75.78	51.641	76.675	51492	2.129	-0.117	1.717	-0.466
893A 09H 3	111	76.41	53.125	75.86	51.717	76.755	51595	1.511	0.431	1.361	-0.786
893A 09H 3	118	76.48	53.184	75.93	51.805	76.825	51713	1.626	0.33	1.754	-0.594
893A 09H 3	125	76.52	53.218	75.97	51.849	76.865	51772	1.796	0.053	1.314	-0.679
893A 09H	3    140	76.7	53.37	76.16	52.056	77.055	52052	1.85	0.143	1.275	-0.993
893A 09H 3	142	76.72	53.386	76.19	52.078	77.085	52082	1.735	0.236	1.417	-0.726
893A 09H 3	148	76.78	53.437	76.25	52.144	77.145	52185	1.72	0.108	1.257	-0.936
893A 09H 4	5	76.83	53.487	76.3	52.209	77.195	52234	2.386	0.105	2.475	-0.246
893A 09H 4	12	76.86	53.507	76.33	52.242	77.225	52259	2.401	0.148	2.418	-0.544
893A 09H 4	25	77	53.622	76.48	52.395	77.375	52378	2.35	0.197	2.443	-0.334
893A 09H 4	32	77.06	53.674	76.54	52.471	77.435	52437	2.143	0.099	2.55	-0.367
893A 09H 4	39	77.13	53.733	76.61	52.548	77.505	52496	2.112	0.14	2.437	-0.41
893A 09H 4	46	77.14	53.74	76.62	52.559	77.515	52504	2.062	0.208	2.331	-0.515
893A 09H 4	58	77.3	53.876	76.79	52.733	77.685	52640	2.076	-0.07	2.495	-0.397
893A 09H 4	65	77.31	53.885	76.8	52.744	77.695	52648	1.925	0.109	2.304	-0.391
893A 09H 4	72	77.35	53.919	76.84	52.799	77.735	52691	2.019	0.069	2.176	-0.532
893A 09H 4	79	77.42	53.978	76.91	52.875	77.805	52750	2.059	0.193	2.237	-0.612
893A 09H 4	88	77.6	54.129	77.1	53.083	77.995	52910	2.387	-0.025	2.289	-0.605
893A 09H 4	95	77.61	54.138	77.11	53.094	78.005	52919	2.094	0.083	2.32	-0.273
893A 09H 4	104	77.68	54.195	77.18	53.17	78.075	52978	2.019	0.158	2.35	-0.618
893A 09H 4	111	77.7	54.213	77.2	53.192	78.095	52995	1.723	0.12	2.012	-0.562
893A 09H 4	118	77.87	54.356	77.38	53.389	78.275	53147	2.323	0.126	2.447	-0.348
893A 09H 4	126	77.93	54.404	77.44	53.454	78.335	53198	2.201	-0.009	1.995	-0.446
893A 09H 4	135	78	54.466	77.52	53.531	78.415	53257	2.138	-0.035	2.246	-0.435
893A 09H 4	142	78.07	54.525	77.59	53.607	78.485	53316	2.279	0.002	2.398	-0.36
893A 09H 5	3	78.16	54.601	77.68	53.706	78.575	53393	2.207	-0.475	2.229	-0.688
893A 09H 5	10	78.23	54.66	77.75	53.782	78.645	53452	2.253	-0.005	2.386	-0.581
893A 09H 5	17	78.3	54.719	77.82	53.859	78.715	53511	2.328	-0.067	2.469	-0.5
893A 09H 5	24	78.37	54.778	77.89	53.935	78.785	53570	2.341	-0.018	2.168	-0.421
893A 09H 5	34	78.47	54.863	77.99	54.044	78.885	53655	1.48	0.062	1.039	-0.818
893A 09H 5	41	78.54	54.922	78.06	54.121	78.955	53714	2.035	-0.102	1.976	-0.455
893A 09H 5	48	78.62	54.99	78.14	54.208	79.035	53782	1.688	0.172	1.093	-0.938
893A 09H 5	55	78.68	55.04	78.2	54.274	79.095	53832	1.706	-0.062	1.467	-0.679
893A 09H 5	62	78.745	55.095	78.26	54.35	79.155	53892	2.299	0.054	1.751	-0.587
893A 09H 5	66	78.78	55.124	78.3	54.383	79.195	53913	2.283	-0.001	2.107	-0.568
893A 09H 5	68	78.8	55.141	78.32	54.405	79.215	53926	2.257	0.046	2.04	-0.852
893A 09H 5	75	78.87	55.2	78.38	54.481	79.275	53971	2.002	0.204	1.894	-0.6
893A 09H 5	83	78.95	55.268	78.46	54.569	79.355	54023	2.17	0.063	1.74	-0.641
893A 09H 5	89	79.01	55.319	78.52	54.634	79.415	54061	2.16	0.003	1.818	-0.887
893A 09H 5	96	79.08	55.377	78.59	54.711	79.485	54106	2.355	0.015	1.685	-0.975
893A 09H 5	103	79.15	55.436	78.66	54.787	79.555	54152	2.016	-0.195		
893A 09H 5	110	79.22	55.495	78.73	54.864	79.625	54197	2.158	-0.068	2.31	-0.429
893A 09H 5	117	79.29	55.555	78.8	54.94	79.695	54242	2.316	-0.286	2.423	-0.618
893A 09H 5	124	79.36	55.614	78.87	55.016	79.765	54287	2.279	-0.256	1.964	-0.594
893A 09H 5	135	79.47	55.706	78.98	55.137	79.875	54358	2.383	-0.07	1.809	-0.874
893A 09H 5	142	79.54	55.765	79.05	55.213	79.945	54403	2.091	-0.046	2.138	-0.419
893A 09H 6	5	79.64	55.845	79.16	55.333	80.055	54474	2.444	-0.231	2.324	-0.561
893A 09H 6	10	79.68	55.883	79.21	55.377	80.105	54500	2.224	-0.494	2.111	-0.819
893A 09H 6	15	79.73	55.925	79.27	55.443	80.165	54539	2.204	-0.203	2.028	-0.781
893A 09H 7	5	79.79	55.976	79.33	55.519	80.225	54584	2.14	-0.2	1.921	-0.922
893A 09H 7	12	79.85	56.027	79.39	55.585	80.285	54623	2.068	-0.141	2.082	-0.727
893A 09H 7	19	79.9	56.066	79.44	55.639	80.335	54655	2.194	0.059		
893A 09H 7	26	79.96	56.12	79.51	55.705	80.405	54694	1.933	-0.053	1.654	-0.929
893A 09H 7	33	80.02	56.17	79.57	55.77	80.465	54774	1.751	0.006	1.325	-0.776
893A 09H 7	38	80.07	56.212	79.62	55.825	80.515	54849	1.733	-0.06	1.909	-0.554
893A 09H 7	45	80.14	56.271	79.69	55.912	80.585	54968	2.069	-0.096	1.716	-0.815
893A 09H 7	52	80.21	56.33	79.76	55.989	80.655	55072	1.842	0.029	1.608	-0.578
893A 09H 7	59	80.28	56.39	79.84	56.065	80.735	55176	1.944	-0.021	2.136	-0.628
893A 09H 7	68	80.37	56.465	79.93	56.163	80.825	55310	1.675	0.048	1.651	-0.921
893A 09H 7	75	80.435	56.52	80	56.24	80.895	55414	2.143	0.058	1.854	-0.744
893A 09H 7	82	80.5	56.575	80.06	56.316	80.955	55518	1.5	0.239	1.694	-0.779
893A 09H 7	89	80.57	56.634	80.13	56.393	81.025	55622	1.846	-0.879	1.795	-1.453
893A 09H 7	98	80.62	56.676	80.19	56.447	81.085	55697	1.514	0.34	1.817	-0.844
893A 09H 7	102	80.66	56.71	80.23	56.491	81.125	55756	1.489	-0.086	1.594	-1.31
893A 09H 7	105	80.69	56.735	80.26	56.524	81.155	55801	1.548	0	1.24	-0.873
893A 09H 7	112	80.76	56.794	80.33	56.6	81.225	55905	1.4	0.454	1.559	-0.853
893A 09H 7	119	80.83	56.853	80.4	56.688	81.295	56024	1.801	0.104	1.86	-0.817
893A 09H 7	126	80.9	56.912	80.47	56.764	81.365	56128	1.608	0.111	1.646	-1.015
893A 09H 7	133	80.97	56.971	80.55	56.841	81.445	56232	1.614	0.191	1.797	-0.797
893A 09H 7	138	81.02	57.013	80.6	56.895	81.495	56307	1.507	-0.453	0.963	-1.034
893A 09H 7	140	81.04	57.03	80.62	56.917	81.515	56336	1.446	0.381	0.915	-0.89
893A 09H 7	147	81.11	57.089	80.69	56.994	81.585	56440	1.659	0.185	1.372	-0.976
893A 09H 8	5	81.18	57.13	80.76	57.081	81.655	56560	1.838	-0.023	1.755	-0.619
893A 09H 8	12	81.24	57.199	80.82	57.147	81.715	56649	1.548	0.05	1.62	-0.936
893A 09H 8	18	81.3	57.249	80.88	57.212	81.775	56738	1.629	0.176	1.524	-0.939
893A 09H 8	25	81.37	57.308	80.95	57.289	81.845	56842	1.795	-0.205	0.676	-1.098
893A 09H 8	32	81.44	57.368	81.02	57.365	81.915	56946	1.696	0.224	0.779	-1.17
893A 09H 8	39	81.51	57.427	81.09	57.442	81.985	57050	1.86	0.037	1.445	-0.997
893A 09H 8	46	81.58	57.486	81.17	57.518	82.065	57155	1.533	0.267	0.531	-1.305
893A 09H 8	54	81.66	57.553	81.25	57.605	82.145	57274	1.769	-0.845	1.735	-0.675
893A 09H 8	61	81.73	57.612	81.32	57.682	82.215	57378	1.598	0.417	1.21	-1.145
893A 09H 8	68	81.8	57.671	81.39	57.758	82.285	57482	1.645	0.322	1.088	-0.938
893A 09H 8	75	81.87	57.73	81.46	57.835	82.355	57586	1.947	-0.084	1.636	-1.126
893A 09H 8	87	81.99	57.831	81.58	57.966	82.475	57764	2.102	-0.041	2.338	-0.426
893A 09H C	4	82.06	57.897	81.63	58.031	82.525	57854	1.961	0.202	1.621	-0.89
893A 09H C	12	82.17	57.977	81.7	58.097	82.595	57943	1.5	0.288	1.113	-0.973
893A 09H C	19	82.26	58.047	81.75	58.163	82.645	58032	1.696	0.308	1.056	-0.906
893A 09H C	26	82.35	58.137	81.81	58.217	82.705	58107	2.331	0.033	2.441	-0.711
893A 09H C	33	82.44	58.187	81.86	58.283	82.755	58196	2.214	0.159	2.598	-0.657
893A 10H 1	5	82.52	58.275	81.92	58.337	82.815	58285	1.947	0.159	1.545	-0.878
893A 10H 1	12	82.59	58.337	81.99	58.414	82.885	58452	2.085	-0.283	1.869	-0.582
893A 10H 1	19	82.66	58.397	82.06	58.49	82.955	58630	2.24	-0.144	2.008	-0.81
893A 10H 1	26	82.73	58.456	82.13	58.567	83.025	58808	2.293	-0.132	2.229	-0.818
893A 10H 1	33	82.8	58.514	82.2	58.643	83.095	58986	2.336	-0.408	2.238	-0.664
893A 10H 1	40	82.87	58.573	82.27	58.72	83.165	59163	2.339	-0.203	2.052	-0.703
893A 10H 1	45	82.92	58.616	82.32	58.774	83.215	59290			1.938	-1.416
893A 10H 1	45	82.92	58.616	82.32	58.774	83.215	59290	2.209	-1.075	2.03	-1.43
893A 10H 1	52	82.99	58.675	82.39	58.851	83.285	59468	2.449	-0.193	2.317	-0.871
893A 10H 1	59	83.06	58.734	82.46	58.927	83.355	59646	2.388	-0.154	2.428	-0.763
893A 10H 1	66	83.13	58.793	82.53	59.047	83.425	59824	2.536	-0.145	2.383	-0.798
893A 10H 1	75	83.22	58.869	82.62	59.243	83.515	60052	2.23	-0.337	2.073	-0.693
893A 10H 1	82	83.29	58.928	82.69	59.395	83.585	60230	2.488	-0.112	2.041	-0.64
893A 10H 1	89	83.36	58.987	82.76	59.547	83.655	60408	2.385	-0.141	2.347	-0.665
893A 10H 1	97	83.44	59.055	82.84	59.721	83.735	60611	2.424	-0.088	2.154	-0.776
893A 10H 1	108	83.51	59.113	82.91	59.873	83.805	60789	2.288	-0.304	2.228	-0.758
893A 10H 1	115	83.58	59.172	82.98	60.025	83.875	60966	2.608	-0.207	2.2	-0.561
893A 10H 1	122	83.64	59.224	83.04	60.156	83.935	61119	2.527	-0.115	2.009	-0.39
893A 10H 1	135	83.74	59.307	83.14	60.373	84.035	61373	2.433	-0.016	2.208	-0.688
893A 10H 1	142	83.81	59.363	83.21	60.525	84.105	61551	2.498	-0.128	2.234	-0.724
893A 10H 2	25	84.12	59.628	83.52	61.221	84.415	62338	2.423	-0.08	2.499	-0.655
893A 10H 2	55	84.41	59.872	83.82	61.851	84.715	63100	2.239	-0.38	2.285	-0.523
893A 10H 2	85	84.71	60.125	84.12	62.525	85.015	63861	2.166	-0.159	2.061	-0.687
893A 10H 2	115	85.01	60.378	84.43	63.177	85.325	64260	2.29	-0.319	2.192	-0.588
893A 10H 3	5	85.4	60.707	84.82	64.025	85.715	64562	2.491	-0.18	2.791	-0.501
893A 10H 3	35	85.7	60.96	85.1	64.22	85.995	64778	2.374	-0.032	2.264	-0.572
893A 10H 3	71		61.258			0		2.361	-0.194		
893A 10H 3	105	86.4	61.551	85.76	64.563	86.655		2.421	-0.273	2.706	-0.455
893A 10H 3	135	86.7	61.804	86.04	64.714	86.935		2.459	-0.289	2.672	-0.593
