Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-13--1	Be-10 (qtz)	21659	454	1809	20757	434	1650	20700	433	1322	--	--	--
													
TM14-13--2	Be-10 (qtz)	21296	438	1747	20451	421	1598	20407	420	1281	--	--	--
													
TM14-13--3	Be-10 (qtz)	20890	432	1722	20092	415	1577	20063	414	1265	--	--	--
													
TM14-13--4	Be-10 (qtz)	22269	491	1957	21249	467	1773	21173	465	1419	--	--	--
													
TM14-13--5	Be-10 (qtz)	21506	460	1835	20617	440	1672	20569	439	1340	--	--	--
													
TM14-13--6	Be-10 (qtz)	21180	436	1738	20351	419	1590	20308	418	1275	--	--	--
													
TM14-13--7	Be-10 (qtz)	21086	446	1778	20257	428	1625	20223	427	1303	--	--	--
													
TM14-13--8	Be-10 (qtz)	20694	426	1698	19922	410	1556	19902	409	1249	--	--	--
													
TM14-13--9	Be-10 (qtz)	21121	434	1733	20298	417	1586	20261	417	1272	--	--	--
													
TM14-13--10	Be-10 (qtz)	21834	470	1873	20894	448	1703	20833	447	1364	--	--	--
													
TM14-13--11	Be-10 (qtz)	21732	453	1805	20821	433	1646	20765	432	1319	--	--	--
													
TM14-13--12	Be-10 (qtz)	21408	445	1776	20544	427	1622	20496	426	1300	--	--	--
													
TM14-13--13	Be-10 (qtz)	21902	468	1865	20955	446	1696	20891	445	1358	--	--	--
													
TM14-13--14	Be-10 (qtz)	21554	446	1780	20671	428	1626	20617	427	1302	--	--	--
													
TM14-13--15	Be-10 (qtz)	21767	459	1830	20846	439	1667	20786	437	1335	--	--	--
													
TM14-13--16	Be-10 (qtz)	21528	452	1804	20643	433	1646	20593	432	1319	--	--	--
													
TM14-13--17	Be-10 (qtz)	21922	473	1888	20966	452	1716	20902	450	1374	--	--	--
													
TM14-13--18	Be-10 (qtz)	21411	447	1783	20545	429	1629	20500	428	1305	--	--	--
													
TM14-13--19	Be-10 (qtz)	21521	448	1788	20641	430	1632	20589	429	1308	--	--	--
													
TM14-13--20	Be-10 (qtz)	21306	438	1748	20460	421	1599	20417	420	1281	--	--	--
													
TM14-13--21	Be-10 (qtz)	21044	433	1727	20230	416	1581	20196	416	1268	--	--	--
													
TM14-13--22	Be-10 (qtz)	21542	443	1767	20664	425	1615	20611	424	1294	--	--	--
													
TM14-13--23	Be-10 (qtz)	21137	435	1734	20313	418	1587	20276	417	1273	--	--	--
													
TM14-13--24	Be-10 (qtz)	22114	480	1913	21127	457	1736	21056	455	1390	--	--	--
													
TM14-13--25	Be-10 (qtz)	20878	429	1713	20083	413	1569	20055	412	1259	--	--	--
													
TM14-13--26	Be-10 (qtz)	21209	436	1741	20376	419	1593	20335	418	1277	--	--	--
													
TM14-13--27	Be-10 (qtz)	21275	442	1764	20429	424	1613	20387	424	1293	--	--	--
													
TM14-13--28	Be-10 (qtz)	21138	435	1735	20313	418	1588	20276	417	1273	--	--	--
													
TM14-13--29	Be-10 (qtz)	21886	469	1870	20939	448	1701	20877	446	1362	--	--	--
													
TM14-13--30	Be-10 (qtz)	21105	434	1731	20284	417	1585	20245	416	1271	--	--	--
													
TM14-13--31	Be-10 (qtz)	21652	464	1851	20742	444	1686	20688	443	1351	--	--	--
													
TM14-13--32	Be-10 (qtz)	20893	430	1714	20096	413	1570	20067	413	1259	--	--	--
													
TM14-13--33	Be-10 (qtz)	21606	455	1817	20709	436	1657	20656	435	1327	--	--	--
													
TM14-13--34	Be-10 (qtz)	22602	493	1966	21530	468	1779	21440	466	1422	--	--	--
													
TM14-13--35	Be-10 (qtz)	22336	482	1924	21314	459	1744	21232	457	1396	--	--	--
													
TM14-13--36	Be-10 (qtz)	22405	488	1946	21369	464	1763	21283	462	1410	--	--	--
													
TM14-13--37	Be-10 (qtz)	21147	440	1755	20317	423	1606	20279	422	1287	--	--	--
													
TM14-13--38	Be-10 (qtz)	21781	459	1830	20857	439	1668	20797	438	1336	--	--	--
													
TM14-13--39	Be-10 (qtz)	21030	433	1725	20217	416	1580	20183	415	1267	--	--	--
													
TM14-13--40	Be-10 (qtz)	21446	456	1818	20568	437	1659	20523	436	1329	--	--	--
													
TM14-13--41	Be-10 (qtz)	21303	438	1748	20458	421	1599	20415	420	1281	--	--	--
													
TM14-13--42	Be-10 (qtz)	22077	469	1870	21104	447	1700	21031	446	1361	--	--	--
													
TM14-13--43	Be-10 (qtz)	21197	436	1739	20366	419	1591	20322	418	1276	--	--	--
													
TM14-13--44	Be-10 (qtz)	21651	458	1828	20746	438	1666	20690	437	1335	--	--	--
													
TM14-13--45	Be-10 (qtz)	21114	435	1737	20290	418	1589	20250	417	1274	--	--	--
													
TM14-13--46	Be-10 (qtz)	21505	451	1801	20624	433	1643	20575	431	1317	--	--	--
													
TM14-13--47	Be-10 (qtz)	21841	464	1852	20905	444	1686	20843	442	1350	--	--	--
													
TM14-13--48	Be-10 (qtz)	21531	449	1791	20649	430	1635	20599	429	1310	--	--	--
													
TM14-13--49	Be-10 (qtz)	21321	439	1749	20474	421	1600	20430	420	1282	--	--	--
													
TM14-13--50	Be-10 (qtz)	21803	463	1848	20873	443	1683	20815	442	1348	--	--	--
													
TM14-13--51	Be-10 (qtz)	20932	437	1744	20124	420	1596	20090	419	1280	--	--	--
													
TM14-13--52	Be-10 (qtz)	21525	450	1794	20644	431	1637	20593	430	1312	--	--	--
													
TM14-13--53	Be-10 (qtz)	21103	440	1753	20277	422	1604	20241	421	1286	--	--	--
													
TM14-13--54	Be-10 (qtz)	21375	455	1814	20507	436	1656	20463	435	1327	--	--	--
													
TM14-13--55	Be-10 (qtz)	20703	426	1698	19929	410	1557	19904	409	1249	--	--	--
													
TM14-13--56	Be-10 (qtz)	21864	460	1834	20929	440	1670	20866	438	1338	--	--	--
													
TM14-13--57	Be-10 (qtz)	21027	438	1746	20210	420	1597	20178	420	1281	--	--	--
													
TM14-13--58	Be-10 (qtz)	21562	457	1825	20668	438	1664	20615	437	1333	--	--	--
													
TM14-13--59	Be-10 (qtz)	21384	440	1756	20528	422	1605	20484	422	1287	--	--	--
													
TM14-13--60	Be-10 (qtz)	21231	448	1785	20385	429	1631	20346	428	1308	--	--	--
													
TM14-13--61	Be-10 (qtz)	21727	468	1866	20803	447	1699	20747	446	1361	--	--	--
													
TM14-13--62	Be-10 (qtz)	21433	448	1785	20564	429	1631	20517	428	1307	--	--	--
													
TM14-13--63	Be-10 (qtz)	21522	454	1810	20636	435	1651	20586	434	1323	--	--	--
													
TM14-13--64	Be-10 (qtz)	21207	440	1756	20371	423	1606	20332	422	1288	--	--	--
													
TM14-13--65	Be-10 (qtz)	21304	444	1772	20453	426	1620	20413	425	1299	--	--	--
													
TM14-13--66	Be-10 (qtz)	21211	439	1751	20375	422	1602	20335	421	1284	--	--	--
													
TM14-13--67	Be-10 (qtz)	21880	471	1880	20932	450	1710	20868	449	1369	--	--	--
													
TM14-13--68	Be-10 (qtz)	21591	452	1803	20699	433	1645	20647	432	1318	--	--	--
													
TM14-13--69	Be-10 (qtz)	20945	431	1718	20142	414	1574	20109	414	1262	--	--	--
													
TM14-13--70	Be-10 (qtz)	21434	444	1771	20568	426	1618	20519	425	1296	--	--	--
													
TM14-13--71	Be-10 (qtz)	21751	462	1842	20829	442	1678	20773	440	1344	--	--	--
													
TM14-13--72	Be-10 (qtz)	21356	449	1792	20495	431	1636	20451	430	1311	--	--	--
													
TM14-13--73	Be-10 (qtz)	21695	451	1797	20791	432	1640	20733	430	1313	--	--	--
													
TM14-13--74	Be-10 (qtz)	21411	451	1799	20542	432	1643	20493	431	1316	--	--	--
													
TM14-13--75	Be-10 (qtz)	21528	452	1802	20644	433	1644	20594	432	1318	--	--	--
													
TM14-13--76	Be-10 (qtz)	20884	430	1713	20089	413	1570	20060	413	1259	--	--	--
													
TM14-13--77	Be-10 (qtz)	20982	438	1748	20168	421	1600	20134	420	1283	--	--	--
													
TM14-13--78	Be-10 (qtz)	21559	460	1837	20663	441	1674	20611	439	1341	--	--	--
													
TM14-13--79	Be-10 (qtz)	21543	455	1817	20653	436	1657	20602	435	1328	--	--	--
													
TM14-13--80	Be-10 (qtz)	21438	459	1831	20559	439	1670	20515	438	1338	--	--	--
													
TM14-13--81	Be-10 (qtz)	22014	472	1882	21047	450	1711	20980	449	1370	--	--	--
													
TM14-13--82	Be-10 (qtz)	21702	458	1826	20790	438	1665	20733	437	1333	--	--	--
													
TM14-13--83	Be-10 (qtz)	21927	477	1903	20967	455	1729	20906	454	1384	--	--	--
													
TM14-13--84	Be-10 (qtz)	21278	440	1754	20434	422	1604	20393	421	1286	--	--	--
													
TM14-13--85	Be-10 (qtz)	21833	465	1854	20897	444	1687	20834	443	1351	--	--	--
													
TM14-13--86	Be-10 (qtz)	22073	470	1874	21100	448	1703	21030	447	1363	--	--	--
													
TM14-13--87	Be-10 (qtz)	21450	445	1777	20581	427	1623	20529	426	1300	--	--	--
													
TM14-13--88	Be-10 (qtz)	21126	436	1738	20302	419	1590	20265	418	1275	--	--	--
													
TM14-13--89	Be-10 (qtz)	21758	459	1832	20838	439	1669	20780	438	1337	--	--	--
													
TM14-13--90	Be-10 (qtz)	21112	438	1748	20287	421	1599	20251	420	1282	--	--	--
													
TM14-13--91	Be-10 (qtz)	21254	437	1744	20415	420	1595	20374	419	1279	--	--	--
													
TM14-13--92	Be-10 (qtz)	22062	476	1897	21085	453	1723	21013	452	1379	--	--	--
													
TM14-13--93	Be-10 (qtz)	21362	448	1787	20501	429	1632	20454	428	1308	--	--	--
													
TM14-13--94	Be-10 (qtz)	21127	446	1779	20293	428	1626	20257	427	1304	--	--	--
													
TM14-13--95	Be-10 (qtz)	21199	445	1776	20359	427	1623	20322	426	1301	--	--	--
													
TM14-13--96	Be-10 (qtz)	21463	449	1789	20590	430	1633	20541	429	1309	--	--	--
													
TM14-13--97	Be-10 (qtz)	21155	443	1768	20321	425	1616	20285	425	1296	--	--	--
													
TM14-13--98	Be-10 (qtz)	22193	477	1904	21197	455	1728	21123	453	1383	--	--	--
													
TM14-13--99	Be-10 (qtz)	21741	461	1838	20821	441	1674	20763	439	1341	--	--	--
													
TM14-13--100	Be-10 (qtz)	21868	461	1840	20931	441	1675	20868	440	1342	--	--	--
													
TM14-13--101	Be-10 (qtz)	21789	464	1850	20860	443	1684	20802	442	1349	--	--	--
													
TM14-13--102	Be-10 (qtz)	22933	500	1995	21796	474	1801	21690	471	1439	--	--	--
													
TM14-13--103	Be-10 (qtz)	22015	475	1894	21045	453	1721	20979	451	1378	--	--	--
													
TM14-13--104	Be-10 (qtz)	21263	444	1771	20417	426	1619	20376	425	1298	--	--	--
													
TM14-13--105	Be-10 (qtz)	21152	443	1765	20319	425	1614	20283	424	1294	--	--	--
													
TM14-13--106	Be-10 (qtz)	20833	428	1709	20043	412	1566	20015	412	1256	--	--	--
													
TM14-13--107	Be-10 (qtz)	21672	460	1833	20763	440	1670	20707	438	1338	--	--	--
													
TM14-13--108	Be-10 (qtz)	22163	482	1923	21167	459	1744	21094	457	1396	--	--	--
													
TM14-13--109	Be-10 (qtz)	21333	444	1770	20479	426	1617	20432	425	1296	--	--	--
													
TM14-13--110	Be-10 (qtz)	21505	450	1794	20625	431	1638	20575	430	1312	--	--	--
													
TM14-13--111	Be-10 (qtz)	21370	446	1780	20510	428	1626	20468	427	1303	--	--	--
													
TM14-13--112	Be-10 (qtz)	21116	434	1732	20294	417	1586	20258	417	1271	--	--	--
													
