Sample_Name	PercentSnow	UncertType	Calculator	ProdRate	ScalingModel	Atmosphere	MagField	Age	Uncert	Location	Outlier	WMean	SpG	MSWD	P_MSWD	WMean_SD	Boulder_Height_m	LocationOrder	Elevation_m
TM14-05	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14047	950	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	0.82	11	2740
TM14-06	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14408	953	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	387	1.3	12	2744
TM14-07	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	16258	1076	TM-LC	FALSE	16258	1			1076	1.2	14	2709
TM14-11	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14392	978	PD	FALSE	15012	2	3.88609929203762	0.048687379366596	1386	0.65	20	2672.7
TM14-12	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15548	1010	PD	FALSE	15012	2	3.88609929203762	0.048687379366596	1386	1.43	21	2679.8
TM14-13	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	22847	1567	PD	TRUE	15012					0.65	22	2678.9
TM14-15	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15282	974	LM	FALSE	15282	1			974	0.87	24	2638.5
TM14-16	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13892	920	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	1035	0.98	16	2854.4
TM14-17	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15123	970	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	1035	0.8	17	2853.5
TM14-18	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15174	962	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	1035	1.55	18	2858.6
UpLy-12-10	100	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14489	971	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	595	0.85	3	3400
C2-Boulder1	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15640	324	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	521	1.8	1	3409
C2-Boulder2	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14640	390	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	521	0.75	2	3417
LoLy-11-08	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	397	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	2.5	7	2742
TM14-01	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14840	264	MLC	FALSE	14840	1			264	0.46	5	2955
TM14-02	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14540	299	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	1.1	8	2751
TM14-03	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15440	350	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	2.5	9	2740
TM14-04	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14040	240	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	0.8	10	2743
TM14-05	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	341	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	0.82	11	2740
TM14-06	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	313	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	238	1.3	12	2744
TM14-07	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16540	392	TM-LC	FALSE	16540	1			392	1.2	14	2709
TM14-11	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	310	PD	FALSE	14731	2	15.5702005585837	7.94976898705499e-05	967	0.65	20	2672.7
TM14-12	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	401	PD	FALSE	14731	2	15.5702005585837	7.94976898705499e-05	967	1.43	21	2679.8
TM14-13	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	22040	667	PD	TRUE	14731					0.65	22	2678.9
TM14-15	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	267	LM	FALSE	15140	1			267	0.87	24	2638.5
TM14-16	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13840	293	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	477	0.98	16	2854.4
TM14-17	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	270	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	477	0.8	17	2853.5
TM14-18	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15540	295	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	477	1.55	18	2858.6
UpLy-12-10	0	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	299	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	521	0.85	3	3400
C2-Boulder1	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	435	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	273	1.8	1	3409
C2-Boulder2	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16140	525	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	273	0.75	2	3417
LoLy-11-08	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	472	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	2.5	7	2742
TM14-01	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16740	482	MLC	FALSE	16740	1			482	0.46	5	2955
TM14-02	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	381	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	1.1	8	2751
TM14-03	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15440	356	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	2.5	9	2740
TM14-04	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15040	368	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	0.8	10	2743
TM14-05	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14840	423	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	0.82	11	2740
TM14-06	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	396	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	161	1.3	12	2744
TM14-07	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	17140	510	TM-LC	FALSE	17140	1			510	1.2	14	2709
TM14-11	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	467	PD	FALSE	15796	2	4.24767363236102	0.0393041364093236	647	0.65	20	2672.7
TM14-12	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16440	424	PD	FALSE	15796	2	4.24767363236102	0.0393041364093236	647	1.43	21	2679.8
TM14-13	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	24140	809	PD	TRUE	15796					0.65	22	2678.9
TM14-15	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16040	399	LM	FALSE	16040	1			399	0.87	24	2638.5
TM14-16	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	399	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	382	0.98	16	2854.4
TM14-17	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15840	405	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	382	0.8	17	2853.5
TM14-18	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	374	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	382	1.55	18	2858.6
UpLy-12-10	100	Int	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	430	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	273	0.85	3	3400
C2-Boulder1	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15640	1200	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	1834	1.8	1	3409
C2-Boulder2	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14640	1200	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	1834	0.75	2	3417
LoLy-11-08	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	1200	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	2.5	7	2742
TM14-01	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14840	1100	MLC	FALSE	14840	1			1100	0.46	5	2955
TM14-02	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14540	1100	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	1.1	8	2751
TM14-03	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15440	1200	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	2.5	9	2740
TM14-04	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14040	1100	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	0.8	10	2743
TM14-05	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	1100	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	0.82	11	2740
TM14-06	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	1100	LLC	FALSE	14579	6	3.51314464315079	0.0035429339061359	866	1.3	12	2744
TM14-07	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16540	1300	TM-LC	FALSE	16540	1			1300	1.2	14	2709
TM14-11	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	1100	PD	FALSE	14731	2	15.5702005585837	7.94976898705499e-05	3315	0.65	20	2672.7
TM14-12	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	1300	PD	FALSE	14731	2	15.5702005585837	7.94976898705499e-05	3315	1.43	21	2679.8
TM14-13	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	22040	1700	PD	TRUE	14731					0.65	22	2678.9
TM14-15	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	1100	LM	FALSE	15140	1			1100	0.87	24	2638.5
TM14-16	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13840	1100	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	1837	0.98	16	2854.4
TM14-17	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	1100	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	1837	0.8	17	2853.5
TM14-18	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15540	1100	LD	FALSE	14706	3	8.37208786207959	0.000231232268312405	1837	1.55	18	2858.6
UpLy-12-10	0	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	13940	1100	ULC	FALSE	14697	3	7.45074096891008	0.000581010941612552	1834	0.85	3	3400
C2-Boulder1	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	1300	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	755	1.8	1	3409
C2-Boulder2	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16140	1300	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	755	0.75	2	3417
LoLy-11-08	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	1200	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	2.5	7	2742
TM14-01	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16740	1300	MLC	FALSE	16740	1			1300	0.46	5	2955
TM14-02	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	1100	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	1.1	8	2751
TM14-03	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15440	1200	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	2.5	9	2740
TM14-04	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15040	1200	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	0.8	10	2743
TM14-05	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14840	1200	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	0.82	11	2740
TM14-06	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	1200	LLC	FALSE	15162	6	0.273539052393143	0.92781417839163	482	1.3	12	2744
TM14-07	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	17140	1400	TM-LC	FALSE	17140	1			1400	1.2	14	2709
TM14-11	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15140	1200	PD	FALSE	15796	2	4.24767363236102	0.0393041364093236	1818	0.65	20	2672.7
TM14-12	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16440	1300	PD	FALSE	15796	2	4.24767363236102	0.0393041364093236	1818	1.43	21	2679.8
TM14-13	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	24140	1900	PD	TRUE	15796					0.65	22	2678.9
TM14-15	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	16040	1300	LM	FALSE	16040	1			1300	0.87	24	2638.5
TM14-16	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	14740	1100	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	1135	0.98	16	2854.4
TM14-17	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15840	1200	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	1135	0.8	17	2853.5
TM14-18	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15940	1200	LD	FALSE	15492	3	2.85342357843174	0.0576466249124067	1135	1.55	18	2858.6
UpLy-12-10	100	Ext	CRONUScalc	CRONUS-Earth primary	LSDn	ERA40	Lifton2014	15240	1200	ULC	FALSE	15735	3	1.0706446470862	0.342787469234101	755	0.85	3	3400
C2-Boulder1	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15460	190	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	489	1.8	1	3409
C2-Boulder2	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14690	300	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	489	0.75	2	3417
LoLy-11-08	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15110	310	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	2.5	7	2742
TM14-01	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14770	200	MLC	FALSE	14770	1			200	0.46	5	2955
TM14-02	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14490	220	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	1.1	8	2751
TM14-03	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15350	280	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	2.5	9	2740
TM14-04	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14000	180	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	0.8	10	2743
TM14-05	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13840	280	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	0.82	11	2740
TM14-06	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14650	220	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	222	1.3	12	2744
TM14-07	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16330	250	TM-LC	FALSE	16330	1			250	1.2	14	2709
TM14-11	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13860	240	PD	FALSE	14740	2	30.6837084976989	3.03704322193689e-08	975	0.65	20	2672.7
TM14-12	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15820	260	PD	FALSE	14740	2	30.6837084976989	3.03704322193689e-08	975	1.43	21	2679.8
TM14-13	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	21820	360	PD	TRUE	14740					0.65	22	2678.9
TM14-15	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14990	190	LM	FALSE	14990	1			190	0.87	24	2638.5
TM14-16	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13780	230	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	480	0.98	16	2854.4
TM14-17	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14740	220	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	480	0.8	17	2853.5
TM14-18	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15460	230	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	480	1.55	18	2858.6
UpLy-12-10	0	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13950	190	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	489	0.85	3	3400
C2-Boulder1	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15830	210	ULC	FALSE	15626	3	3.57015113378685	0.0281515987010551	253	1.8	1	3409
C2-Boulder2	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16089	350	ULC	FALSE	15626	3	3.57015113378685	0.0281515987010551	253	0.75	2	3417
LoLy-11-08	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15120	310	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	2.5	7	2742
TM14-01	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16560	260	MLC	FALSE	16560	1			260	0.46	5	2955
TM14-02	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15080	210	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	1.1	8	2751
TM14-03	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15360	280	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	2.5	9	2740
TM14-04	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14960	180	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	0.8	10	2743
TM14-05	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14790	300	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	0.82	11	2740
TM14-06	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15100	220	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	96	1.3	12	2744
TM14-07	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16990	260	TM-LC	FALSE	16990	1			260	1.2	14	2709
TM14-11	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15030	250	PD	FALSE	15616	2	12.1906777777778	0.000480289294772271	604	0.65	20	2672.7
TM14-12	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16240	240	PD	FALSE	15616	2	12.1906777777778	0.000480289294772271	604	1.43	21	2679.8
TM14-13	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	23740	430	PD	TRUE	15616					0.65	22	2678.9
TM14-15	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15900	240	LM	FALSE	15900	1			240	0.87	24	2638.5
TM14-16	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14630	250	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	390	0.98	16	2854.4
TM14-17	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15740	260	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	390	0.8	17	2853.5
TM14-18	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15840	250	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	390	1.55	18	2858.6
UpLy-12-10	100	Int	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15200	200	ULC	FALSE	15626	3	3.57015113378685	0.0281515987010551	253	0.85	3	3400
C2-Boulder1	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15460	790	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	1764	1.8	1	3409
C2-Boulder2	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14690	780	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	1764	0.75	2	3417
LoLy-11-08	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15110	830	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	2.5	7	2742
TM14-01	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14770	760	MLC	FALSE	14770	1			760	0.46	5	2955
TM14-02	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14490	750	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	1.1	8	2751
TM14-03	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15350	820	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	2.5	9	2740
TM14-04	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14000	740	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	0.8	10	2743
TM14-05	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13840	770	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	0.82	11	2740
TM14-06	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14650	760	LLC	FALSE	14501	6	5.33906265024765	6.53876269556374e-05	732	1.3	12	2744
TM14-07	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16330	890	TM-LC	FALSE	16330	1			890	1.2	14	2709
TM14-11	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13860	750	PD	FALSE	14740	2	30.6837084976989	3.03704322193689e-08	3113	0.65	20	2672.7
TM14-12	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15820	850	PD	FALSE	14740	2	30.6837084976989	3.03704322193689e-08	3113	1.43	21	2679.8
TM14-13	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	21820	1100	PD	TRUE	14740					0.65	22	2678.9
TM14-15	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14990	780	LM	FALSE	14990	1			780	0.87	24	2638.5
TM14-16	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13780	740	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	1635	0.98	16	2854.4
TM14-17	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14740	770	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	1635	0.8	17	2853.5
TM14-18	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15460	810	LD	FALSE	14636	3	13.4345714665125	1.46365845338317e-06	1635	1.55	18	2858.6
UpLy-12-10	0	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	13950	740	ULC	FALSE	14684	3	15.7912155124654	1.3866352630268e-07	1764	0.85	3	3400
C2-Boulder1	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15830	840	ULC	FALSE	15626	3	3.57015113378685	0.0281515987010551	918	1.8	1	3409
C2-Boulder2	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16089	910	ULC	FALSE	15626	3	3.57015113378685	0.0281515987010551	918	0.75	2	3417
LoLy-11-08	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15120	830	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	2.5	7	2742
TM14-01	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16560	900	MLC	FALSE	16560	1			900	0.46	5	2955
TM14-02	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15080	790	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	1.1	8	2751
TM14-03	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15360	830	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	2.5	9	2740
TM14-04	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14960	780	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	0.8	10	2743
TM14-05	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14790	800	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	0.82	11	2740
TM14-06	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15100	790	LLC	FALSE	15060	6	0.469006614086513	0.799630644767826	328	1.3	12	2744
TM14-07	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16990	900	TM-LC	FALSE	16990	1			900	1.2	14	2709
TM14-11	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15030	800	PD	FALSE	15616	2	12.1906777777778	0.000480289294772271	2077	0.65	20	2672.7
TM14-12	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	16240	890	PD	FALSE	15616	2	12.1906777777778	0.000480289294772271	2077	1.43	21	2679.8
TM14-13	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	23740	1260	PD	TRUE	15616					0.65	22	2678.9
TM14-15	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15900	860	LM	FALSE	15900	1			860	0.87	24	2638.5
TM14-16	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	14630	770	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	1262	0.98	16	2854.4
TM14-17	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15740	840	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	1262	0.8	17	2853.5
TM14-18	100	Ext	CREp	WorldWideMean	LSDn	ERA40	Lifton2016	15840	850	LD	FALSE	15374	3	7.1463624260355	0.000787724281399632	1262	1.55	18	2858.6
