Sample_Name	PercentSnow	UncertType	Calculator	ProdRate	ScalingModel	Atmosphere	MagField	Age	Uncert	Location	Outlier	WMean	SpG	MSWD	P_MSWD	WMean_SD	Boulder_Height_m	LocationOrder	Elevation_m
TM14-17	100	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15038	264	LD	FALSE	14693	3	6.09354900728368	0.0022573832121377	373	0.8	17	2853.5
TM14-18	100	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15110	249	LD	FALSE	14693	3	6.09354900728368	0.0022573832121377	373	1.55	18	2858.6
UpLy-12-10	100	Int	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14508	228	ULC	FALSE	14912	3	2.40323046127059	0.090425365306289	219	0.85	3	3400
C2-Boulder1	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14770	912	ULC	FALSE	13931	3	15.9796644071672	1.14847071436312e-07	2019	1.8	1	3409
C2-Boulder2	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13956	903	ULC	FALSE	13931	3	15.9796644071672	1.14847071436312e-07	2019	0.75	2	3417
LoLy-11-08	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14438	940	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	2.5	7	2742
TM14-01	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14060	869	MLC	FALSE	14060	1			869	0.46	5	2955
TM14-02	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13771	852	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	1.1	8	2751
TM14-03	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14701	925	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	2.5	9	2740
TM14-04	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13230	812	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	0.8	10	2743
TM14-05	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13070	838	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	0.82	11	2740
TM14-06	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13950	875	LLC	FALSE	13774	6	5.20386711209374	8.84687605530128e-05	810	1.3	12	2744
TM14-07	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15562	977	TM-LC	FALSE	15562	1			977	1.2	14	2709
TM14-11	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13087	829	PD	FALSE	14020	2	29.2765065995226	6.27519125645836e-08	3371	0.65	20	2672.7
TM14-12	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15088	946	PD	FALSE	14020	2	29.2765065995226	6.27519125645836e-08	3371	1.43	21	2679.8
TM14-13	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	20986	1344	PD	TRUE	14020					0.65	22	2678.9
TM14-15	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14341	882	LM	FALSE	14341	1			882	0.87	24	2638.5
TM14-16	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13000	813	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	1807	0.98	16	2854.4
TM14-17	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14041	871	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	1807	0.8	17	2853.5
TM14-18	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14799	913	LD	FALSE	13922	3	13.1630081462256	1.92034030349636e-06	1807	1.55	18	2858.6
UpLy-12-10	0	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13139	817	ULC	FALSE	13931	3	15.9796644071672	1.14847071436312e-07	2019	0.85	3	3400
C2-Boulder1	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15074	931	ULC	FALSE	14912	3	2.40323046127059	0.090425365306289	840	1.8	1	3409
C2-Boulder2	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15289	991	ULC	FALSE	14912	3	2.40323046127059	0.090425365306289	840	0.75	2	3417
LoLy-11-08	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14464	942	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	2.5	7	2742
TM14-01	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15804	977	MLC	FALSE	15804	1			977	0.46	5	2955
TM14-02	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14427	892	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	1.1	8	2751
