Sample_Name	Boulder_Height_m
TM14-12--1	1.4363356193023
TM14-12--2	1.43952232770599
TM14-12--3	1.46825022150782
TM14-12--4	1.43407085573174
TM14-12--5	1.46107094484175
TM14-12--6	1.44511922136354
TM14-12--7	1.43747605271889
TM14-12--8	1.45198838247935
TM14-12--9	1.442655424758
TM14-12--10	1.46015870555258
TM14-12--11	1.43058972779043
TM14-12--12	1.44062914770613
TM14-12--13	1.4289500582521
TM14-12--14	1.40082395505488
TM14-12--15	1.42563305455322
TM14-12--16	1.44105433364669
TM14-12--17	1.40790894790441
TM14-12--18	1.43094509527864
TM14-12--19	1.43442878238357
TM14-12--20	1.43298410201357
TM14-12--21	1.43799903640866
TM14-12--22	1.41954741743582
TM14-12--23	1.4277320327209
TM14-12--24	1.44401132697095
TM14-12--25	1.41563726084135
TM14-12--26	1.39575579859043
TM14-12--27	1.41645815430543
TM14-12--28	1.45985244668251
TM14-12--29	1.44298236819405
TM14-12--30	1.45215168733586
TM14-12--31	1.4184118009077
TM14-12--32	1.4296268194818
TM14-12--33	1.45653239231917
TM14-12--34	1.46422330094755
TM14-12--35	1.39697451201304
TM14-12--36	1.4609210322257
TM14-12--37	1.41440363497974
TM14-12--38	1.43109962145112
TM14-12--39	1.4023118150746
TM14-12--40	1.45860605903354
TM14-12--41	1.47857137647031
TM14-12--42	1.43060583549335
TM14-12--43	1.44734874229574
TM14-12--44	1.44417738938509
TM14-12--45	1.44563384507455
TM14-12--46	1.44809402928424
TM14-12--47	1.45881801297343
TM14-12--48	1.41137187919166
TM14-12--49	1.42614187985145
TM14-12--50	1.43016852939246
TM14-12--51	1.44348681788779
TM14-12--52	1.43939354416536
TM14-12--53	1.42132601381386
TM14-12--54	1.41474227645642
TM14-12--55	1.41603412455063
TM14-12--56	1.45905029055001
TM14-12--57	1.48588339083551
TM14-12--58	1.43902294833883
TM14-12--59	1.42398675785415
TM14-12--60	1.4080525712111
TM14-12--61	1.4282128211722
TM14-12--62	1.43656028381935
TM14-12--63	1.4204878415435
TM14-12--64	1.42977387018733
TM14-12--65	1.41103887197078
TM14-12--66	1.42196666006569
TM14-12--67	1.43165419780413
TM14-12--68	1.41119190685424
