Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
C2-Boulder1--1	Be-10 (qtz)	15011	209	1230	14745	206	1149	14358	200	888	--	--	--
													
C2-Boulder1--2	Be-10 (qtz)	16066	222	1303	15677	216	1209	15245	210	934	--	--	--
													
C2-Boulder1--3	Be-10 (qtz)	15815	218	1281	15445	213	1189	15055	207	920	--	--	--
													
C2-Boulder1--4	Be-10 (qtz)	16038	222	1307	15650	217	1212	15219	211	936	--	--	--
													
C2-Boulder1--5	Be-10 (qtz)	16089	226	1327	15695	220	1230	15255	214	949	--	--	--
													
C2-Boulder1--6	Be-10 (qtz)	16108	232	1365	15707	226	1264	15256	219	974	--	--	--
													
C2-Boulder1--7	Be-10 (qtz)	15958	223	1313	15574	218	1218	15147	212	940	--	--	--
													
C2-Boulder1--8	Be-10 (qtz)	15252	211	1241	14948	207	1156	14588	202	896	--	--	--
													
C2-Boulder1--9	Be-10 (qtz)	15512	219	1284	15163	213	1193	14808	208	924	--	--	--
													
C2-Boulder1--10	Be-10 (qtz)	15222	209	1225	14925	204	1142	14566	199	885	--	--	--
													
C2-Boulder1--11	Be-10 (qtz)	15481	212	1248	15142	208	1161	14802	203	901	--	--	--
													
C2-Boulder1--12	Be-10 (qtz)	15358	213	1249	15037	208	1162	14687	203	902	--	--	--
													
C2-Boulder1--13	Be-10 (qtz)	15474	217	1275	15132	212	1184	14784	207	919	--	--	--
													
C2-Boulder1--14	Be-10 (qtz)	15645	218	1279	15287	213	1188	14917	207	920	--	--	--
													
C2-Boulder1--15	Be-10 (qtz)	15896	224	1316	15515	218	1220	15097	212	942	--	--	--
													
C2-Boulder1--16	Be-10 (qtz)	15384	218	1284	15054	214	1193	14694	208	924	--	--	--
													
C2-Boulder1--17	Be-10 (qtz)	15433	211	1242	15102	207	1156	14760	202	897	--	--	--
													
C2-Boulder1--18	Be-10 (qtz)	15242	210	1231	14941	205	1147	14579	200	889	--	--	--
													
C2-Boulder1--19	Be-10 (qtz)	15740	219	1284	15373	213	1192	14987	208	923	--	--	--
													
C2-Boulder1--20	Be-10 (qtz)	15558	216	1271	15207	211	1180	14848	206	915	--	--	--
													
C2-Boulder1--21	Be-10 (qtz)	15817	224	1317	15440	219	1221	15033	213	943	--	--	--
													
C2-Boulder1--22	Be-10 (qtz)	15204	209	1227	14910	205	1144	14542	200	886	--	--	--
													
C2-Boulder1--23	Be-10 (qtz)	15120	209	1227	14840	205	1145	14468	200	886	--	--	--
													
C2-Boulder1--24	Be-10 (qtz)	15237	209	1229	14937	205	1146	14579	200	888	--	--	--
													
C2-Boulder1--25	Be-10 (qtz)	15275	211	1239	14967	207	1154	14607	202	895	--	--	--
													
C2-Boulder1--26	Be-10 (qtz)	15329	211	1237	15013	206	1152	14658	201	893	--	--	--
													
C2-Boulder1--27	Be-10 (qtz)	15088	208	1224	14813	204	1142	14439	199	884	--	--	--
													
C2-Boulder1--28	Be-10 (qtz)	15708	216	1271	15345	211	1181	14967	206	915	--	--	--
													
C2-Boulder1--29	Be-10 (qtz)	15107	209	1226	14829	205	1144	14460	200	886	--	--	--
													
C2-Boulder1--30	Be-10 (qtz)	15624	214	1259	15270	209	1170	14902	204	907	--	--	--
													
C2-Boulder1--31	Be-10 (qtz)	15329	210	1234	15014	206	1149	14666	201	891	--	--	--
													
C2-Boulder1--32	Be-10 (qtz)	15955	225	1324	15569	220	1227	15140	213	947	--	--	--
													
C2-Boulder1--33	Be-10 (qtz)	15886	218	1283	15511	213	1191	15097	207	920	--	--	--
													
C2-Boulder1--34	Be-10 (qtz)	15519	218	1280	15169	213	1189	14815	208	922	--	--	--
													
C2-Boulder1--35	Be-10 (qtz)	15519	218	1282	15169	213	1191	14811	208	923	--	--	--
													
C2-Boulder1--36	Be-10 (qtz)	15439	213	1252	15105	208	1164	14762	204	904	--	--	--
													
C2-Boulder1--37	Be-10 (qtz)	15707	217	1275	15344	212	1184	14963	207	917	--	--	--
													
C2-Boulder1--38	Be-10 (qtz)	14898	205	1202	14640	201	1123	14268	196	869	--	--	--
													
C2-Boulder1--39	Be-10 (qtz)	15098	209	1231	14820	206	1148	14443	200	889	--	--	--
													
C2-Boulder1--40	Be-10 (qtz)	15840	224	1314	15463	218	1218	15058	212	942	--	--	--
													
C2-Boulder1--41	Be-10 (qtz)	15442	216	1267	15105	211	1178	14756	206	914	--	--	--
													
C2-Boulder1--42	Be-10 (qtz)	15551	218	1280	15199	213	1189	14842	208	922	--	--	--
													
C2-Boulder1--43	Be-10 (qtz)	15861	221	1298	15485	216	1205	15085	210	932	--	--	--
													
C2-Boulder1--44	Be-10 (qtz)	15454	212	1248	15119	208	1161	14775	203	901	--	--	--
													
C2-Boulder1--45	Be-10 (qtz)	15844	219	1289	15471	214	1196	15069	208	925	--	--	--
													
C2-Boulder1--46	Be-10 (qtz)	15567	219	1284	15214	213	1192	14849	208	924	--	--	--
													
C2-Boulder1--47	Be-10 (qtz)	16412	229	1345	16005	223	1247	15546	217	962	--	--	--
													
C2-Boulder1--48	Be-10 (qtz)	15125	208	1221	14844	204	1140	14472	199	882	--	--	--
													
C2-Boulder1--49	Be-10 (qtz)	15768	218	1281	15400	213	1189	15003	207	920	--	--	--
													
C2-Boulder1--50	Be-10 (qtz)	16099	223	1312	15707	218	1217	15274	212	940	--	--	--
													
C2-Boulder1--51	Be-10 (qtz)	16017	228	1340	15625	222	1242	15187	216	957	--	--	--
													
C2-Boulder1--52	Be-10 (qtz)	15656	217	1277	15297	212	1186	14920	207	919	--	--	--
													
C2-Boulder1--53	Be-10 (qtz)	15115	208	1222	14835	204	1141	14464	199	883	--	--	--
													
C2-Boulder1--54	Be-10 (qtz)	16092	224	1313	15700	218	1218	15264	212	940	--	--	--
													
C2-Boulder1--55	Be-10 (qtz)	15716	219	1285	15351	213	1192	14966	208	923	--	--	--
													
C2-Boulder1--56	Be-10 (qtz)	15516	213	1249	15171	208	1161	14820	203	901	--	--	--
													
C2-Boulder1--57	Be-10 (qtz)	15332	212	1248	15015	208	1162	14661	203	901	--	--	--
													
C2-Boulder1--58	Be-10 (qtz)	14832	203	1194	14577	200	1115	14209	195	864	--	--	--
													
C2-Boulder1--59	Be-10 (qtz)	14642	201	1178	14399	197	1102	14037	192	853	--	--	--
													
C2-Boulder1--60	Be-10 (qtz)	15107	210	1235	14827	206	1152	14451	201	892	--	--	--
													
C2-Boulder1--61	Be-10 (qtz)	15490	215	1264	15147	210	1175	14795	205	911	--	--	--
													
C2-Boulder1--62	Be-10 (qtz)	15294	212	1244	14983	207	1159	14624	202	898	--	--	--
													
C2-Boulder1--63	Be-10 (qtz)	15731	216	1266	15368	211	1176	14985	205	911	--	--	--
													
C2-Boulder1--64	Be-10 (qtz)	15268	210	1234	14962	206	1149	14602	201	891	--	--	--
													
C2-Boulder1--65	Be-10 (qtz)	15591	218	1280	15236	213	1189	14873	208	921	--	--	--
													
C2-Boulder1--66	Be-10 (qtz)	15498	215	1262	15154	210	1173	14804	205	910	--	--	--
													
C2-Boulder1--67	Be-10 (qtz)	16301	233	1371	15890	227	1269	15429	220	978	--	--	--
													
C2-Boulder1--68	Be-10 (qtz)	14989	208	1225	14725	205	1144	14344	199	885	--	--	--
													
C2-Boulder1--69	Be-10 (qtz)	15370	213	1251	15047	208	1164	14697	203	903	--	--	--
													
C2-Boulder1--70	Be-10 (qtz)	14930	205	1207	14670	202	1128	14295	197	873	--	--	--
													
C2-Boulder1--71	Be-10 (qtz)	15762	220	1293	15392	215	1200	15002	209	928	--	--	--
													
C2-Boulder1--72	Be-10 (qtz)	15379	212	1248	15055	208	1161	14713	203	901	--	--	--
													
C2-Boulder1--73	Be-10 (qtz)	15294	214	1256	14981	209	1170	14618	204	906	--	--	--
													
C2-Boulder1--74	Be-10 (qtz)	15545	217	1273	15195	212	1182	14837	207	917	--	--	--
													
C2-Boulder1--75	Be-10 (qtz)	15735	225	1320	15362	219	1224	14969	213	946	--	--	--
													
C2-Boulder1--76	Be-10 (qtz)	15151	208	1220	14866	204	1138	14495	199	881	--	--	--
													
C2-Boulder1--77	Be-10 (qtz)	15137	209	1228	14853	205	1145	14483	200	887	--	--	--
													
C2-Boulder1--78	Be-10 (qtz)	16211	230	1352	15807	224	1252	15352	217	965	--	--	--
													
C2-Boulder1--79	Be-10 (qtz)	15145	208	1224	14861	204	1141	14490	199	884	--	--	--
													
C2-Boulder1--80	Be-10 (qtz)	15266	210	1235	14960	206	1151	14599	201	892	--	--	--
													
C2-Boulder1--81	Be-10 (qtz)	15658	217	1274	15298	212	1184	14925	207	917	--	--	--
													
C2-Boulder1--82	Be-10 (qtz)	15817	227	1332	15437	221	1235	15028	215	954	--	--	--
													
C2-Boulder1--83	Be-10 (qtz)	15455	213	1249	15119	208	1162	14776	203	902	--	--	--
													
C2-Boulder1--84	Be-10 (qtz)	15661	215	1264	15303	210	1175	14930	205	910	--	--	--
													
C2-Boulder1--85	Be-10 (qtz)	15374	213	1249	15050	208	1162	14700	203	901	--	--	--
													
