Speleothem	Years_B1950	d18O
SCH02	11836	-8.61
SCH02	11882	-8.48
SCH02	11928	-8.09
SCH02	11974	-8.24
SCH02	12020	-8.21
SCH02	12066	-8.16
SCH02	12112	-8.21
SCH02	12158	-8.14
SCH02	12204	-8.16
SCH02	12251	-7.92
SCH02	12297	-8.16
SCH02	12343	-7.79
SCH02	12389	-7.66
SCH02	12435	-7.46
SCH02	12481	-7.51
SCH02	12527	-7.65
SCH02	12573	-7.9
SCH02	12635	-7.55
SCH02	12712	-7.72
SCH02	12789	-7.82
SCH02	12866	-7.85
SCH02	12943	-7.51
SCH02	13020	-7.74
SCH02	13085	-7.64
SCH02	13150	-7.38
SCH02	13215	-7.67
SCH02	13281	-7.7
SCH02	13346	-8.07
SCH02	13411	-7.8
SCH02	13453	-7.92
SCH02	13480	-8.02
SCH02	13508	-8.05
SCH02	13535	-8.02
SCH02	13562	-7.98
SCH02	13590	-7.81
SCH02	13617	-8.02
SCH02	13644	-8.16
SCH02	13672	-8.12
SCH02	13699	-8.14
SCH02	13726	-7.99
SCH02	13753	-7.5
SCH02	13808	-7.47
SCH02	13869	-7.99
SCH02	13930	-7.97
SCH02	13991	-7.76
SCH02	14052	-7.97
SCH02	14114	-7.86
SCH02	14175	-8.11
SCH02	14236	-7.79
SCH02	14297	-7.61
SCH02	14358	-7.9
SCH02	14419	-7.84
SCH02	14480	-7.5
SCH02	14541	-7.88
SCH02	14594	-7.5
SCH02	14646	-7.48
SCH02	14699	-7.39
SCH02	14752	-7.12
SCH02	14805	-7.4
SCH02	14858	-7.24
SCH02	14911	-7.14
BA04	14960	-7.13
BA04	14990	-7.15
BA04	15020	-7.05
BA04	15050	-7.09
BA04	15080	-7.1
BA04	15110	-6.92
BA04	15140	-6.87
BA04	15170	-6.87
BA04	15201	-6.78
BA04	15231	-6.76
BA04	15261	-6.77
BA04	15291	-6.64
BA04	15321	-6.77
BA04	15351	-6.89
BA04	15381	-6.93
BA04	15411	-6.65
BA04	15441	-6.79
BA04	15471	-6.85
BA04	15501	-6.87
BA04	15531	-6.8
BA04	15561	-6.71
BA04	15592	-6.91
BA04	15622	-6.78
BA04	15652	-6.59
BA04	15682	-6.72
BA04	15712	-6.61
BA04	15742	-6.6
BA04	15772	-6.48
BA04	15802	-6.75
BA04	15832	-6.83
BA04	15862	-6.91
BA04	15892	-6.94
BA04	15922	-6.97
BA04	15982	-6.86
BA04	16072	-6.82
BA04	16161	-6.83
BA04	16251	-7.1
BA04	16340	-7.16
BA04	16430	-7.14
BA04	16519	-7.08
BA04	16609	-7.05
BA04	16698	-7.13
BA04	16788	-7.15
BA04	16877	-7.1
BA04	16967	-7.04
BA04	17056	-7.16
BA04	17146	-7.21
BA04	17235	-7.21
BA04	17325	-7.36
BA04	17414	-7.19
BA04	17492	-7.26
BA04	17541	-7.36
