depth_mm	Years_B1950	McLean.d13C	McLean.d18O
75.59	13646.7	-10.62	-8.91
75.86	13652.3	-10.61	-9.19
76.13	13657.8	-10.69	-9.02
76.4	13663.4	-10.77	-9.02
76.67	13669	-10.75	-8.77
77.21	13680.1	-10.45	-8.73
77.75	13691.3	-10.01	-8.68
78.02	13696.9	-10.2	-8.94
78.56	13708.1	-10.02	-8.78
78.83	13713.8	-10.11	-8.72
79.1	13719.4	-10.02	-8.46
79.37	13725	-10.15	-8.66
79.64	13730.7	-10.19	-8.49
79.91	13736.3	-10.1	-8.48
80.18	13742	-10.11	-8.32
80.45	13747.7	-9.94	-8.38
80.72	13753.3	-10.04	-8.39
81.33	13766.2	-10.06	-8.44
81.9	13778.3	-10.68	-8.82
82.22	13785	-10	-8.83
82.54	13791.9	-10.43	-9.31
82.86	13798.7	-10.38	-9.78
83.18	13805.5	-10.15	-9.75
83.5	13812.4	-10.02	-9.41
83.82	13819.2	-10.08	-9.55
84.14	13826.1	-10.4	-9.36
84.46	13833	-10.63	-9.87
84.78	13839.9	-10.6	-10.15
85.1	13846.8	-10.38	-9.12
85.42	13853.8	-10.47	-9.94
85.74	13860.7	-10.65	-10.66
86.06	13867.7	-10.76	-10.43
86.38	13874.7	-10.27	-10.58
86.7	13881.7	-10.11	-10.19
87.98	13910	-9.99	-9.55
88.3	13917.1	-10.04	-9.43
88.62	13924.3	-10.19	-8.87
88.94	13931.4	-10.07	-9.15
89.26	13938.6	-10.2	-8.93
89.58	13945.8	-10.1	-9.23
89.9	13953	-10.52	-8.99
90.22	13960.3	-10.4	-8.98
90.54	13967.6	-10.28	-9.27
90.86	13974.9	-10.39	-8.95
91.18	13982.2	-10.37	-9.08
91.5	13989.5	-10.27	-8.83
91.82	13996.9	-10.57	-9.57
92.14	14004.3	-10.99	-8.61
92.46	14011.7	-11.11	-9.18
92.78	14019.1	-10.58	-8.75
93.1	14026.6	-10.78	-9.64
93.42	14034.1	-10.84	-8.97
93.74	14041.6	-10.87	-8.34
94.06	14049.2	-10.97	-9.45
94.38	14056.7	-10.78	-8.58
94.7	14064.3	-11.29	-10.07
