Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-06--1	Be-10 (qtz)	14002	252	1172	13782	247	1098	13867	249	882	--	--	--
													
TM14-06--2	Be-10 (qtz)	14174	257	1197	13966	253	1122	14046	254	902	--	--	--
													
TM14-06--3	Be-10 (qtz)	13353	233	1084	13137	229	1015	13178	230	813	--	--	--
													
TM14-06--4	Be-10 (qtz)	13691	242	1127	13473	238	1055	13533	239	847	--	--	--
													
TM14-06--5	Be-10 (qtz)	13737	242	1130	13521	239	1058	13588	240	850	--	--	--
													
TM14-06--6	Be-10 (qtz)	13504	237	1105	13285	233	1035	13335	234	830	--	--	--
													
TM14-06--7	Be-10 (qtz)	13434	235	1097	13216	231	1027	13261	232	823	--	--	--
													
TM14-06--8	Be-10 (qtz)	13920	249	1161	13701	245	1087	13770	246	873	--	--	--
													
TM14-06--9	Be-10 (qtz)	13465	235	1093	13247	231	1023	13295	232	820	--	--	--
													
TM14-06--10	Be-10 (qtz)	13710	243	1130	13492	239	1059	13555	240	850	--	--	--
													
TM14-06--11	Be-10 (qtz)	13642	242	1126	13423	238	1054	13485	239	846	--	--	--
													
TM14-06--12	Be-10 (qtz)	13647	240	1120	13429	237	1049	13494	238	842	--	--	--
													
TM14-06--13	Be-10 (qtz)	13707	241	1124	13490	237	1053	13553	238	845	--	--	--
													
TM14-06--14	Be-10 (qtz)	13541	237	1103	13322	233	1033	13375	234	829	--	--	--
													
TM14-06--15	Be-10 (qtz)	14077	253	1179	13863	249	1104	13954	251	888	--	--	--
													
TM14-06--16	Be-10 (qtz)	13688	241	1122	13472	237	1051	13535	238	843	--	--	--
													
TM14-06--17	Be-10 (qtz)	13805	245	1143	13589	241	1070	13653	243	859	--	--	--
													
TM14-06--18	Be-10 (qtz)	13526	241	1123	13303	237	1051	13353	238	842	--	--	--
													
TM14-06--19	Be-10 (qtz)	13442	235	1093	13224	231	1024	13271	232	821	--	--	--
													
TM14-06--20	Be-10 (qtz)	13964	247	1150	13746	243	1077	13826	244	866	--	--	--
													
TM14-06--21	Be-10 (qtz)	13543	237	1104	13323	233	1034	13372	234	829	--	--	--
													
TM14-06--22	Be-10 (qtz)	13671	238	1110	13456	234	1039	13520	235	834	--	--	--
													
TM14-06--23	Be-10 (qtz)	13621	237	1106	13404	233	1035	13463	234	831	--	--	--
													
TM14-06--24	Be-10 (qtz)	13557	241	1123	13335	237	1051	13387	238	843	--	--	--
													
TM14-06--25	Be-10 (qtz)	13767	242	1127	13553	238	1056	13617	239	847	--	--	--
													
TM14-06--26	Be-10 (qtz)	13940	248	1157	13721	244	1084	13801	246	871	--	--	--
													
TM14-06--27	Be-10 (qtz)	13726	242	1130	13510	239	1058	13574	240	849	--	--	--
													
TM14-06--28	Be-10 (qtz)	13867	246	1146	13650	242	1073	13717	243	862	--	--	--
													
TM14-06--29	Be-10 (qtz)	13957	250	1163	13737	246	1089	13813	247	875	--	--	--
													
TM14-06--30	Be-10 (qtz)	13720	243	1132	13504	239	1060	13573	240	851	--	--	--
													
TM14-06--31	Be-10 (qtz)	13857	248	1154	13639	244	1080	13707	245	867	--	--	--
													
TM14-06--32	Be-10 (qtz)	13784	245	1140	13569	241	1067	13634	242	857	--	--	--
													
TM14-06--33	Be-10 (qtz)	13564	238	1110	13344	234	1039	13397	235	833	--	--	--
													
TM14-06--34	Be-10 (qtz)	13551	237	1106	13332	234	1036	13388	234	831	--	--	--
													
TM14-06--35	Be-10 (qtz)	14068	250	1167	13855	247	1093	13944	248	879	--	--	--
													
TM14-06--36	Be-10 (qtz)	13747	241	1124	13533	237	1053	13597	238	845	--	--	--
													
TM14-06--37	Be-10 (qtz)	13569	241	1125	13347	237	1053	13401	238	844	--	--	--
													
TM14-06--38	Be-10 (qtz)	13573	237	1106	13354	234	1036	13407	234	831	--	--	--
													
TM14-06--39	Be-10 (qtz)	13997	249	1160	13778	245	1087	13862	247	874	--	--	--
													
TM14-06--40	Be-10 (qtz)	13658	238	1111	13442	235	1041	13504	236	835	--	--	--
													
TM14-06--41	Be-10 (qtz)	14056	254	1186	13839	250	1110	13929	252	893	--	--	--
													
TM14-06--42	Be-10 (qtz)	13513	236	1101	13294	232	1030	13341	233	826	--	--	--
													
TM14-06--43	Be-10 (qtz)	13566	238	1110	13346	234	1039	13398	235	834	--	--	--
													
TM14-06--44	Be-10 (qtz)	13691	240	1118	13475	236	1047	13540	237	841	--	--	--
													
TM14-06--45	Be-10 (qtz)	13834	248	1155	13616	244	1082	13681	245	868	--	--	--
													
TM14-06--46	Be-10 (qtz)	13609	237	1105	13391	233	1034	13448	234	830	--	--	--
													
TM14-06--47	Be-10 (qtz)	13624	242	1129	13403	238	1057	13461	239	848	--	--	--
													
TM14-06--48	Be-10 (qtz)	13971	249	1163	13750	245	1089	13830	247	875	--	--	--
													
TM14-06--49	Be-10 (qtz)	13573	239	1114	13352	235	1043	13408	236	837	--	--	--
													
TM14-06--50	Be-10 (qtz)	13402	233	1088	13184	230	1018	13224	230	816	--	--	--
													
TM14-06--51	Be-10 (qtz)	13611	237	1105	13393	233	1034	13447	234	830	--	--	--
													
TM14-06--52	Be-10 (qtz)	13696	241	1122	13480	237	1051	13547	238	844	--	--	--
													
TM14-06--53	Be-10 (qtz)	13467	238	1107	13247	234	1036	13294	234	831	--	--	--
													
TM14-06--54	Be-10 (qtz)	13386	234	1092	13168	231	1023	13213	231	820	--	--	--
													
TM14-06--55	Be-10 (qtz)	13508	235	1096	13290	231	1027	13338	232	823	--	--	--
													
TM14-06--56	Be-10 (qtz)	13869	248	1155	13651	244	1081	13718	245	868	--	--	--
													
TM14-06--57	Be-10 (qtz)	13602	240	1117	13382	236	1046	13441	237	839	--	--	--
													
TM14-06--58	Be-10 (qtz)	13485	237	1104	13265	233	1034	13311	234	829	--	--	--
													
TM14-06--59	Be-10 (qtz)	13551	241	1123	13328	237	1051	13379	238	843	--	--	--
													
TM14-06--60	Be-10 (qtz)	13424	234	1091	13206	230	1022	13254	231	819	--	--	--
													
TM14-06--61	Be-10 (qtz)	13816	247	1151	13600	243	1078	13671	244	865	--	--	--
													
TM14-06--62	Be-10 (qtz)	13405	235	1095	13186	231	1025	13230	232	822	--	--	--
													
TM14-06--63	Be-10 (qtz)	13751	245	1140	13534	241	1068	13603	242	858	--	--	--
													
TM14-06--64	Be-10 (qtz)	13548	238	1107	13328	234	1036	13380	235	831	--	--	--
													
TM14-06--65	Be-10 (qtz)	14088	254	1183	13874	250	1108	13967	252	891	--	--	--
													
TM14-06--66	Be-10 (qtz)	13804	240	1120	13592	237	1050	13658	238	843	--	--	--
													
TM14-06--67	Be-10 (qtz)	13542	236	1099	13323	232	1029	13372	233	825	--	--	--
													
TM14-06--68	Be-10 (qtz)	13516	237	1105	13296	233	1034	13344	234	829	--	--	--
													
TM14-06--69	Be-10 (qtz)	13516	235	1097	13297	232	1027	13347	232	824	--	--	--
													
TM14-06--70	Be-10 (qtz)	13882	247	1151	13664	243	1078	13733	244	866	--	--	--
													
TM14-06--71	Be-10 (qtz)	13499	236	1101	13280	232	1031	13326	233	826	--	--	--
													
TM14-06--72	Be-10 (qtz)	13967	246	1145	13750	242	1072	13832	243	862	--	--	--
													
TM14-06--73	Be-10 (qtz)	14045	250	1165	13829	246	1092	13915	248	878	--	--	--
													
TM14-06--74	Be-10 (qtz)	13335	233	1084	13120	229	1015	13161	230	814	--	--	--
													
TM14-06--75	Be-10 (qtz)	13401	233	1088	13184	230	1018	13229	230	816	--	--	--
													
TM14-06--76	Be-10 (qtz)	13734	242	1127	13520	238	1056	13587	239	848	--	--	--
													
TM14-06--77	Be-10 (qtz)	13995	248	1154	13777	244	1081	13860	245	869	--	--	--
													
TM14-06--78	Be-10 (qtz)	13988	252	1175	13766	248	1100	13848	250	884	--	--	--
													
TM14-06--79	Be-10 (qtz)	13747	242	1127	13532	238	1056	13599	239	848	--	--	--
													
