Years_B1950	Depth_cm	TEXH86	SST_C	BIT_index	Branched_GDGT_conc_ppm
16018.9	1547.5	0.427	13.21		
16205.2	1567.5	0.454	14.75	0.030210599	0.632684473
16391.5	1587.5	0.412	12.38	0.034148774	0.353220825
16577.8	1607.5	0.434	13.64	0.035357103	0.602975945
16764.1	1627.5	0.456	14.86	0.025294547	0.579433206
16916.3	1647.5	0.433	13.56	0.027886974	0.600823375
16989.1	1667.5	0.425	13.12	0.021327767	0.788790996
17057.4	1687.5	0.409	12.21	0.040512467	0.351562089
17132.7	1708.5	0.422	12.93	0.019574029	0.300202757
17201.9	1727.5	0.424	13.03	0.022690092	0.066486016
17278.2	1748.5	0.399	11.64	0.018592175	0.391079014
17351	1768.5	0.466	15.43	0.019928438	0.617123639
17423.7	1788.5	0.442	14.05	0.025237803	0.349163101
17507.4	1887.5	0.428	13.28	0.022239065	0.371735412
17658.7	2008.5	0.413	12.45	0.019869312	0.490223582
17731.5	2028.5	0.427	13.24	0.033438453	0.350242055
17872.2	2091.5	0.381	10.65	0.022816532	0.555153108
17900.4	2130.5	0.393	11.3	0.022669035	0.726533799
17977.7	2288.5	0.415	12.54	0.016363891	0.398970721
18046.8	2307.5	0.421	12.86	0.017421756	0.691486195
18119.6	2327.5	0.391	11.2	0.028605653	0.63599295
18192.3	2347.5	0.404	11.92	0.019940972	0.170323133
18257.8	2365.5	0.419	12.74	0.018758576	0.041957218
18410.5	2407.5	0.4	11.68	0.018095029	0.277685923
18410.5	2407.5	0.394	11.37	0.01606654	0.408481313
18483.3	2427.5	0.427	13.24	0.013401894	0.036259225
18559.7	2448.5	0.424	13.02	0.02663501	0.954889596
18705.2	2488.5	0.452	14.59	0.019004278	0.553986975
18776.1	2508.5	0.432	13.49	0.01990375	0.936434195
18848.8	2528.5	0.415	12.52	0.018453879	0.039346541
18899.8	2542.5	0.439	13.89		
18921.6	2548.5	0.413	12.45	0.020814882	0.259220805
18999.3	2568.5	0.433	13.56		
19080.8	2589.5	0.426	13.19	0.015010387	0.03538239
19157	2608.5	0.431	13.41		
19237.1	2628.5	0.417	12.65		
19317.3	2648.5	0.4	11.69	0.018764685	1.136290363
19389.3	2668.5	0.444	14.17		
19472.1	2691.5	0.436	13.74		
19533.3	2708.5	0.424	13.03	0.023697657	0.329567319
19613.5	2728.5	0.424	13.08	0.018444537	0.397875495
19693.6	2748.5	0.419	12.77	0.015712583	0.438404057
19773.8	2768.5	0.41	12.26	0.017388916	0.228256338
19826.9	2785.5	0.432	13.49	0.02016599	0.535665368
19922.8	2807.5	0.426	13.17		
20014.3	2828.5	0.427	13.22	0.019260664	0.471305503
20090.5	2847.5	0.431	13.42	0.024997754	1.820391989
20158.3	2868.5	0.445	14.2		
20248.7	2896.5	0.449	14.43		
20310.1	2915.5	0.459	15.01	0.020333319	1.067329203
20360.4	2928.5	0.42	12.83		
20426.2	2945.5	0.41	12.24		
20515.2	2968.5	0.42	12.8		
20588.7	2987.5	0.446	14.31	0.023530098	0.910285853
20672.8	3008.5	0.44	13.95	0.027863166	1.074004909
20731.8	3040.5	0.436	13.7	0.022791044	0.907597265
20869.2	3109.5	0.431	13.43	0.025928854	5.150449957
20945.4	3128.5	0.409	12.2	0.017369532	0.806092098
21049.1	3148.5	0.429	13.31		
21142.4	3166.5	0.412	12.37	0.020234117	1.232826762
21186.4	3207.5	0.482	16.31	0.027238361	1.05879519
21193.4	3209.5	0.426	13.18		
21423.4	3257.5	0.465	15.34	0.035079863	0.558563403
21423.4	3257.5	0.435	13.66	0.018472836	
21453.4	3262.5	0.437	13.76		
21483.4	3267.5	0.449	14.48	0.019434731	0.649558775
21513.4	3272.5	0.416	12.6		0.561363823
21571.8	3282.5	0.424	13.07	0.015163281	
21600.4	3287.5	0.5	17.34		
21744	3332.5	0.44	13.94		
21759.3	3337.5	0.45	14.54	0.027802236	0.083916052
