Depth_m	Age_yrsB1950	CH4_ppb
2165.3260	13622.483	675.76
2167.3260	13645.346	660.17
2169.3270	13668.756	636.51
2171.3270	13691.331	632.17
2175.3230	13736.331	652.96
2177.3260	13759.667	654.76
2179.3250	13780.251	658.01
2181.3250	13802.062	668.74
2183.4220	13828.164	672.89
2185.3230	13849.566	679.44
2187.3200	13872.495	672.65
2189.3220	13893.523	658.31
2191.3210	13917.984	654.30
2195.4130	13965.604	660.53
2197.3220	13989.917	663.81
2198.3200	14002.767	654.61
2199.3210	14013.236	648.65
2200.3210	14023.884	640.64
2201.3200	14036.356	622.43
2202.3210	14048.202	603.89
2204.3220	14071.125	590.89
2205.3200	14084.472	578.85
2206.3210	14097.462	578.06
2207.3200	14108.859	573.77
2208.3180	14121.062	575.30
2209.3210	14134.072	584.15
2210.3200	14145.901	607.01
2211.3210	14157.575	635.17
2212.3200	14168.427	635.32
2214.3200	14192.095	650.54
2215.3770	14206.578	651.83
2216.3220	14216.392	645.73
2217.3200	14228.062	630.51
2218.3180	14238.496	628.00
2219.3190	14250.355	632.46
2220.3190	14261.409	623.17
2221.3190	14274.055	623.87
2222.3180	14285.391	640.44
2224.3210	14309.577	639.70
2225.2450	14319.187	632.43
2226.2720	14331.116	621.90
2227.3210	14344.094	615.00
2228.4030	14355.442	614.61
2229.3220	14364.37	616.86
2230.3220	14376.063	618.82
2231.3210	14388.793	622.72
2232.3210	14399.858	626.70
2234.3180	14423.159	616.00
2235.3190	14434.146	622.74
2236.3180	14443.283	627.99
2237.3190	14454.868	634.92
2238.2970	14464.56	635.22
2239.3200	14475.465	631.84
2240.3200	14487.411	622.74
2241.3200	14498.186	620.58
2242.3210	14509.104	629.38
2244.3210	14531.297	639.06
2245.3190	14542.59	628.37
2246.3210	14553.884	625.38
2247.3210	14564.487	625.07
2248.3740	14576.866	624.04
2249.3020	14586.185	625.53
2250.3230	14595.468	622.52
2251.3230	14607.237	620.39
2252.3230	14619.389	612.43
2254.8220	14646.209	593.84
2255.3240	14653.264	591.93
2256.3230	14664.087	585.70
2257.2730	14675.995	579.74
2258.2540	14687.227	577.83
2259.3200	14696.689	565.31
2260.3200	14707.908	533.07
2261.3190	14719.114	520.65
2262.3210	14731.838	503.74
2264.8660	14759.494	495.88
2265.3230	14764.391	492.87
2266.3230	14776.283	491.13
2267.3230	14788.771	489.33
2268.3230	14799.135	484.65
2269.3225	14811.58	487.77
2270.3220	14823.38	484.60
2271.4310	14836.547	484.48
2272.3200	14845.741	484.40
2274.3190	14870.127	489.48
2275.3190	14881.621	489.39
2276.3160	14893.443	487.82
2277.3140	14905.174	488.01
2278.3150	14916.902	489.73
2279.3160	14929.02	485.61
2280.3160	14941.521	487.63
2281.4240	14954.586	487.75
2282.3130	14964.944	480.63
2284.3120	14987.256	472.41
2285.3130	14999.306	475.61
2286.3120	15012.481	473.67
2287.3110	15024.25	476.24
2288.3110	15035.731	479.68
2289.3120	15050.417	487.44
2290.3100	15062.017	487.07
2291.4100	15073.426	480.29
2292.3100	15084.084	478.62
2294.3580	15108.468	475.26
2295.3080	15120.6	472.13
2296.3080	15133.528	471.33
2297.3070	15144.872	467.82
2298.3100	15157.517	471.89
2299.3080	15170.387	463.57
2300.3070	15182.086	461.83
2301.3660	15195.75	458.37
2302.3080	15207.212	461.86
2304.4190	15232.9	467.18
2305.3080	15244.399	472.26
2306.3090	15257.632	474.82
2307.3060	15269.502	473.69
2308.3060	15281.712	474.05
2309.3060	15295.264	464.44
2310.3050	15309.421	466.32
2311.3200	15322.593	466.97
2312.3070	15333.642	469.84
2314.3050	15359.788	475.56
2315.3060	15371.938	475.93
2316.3060	15383.78	476.06
2317.3070	15398.015	474.56
2318.3060	15410.98	475.98
2319.3080	15423.931	473.08
2320.3070	15436.682	476.16
2321.3080	15449.609	472.77
2322.3080	15463.965	471.55
2324.3100	15492.899	477.03
2325.5100	15509.172	477.18
2326.3090	15520.845	478.40
2327.3110	15533.971	476.59
2328.3110	15547.327	470.76
2329.3110	15562.38	478.32
2330.3100	15575.758	469.21
2331.3120	15589.714	467.93
2332.3130	15604.534	465.79
2334.3100	15635.723	459.31
2335.3110	15650.276	459.09
2336.3170	15664.774	460.70
2337.2570	15676.196	459.94
2338.3140	15690.989	457.23
2339.3140	15705.861	454.41
2340.3150	15720.819	453.00
2341.3170	15734.9	454.85
2342.3150	15751.53	453.31
2344.3110	15781.941	452.37
2345.3130	15798.336	450.25
2346.3110	15815.961	449.80
2347.3200	15831.403	450.85
2348.3090	15845.805	458.58
2349.3100	15860.713	459.53
2350.3080	15875.256	459.98
2351.3100	15890.609	459.68
2352.3090	15906.352	459.57
2354.3050	15937.51	458.71
2355.3080	15954.66	454.65
2356.3070	15969.161	454.02
2358.0770	15996.364	450.06
2358.3100	15999.894	450.24
2359.3100	16016.536	451.24
2360.3110	16035.351	448.15
2361.3120	16051.166	452.34
2362.3120	16066.101	449.38
2364.3110	16099.035	453.92
2365.3110	16116.027	463.81
2366.3100	16134.432	463.16
2367.3130	16152.123	465.62
2368.3130	16168.569	468.01
2369.3120	16188.37	475.09
2370.5030	16209.584	482.35
2371.3140	16224.721	483.47
2372.3150	16243.351	484.07
2374.3180	16279.643	448.92
2375.3190	16297.856	443.14
2376.3200	16318.375	443.06
2377.3200	16338.159	444.24
2378.3210	16356.056	442.93
2379.3210	16376.781	447.84
2380.3120	16393.793	450.63
2381.3220	16412.959	450.04
2382.3230	16433.359	451.88
2384.3250	16473.004	448.71
2385.3260	16494.286	440.44
2386.3250	16511.784	439.23
2387.3240	16532.964	433.18
2388.3250	16555.206	435.46
2389.3250	16573.514	433.43
2390.2820	16590.916	432.29
2391.3250	16612.282	432.90
2392.3280	16632.484	432.09
2394.3290	16672.716	433.79
2395.3280	16694.85	438.57
2396.3400	16715.537	438.94
2397.3300	16735.337	437.73
2398.3310	16755.611	434.99
2399.3310	16777.361	434.46
2400.2810	16799.154	439.47
2401.3330	16822.186	436.15
2402.3320	16840.826	429.65
2404.2320	16885.44	422.93
2405.2830	16907.878	423.91
2406.3310	16930.72	426.78
2407.3360	16953.972	426.38
2408.3320	16975.662	428.48
2409.2330	16996.593	436.25
2410.2850	17021.658	427.84
2411.3350	17046.43	427.93
2412.2850	17068.26	424.88
2414.3380	17115.802	424.29
2415.3360	17140.792	424.53
2416.3370	17165.599	420.70
2417.3360	17190.792	416.36
2418.3370	17214.305	422.34
2419.3370	17238.133	423.60
2420.3380	17263.553	417.44
