Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-07--1	Be-10 (qtz)	15903	282	1315	15544	275	1223	15601	277	980	--	--	--
													
TM14-07--2	Be-10 (qtz)	15150	264	1230	14880	259	1150	14951	260	923	--	--	--
													
TM14-07--3	Be-10 (qtz)	15453	271	1263	15135	265	1177	15194	266	944	--	--	--
													
TM14-07--4	Be-10 (qtz)	15983	286	1334	15616	279	1240	15672	280	994	--	--	--
													
TM14-07--5	Be-10 (qtz)	15728	277	1291	15382	271	1201	15440	272	963	--	--	--
													
TM14-07--6	Be-10 (qtz)	15994	289	1349	15625	282	1253	15683	283	1005	--	--	--
													
TM14-07--7	Be-10 (qtz)	15597	278	1297	15260	272	1207	15322	273	968	--	--	--
													
TM14-07--8	Be-10 (qtz)	15423	270	1261	15109	265	1175	15168	266	943	--	--	--
													
TM14-07--9	Be-10 (qtz)	15365	268	1248	15061	262	1164	15123	263	934	--	--	--
													
TM14-07--10	Be-10 (qtz)	15734	279	1299	15386	272	1209	15444	273	969	--	--	--
													
TM14-07--11	Be-10 (qtz)	15493	275	1283	15166	269	1195	15229	270	958	--	--	--
													
TM14-07--12	Be-10 (qtz)	15300	269	1256	15004	264	1172	15065	265	940	--	--	--
													
TM14-07--13	Be-10 (qtz)	15831	285	1328	15474	278	1235	15535	279	990	--	--	--
													
TM14-07--14	Be-10 (qtz)	15441	271	1263	15124	265	1177	15186	266	944	--	--	--
													
TM14-07--15	Be-10 (qtz)	15452	274	1277	15131	268	1189	15190	269	954	--	--	--
													
TM14-07--16	Be-10 (qtz)	15216	265	1235	14935	260	1154	15000	261	926	--	--	--
													
TM14-07--17	Be-10 (qtz)	15495	275	1283	15168	269	1195	15226	270	958	--	--	--
													
TM14-07--18	Be-10 (qtz)	16038	290	1350	15665	283	1254	15720	284	1005	--	--	--
													
TM14-07--19	Be-10 (qtz)	16057	291	1356	15682	284	1259	15739	285	1010	--	--	--
													
TM14-07--20	Be-10 (qtz)	15595	274	1280	15261	269	1192	15321	270	956	--	--	--
													
TM14-07--21	Be-10 (qtz)	15610	274	1278	15274	268	1190	15332	269	954	--	--	--
													
TM14-07--22	Be-10 (qtz)	15498	270	1258	15175	264	1173	15233	265	940	--	--	--
													
TM14-07--23	Be-10 (qtz)	15812	284	1324	15456	277	1231	15515	278	987	--	--	--
													
TM14-07--24	Be-10 (qtz)	15624	277	1294	15285	271	1204	15343	272	966	--	--	--
													
TM14-07--25	Be-10 (qtz)	15340	270	1258	15038	264	1173	15103	266	941	--	--	--
													
TM14-07--26	Be-10 (qtz)	15409	268	1251	15098	263	1167	15158	264	936	--	--	--
													
TM14-07--27	Be-10 (qtz)	15359	267	1247	15056	262	1163	15117	263	933	--	--	--
													
TM14-07--28	Be-10 (qtz)	15481	275	1282	15156	269	1194	15215	270	958	--	--	--
													
TM14-07--29	Be-10 (qtz)	15218	269	1256	14934	264	1172	14998	265	941	--	--	--
													
TM14-07--30	Be-10 (qtz)	15404	272	1270	15091	267	1184	15150	268	950	--	--	--
													
TM14-07--31	Be-10 (qtz)	15150	264	1230	14880	259	1150	14951	260	923	--	--	--
													
TM14-07--32	Be-10 (qtz)	15680	277	1293	15338	271	1204	15399	272	965	--	--	--
													
TM14-07--33	Be-10 (qtz)	15777	283	1321	15424	277	1228	15482	278	985	--	--	--
													
TM14-07--34	Be-10 (qtz)	15368	268	1248	15064	262	1164	15123	263	934	--	--	--
													
TM14-07--35	Be-10 (qtz)	15465	272	1270	15143	267	1183	15203	268	949	--	--	--
													
TM14-07--36	Be-10 (qtz)	15647	275	1284	15308	269	1195	15367	270	958	--	--	--
													
TM14-07--37	Be-10 (qtz)	15352	270	1259	15048	265	1174	15109	266	942	--	--	--
													
TM14-07--38	Be-10 (qtz)	15346	272	1266	15042	266	1181	15101	267	947	--	--	--
													
TM14-07--39	Be-10 (qtz)	15950	288	1341	15584	281	1246	15647	282	999	--	--	--
													
TM14-07--40	Be-10 (qtz)	15343	273	1273	15039	267	1187	15103	269	952	--	--	--
													
TM14-07--41	Be-10 (qtz)	15222	266	1242	14939	261	1160	15005	262	930	--	--	--
													
TM14-07--42	Be-10 (qtz)	15180	264	1232	14905	260	1152	14978	261	925	--	--	--
													
TM14-07--43	Be-10 (qtz)	15539	278	1298	15206	272	1208	15268	273	970	--	--	--
													
TM14-07--44	Be-10 (qtz)	15347	267	1246	15045	262	1163	15106	263	932	--	--	--
													
TM14-07--45	Be-10 (qtz)	15646	282	1314	15303	275	1222	15361	276	980	--	--	--
													
TM14-07--46	Be-10 (qtz)	15153	264	1230	14882	259	1150	14954	260	923	--	--	--
													
TM14-07--47	Be-10 (qtz)	15620	281	1311	15280	275	1220	15340	276	978	--	--	--
													
TM14-07--48	Be-10 (qtz)	16104	290	1353	15727	283	1257	15783	284	1008	--	--	--
													
TM14-07--49	Be-10 (qtz)	15576	279	1300	15240	273	1210	15300	274	971	--	--	--
													
TM14-07--50	Be-10 (qtz)	15495	277	1292	15167	271	1203	15230	272	965	--	--	--
													
TM14-07--51	Be-10 (qtz)	15780	286	1334	15425	279	1240	15484	280	994	--	--	--
													
TM14-07--52	Be-10 (qtz)	16253	298	1390	15865	291	1290	15925	292	1035	--	--	--
													
TM14-07--53	Be-10 (qtz)	15309	270	1259	15011	265	1174	15075	266	942	--	--	--
													
TM14-07--54	Be-10 (qtz)	15279	266	1241	14988	261	1158	15052	262	929	--	--	--
													
TM14-07--55	Be-10 (qtz)	15429	272	1270	15113	267	1184	15174	268	949	--	--	--
													
TM14-07--56	Be-10 (qtz)	15628	277	1293	15290	271	1203	15351	272	965	--	--	--
													
TM14-07--57	Be-10 (qtz)	15400	268	1250	15090	263	1166	15148	264	935	--	--	--
													
TM14-07--58	Be-10 (qtz)	15051	262	1222	14798	258	1143	14867	259	918	--	--	--
													
TM14-07--59	Be-10 (qtz)	15223	267	1245	14940	262	1163	15005	263	933	--	--	--
													
TM14-07--60	Be-10 (qtz)	15222	269	1253	14938	264	1170	15005	265	939	--	--	--
													
