Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	Jan_Insol_MJperM2	Feb_Insol_MJperM2	Mar_Insol_MJperM2	Apr_Insol_MJperM2	May_Insol_MJperM2	Jun_Insol_MJperM2	Jul_Insol_MJperM2	Aug_Insol_MJperM2	Sep_Insol_MJperM2	Oct_Insol_MJperM2	Nov_Insol_MJperM2	Dec_Insol_MJperM2	River_Basin	Record_Type
KSP	Kaiser Point	37.300	-119.100	9200	2800	202.32	279.81	479.22	632.81	782.63	804.43	806.93	700.55	531.11	342.33	215.99	172.51	San Joaquin	ONLY_DAILY
DTL	Dutch Lake	37.258	-118.997	9100	2770	229.14	308.78	513.62	661.69	803.82	820.79	826.15	727.87	564.97	374.54	243.25	196.85	San Joaquin	MONTHLY
KSR	Kaiser Pass	37.295	-119.102	9100	2770	226.41	306.50	511.75	660.89	804.52	821.81	826.95	727.50	563.25	372.23	240.56	194.46	San Joaquin	MONTHLY
CYT	Coyote Lake	37.208	-119.073	8850	2700	236.88	316.71	520.61	663.06	798.90	812.90	819.57	727.19	570.62	383.00	251.04	204.28	San Joaquin	MONTHLY
CRA	Cora Lakes	37.598	-119.267	8400	2560	208.59	286.49	485.88	635.42	779.89	799.11	802.80	701.53	536.92	349.59	222.39	178.18	San Joaquin	MONTHLY
BDF	Badger Flat	37.265	-119.108	8300	2530	199.43	276.89	475.42	627.51	774.47	795.48	798.13	694.33	527.02	339.04	213.04	169.46	San Joaquin	MONTHLY
NLL	Nellie Lake	37.257	-119.225	8000	2440	236.04	315.65	517.95	657.41	789.33	801.88	809.13	720.21	567.19	381.61	250.22	203.47	San Joaquin	MONTHLY
GRM	Green Mountain	37.555	-119.238	7900	2410	239.55	318.92	520.12	656.13	784.06	794.85	802.87	717.57	568.50	384.92	253.71	206.77	San Joaquin	ONLY_DAILY
THE	Lake Thomas A Edison	37.382	-119.020	7800	2380	203.81	281.32	479.23	628.23	771.93	791.15	794.77	693.97	530.01	343.76	217.55	173.76	San Joaquin	MONTHLY
DPO	Devil's Postpile	37.6294	-119.0847	7569	2307	209.57	285.69	482.91	628.50	766.02	783.02	787.71	692.26	533.50	348.21	222.75	179.04	San Joaquin	ONLY_DAILY
TMR	Tamarack Summit	37.165	-119.200	7550	2300	182.04	257.48	451.02	604.67	754.32	777.75	778.90	671.66	502.37	317.23	195.31	153.66	San Joaquin	ONLY_DAILY
