Years_B1950	Depth_cm	UK37	SST_C
20310.1	2915.5	0.724	20.62
20360.4	2928.5	0.669	18.95
20426.2	2945.5	0.706	20.06
20515.2	2968.5	0.627	17.68
20588.7	2987.5	0.72	20.49
20672.8	3008.5	0.781	22.32
20731.8	3040.5	0.655	18.5
20869.2	3109.5	0.719	20.44
20945.4	3128.5	0.764	21.82
21049.1	3148.5	0.713	20.28
21142.4	3166.5	0.731	20.82
21186.4	3207.5	0.856	24.61
21193.4	3209.5	0.663	18.76
21203.8	3212.5	0.68	19.28
21273.4	3232.5	0.687	19.48
21303.4	3237.5	0.677	19.19
21333.4	3242.5	0.648	18.3
21363.4	3247.5	0.665	18.82
21399.4	3253.5	0.679	19.23
21423.4	3257.5	0.707	20.08
21453.4	3262.5	0.698	19.8
21483.4	3267.5	0.714	20.3
21513.4	3272.5	0.737	21
21537.3	3282.5	0.77	21.99
21554.6	3279.5	0.705	20.03
21600.4	3287.5	0.776	22.19
21629.1	3292.5	0.682	19.35
21643.6	3297.5	0.674	19.1
21730.4	3327.5	0.714	20.3
21744	3332.5	0.754	21.52
21759.3	3337.5	0.725	20.62
21789.3	3342.5	0.773	22.09
21819.3	3347.5	0.735	20.95
21843.9	3352.5	0.761	21.72
21888.2	3361.5	0.808	23.16
22012.4	3393.5	0.731	20.81
22063.2	3407.5	0.75	21.39
22086.2	3417.5	0.74	21.1
22132.1	3422.5	0.709	20.16
22155.1	3427.5	0.697	19.79
22210.2	3439.5	0.761	21.74
22323	3477.5	0.75	21.41
22337.8	3482.5	0.699	19.84
22352.7	3487.5	0.741	21.11
22367.5	3492.5	0.82	23.52
22409.3	3497.5	0.735	20.92
22451.2	3502.5	0.693	19.66
22493	3507.5	0.693	19.65
22534.8	3512.5	0.765	21.85
22579.6	3517.5	0.688	19.53
22624.4	3522.5	0.832	23.87
22669.1	3527.5	0.737	20.99
22713.9	3532.5	0.733	20.88
22758.7	3537.5	0.682	19.34
22803.5	3542.5	0.707	20.09
22848.3	3547.5	0.69	19.59
22919.9	3555.5	0.731	20.83
22919.9	3556.5	0.688	19.5
22982.6	3562.5	0.691	19.6
23027.4	3567.5	0.662	18.72
23072.2	3572.5	0.696	19.74
23117	3577.5	0.776	22.19
