Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-04--1	Be-10 (qtz)	13266	202	1071	13055	199	1002	13098	200	801	--	--	--
													
TM14-04--2	Be-10 (qtz)	13022	198	1051	12800	195	983	12835	196	784	--	--	--
													
TM14-04--3	Be-10 (qtz)	13070	199	1055	12853	196	987	12896	196	788	--	--	--
													
TM14-04--4	Be-10 (qtz)	12960	197	1046	12725	194	977	12763	194	780	--	--	--
													
TM14-04--5	Be-10 (qtz)	12756	194	1029	12455	190	956	12466	190	762	--	--	--
													
TM14-04--6	Be-10 (qtz)	13115	200	1059	12903	197	991	12949	197	791	--	--	--
													
TM14-04--7	Be-10 (qtz)	13051	199	1053	12832	195	985	12873	196	787	--	--	--
													
TM14-04--8	Be-10 (qtz)	13162	201	1062	12954	197	995	12997	198	794	--	--	--
													
TM14-04--9	Be-10 (qtz)	13251	202	1070	13041	199	1001	13086	199	800	--	--	--
													
TM14-04--10	Be-10 (qtz)	13175	201	1063	12968	198	996	13010	198	795	--	--	--
													
TM14-04--11	Be-10 (qtz)	13228	202	1068	13019	198	999	13063	199	798	--	--	--
													
TM14-04--12	Be-10 (qtz)	12796	195	1033	12508	191	960	12524	191	765	--	--	--
													
TM14-04--13	Be-10 (qtz)	13059	199	1054	12841	196	986	12884	196	787	--	--	--
													
TM14-04--14	Be-10 (qtz)	13015	198	1050	12791	195	982	12827	195	784	--	--	--
													
TM14-04--15	Be-10 (qtz)	13152	200	1062	12944	197	994	12987	198	794	--	--	--
													
TM14-04--16	Be-10 (qtz)	12983	198	1048	12755	194	979	12788	195	782	--	--	--
													
TM14-04--17	Be-10 (qtz)	13205	201	1066	12997	198	998	13042	199	797	--	--	--
													
TM14-04--18	Be-10 (qtz)	12809	195	1034	12526	191	961	12544	191	767	--	--	--
													
TM14-04--19	Be-10 (qtz)	12967	198	1047	12734	194	978	12773	195	781	--	--	--
													
TM14-04--20	Be-10 (qtz)	12981	198	1048	12751	194	979	12788	195	782	--	--	--
													
TM14-04--21	Be-10 (qtz)	12991	198	1049	12765	194	980	12801	195	782	--	--	--
													
TM14-04--22	Be-10 (qtz)	13101	200	1057	12887	196	989	12932	197	790	--	--	--
													
TM14-04--23	Be-10 (qtz)	13132	200	1060	12921	197	992	12968	198	793	--	--	--
													
TM14-04--24	Be-10 (qtz)	13176	201	1063	12969	198	996	13011	198	795	--	--	--
													
TM14-04--25	Be-10 (qtz)	13030	199	1052	12809	195	983	12849	196	785	--	--	--
													
TM14-04--26	Be-10 (qtz)	12882	196	1040	12621	192	969	12644	193	773	--	--	--
													
TM14-04--27	Be-10 (qtz)	12850	196	1037	12579	192	966	12601	192	770	--	--	--
													
TM14-04--28	Be-10 (qtz)	12710	194	1026	12394	189	951	12396	189	758	--	--	--
													
TM14-04--29	Be-10 (qtz)	13024	198	1051	12801	195	983	12839	196	785	--	--	--
													
TM14-04--30	Be-10 (qtz)	13004	198	1050	12780	195	981	12819	195	783	--	--	--
													
TM14-04--31	Be-10 (qtz)	13284	202	1072	13072	199	1004	13114	200	802	--	--	--
													
TM14-04--32	Be-10 (qtz)	13043	199	1053	12822	195	984	12864	196	786	--	--	--
													
TM14-04--33	Be-10 (qtz)	13062	199	1054	12844	196	986	12889	196	788	--	--	--
													
TM14-04--34	Be-10 (qtz)	13180	201	1064	12974	198	996	13017	198	796	--	--	--
													
TM14-04--35	Be-10 (qtz)	13129	200	1060	12918	197	992	12967	198	793	--	--	--
													
TM14-04--36	Be-10 (qtz)	12825	195	1035	12545	191	963	12560	191	768	--	--	--
													
TM14-04--37	Be-10 (qtz)	13085	199	1056	12870	196	988	12917	197	789	--	--	--
													
TM14-04--38	Be-10 (qtz)	13160	201	1062	12953	197	994	12998	198	794	--	--	--
													
TM14-04--39	Be-10 (qtz)	12887	196	1040	12627	192	969	12657	193	774	--	--	--
													
TM14-04--40	Be-10 (qtz)	13164	201	1063	12958	197	995	13002	198	795	--	--	--
													
TM14-04--41	Be-10 (qtz)	13026	198	1051	12803	195	983	12839	196	785	--	--	--
													
TM14-04--42	Be-10 (qtz)	13178	201	1064	12971	198	996	13015	198	796	--	--	--
													
TM14-04--43	Be-10 (qtz)	13043	199	1053	12823	195	984	12865	196	786	--	--	--
													
TM14-04--44	Be-10 (qtz)	12977	198	1047	12746	194	978	12783	195	781	--	--	--
													
TM14-04--45	Be-10 (qtz)	13407	204	1082	13190	201	1013	13236	202	809	--	--	--
													
TM14-04--46	Be-10 (qtz)	13096	200	1057	12882	196	989	12930	197	790	--	--	--
													
TM14-04--47	Be-10 (qtz)	12961	197	1046	12725	194	977	12761	194	780	--	--	--
													
TM14-04--48	Be-10 (qtz)	12956	197	1046	12719	194	976	12753	194	779	--	--	--
													
TM14-04--49	Be-10 (qtz)	13072	199	1055	12855	196	987	12900	197	788	--	--	--
													
TM14-04--50	Be-10 (qtz)	13145	200	1061	12936	197	993	12981	198	793	--	--	--
													
TM14-04--51	Be-10 (qtz)	12998	198	1049	12773	195	981	12811	195	783	--	--	--
													
TM14-04--52	Be-10 (qtz)	13119	200	1059	12907	197	991	12955	197	792	--	--	--
													
TM14-04--53	Be-10 (qtz)	12909	197	1042	12657	193	972	12685	193	775	--	--	--
													
TM14-04--54	Be-10 (qtz)	12903	197	1041	12649	193	971	12679	193	775	--	--	--
													
TM14-04--55	Be-10 (qtz)	13134	200	1060	12923	197	992	12973	198	793	--	--	--
													
TM14-04--56	Be-10 (qtz)	12998	198	1049	12773	195	981	12812	195	783	--	--	--
													
TM14-04--57	Be-10 (qtz)	13185	201	1064	12978	198	996	13024	198	796	--	--	--
													
TM14-04--58	Be-10 (qtz)	12964	197	1046	12729	194	977	12765	194	780	--	--	--
													
TM14-04--59	Be-10 (qtz)	12923	197	1043	12676	193	973	12709	194	777	--	--	--
													
TM14-04--60	Be-10 (qtz)	13208	201	1066	13000	198	998	13042	199	797	--	--	--
													
TM14-04--61	Be-10 (qtz)	13010	198	1050	12786	195	982	12819	195	783	--	--	--
													
TM14-04--62	Be-10 (qtz)	13050	199	1053	12830	195	985	12868	196	786	--	--	--
													
TM14-04--63	Be-10 (qtz)	13020	198	1051	12798	195	982	12836	196	784	--	--	--
													
TM14-04--64	Be-10 (qtz)	13026	198	1051	12804	195	983	12842	196	785	--	--	--
													
TM14-04--65	Be-10 (qtz)	13065	199	1054	12847	196	986	12892	196	788	--	--	--
													
TM14-04--66	Be-10 (qtz)	13167	201	1063	12960	197	995	13003	198	795	--	--	--
													
TM14-04--67	Be-10 (qtz)	13049	199	1053	12829	195	985	12868	196	786	--	--	--
													
TM14-04--68	Be-10 (qtz)	13042	199	1053	12822	195	984	12863	196	786	--	--	--
													
TM14-04--69	Be-10 (qtz)	12915	197	1042	12664	193	972	12693	193	776	--	--	--
													
TM14-04--70	Be-10 (qtz)	13033	199	1052	12812	195	984	12850	196	785	--	--	--
													
TM14-04--71	Be-10 (qtz)	13157	200	1062	12949	197	994	12996	198	794	--	--	--
													
