Sample_Name	Boulder_Height_m
LoLy-11-08--1	2.637906398004
LoLy-11-08--2	2.45127700303901
LoLy-11-08--3	2.59833568097621
LoLy-11-08--4	2.53749731620951
LoLy-11-08--5	2.59437805297626
LoLy-11-08--6	2.28772383602588
LoLy-11-08--7	2.24107517635014
LoLy-11-08--8	2.46316762756204
LoLy-11-08--9	2.49769048267681
LoLy-11-08--10	2.389768018135
LoLy-11-08--11	2.63700391929639
LoLy-11-08--12	2.71209187015318
LoLy-11-08--13	2.36206132808313
LoLy-11-08--14	2.44386638120261
LoLy-11-08--15	2.49786081258855
LoLy-11-08--16	2.34828732078563
LoLy-11-08--17	2.53224302107296
LoLy-11-08--18	2.25679956557145
LoLy-11-08--19	2.25357388035545
LoLy-11-08--20	2.70828217654961
LoLy-11-08--21	2.68839206082926
LoLy-11-08--22	2.46489679085951
LoLy-11-08--23	2.28412753478987
LoLy-11-08--24	2.69075503071019
LoLy-11-08--25	2.56383928816563
LoLy-11-08--26	2.16057756559267
LoLy-11-08--27	2.44375014668298
LoLy-11-08--28	2.45411495717993
LoLy-11-08--29	2.4850683236764
LoLy-11-08--30	2.43054339288241
LoLy-11-08--31	2.57732461160806
LoLy-11-08--32	2.39398714783968
LoLy-11-08--33	2.50545917603082
LoLy-11-08--34	2.53512378790638
LoLy-11-08--35	2.52420296142892
LoLy-11-08--36	2.44209184032865
LoLy-11-08--37	2.55859582509669
LoLy-11-08--38	2.41809211440195
LoLy-11-08--39	2.48728489193487
LoLy-11-08--40	2.40157198877904
LoLy-11-08--41	2.51915021671701
LoLy-11-08--42	2.74459856753766
LoLy-11-08--43	2.57306015224615
LoLy-11-08--44	2.63256991375421
LoLy-11-08--45	2.32966630721389
LoLy-11-08--46	2.40646208478961
LoLy-11-08--47	2.50703940360751
LoLy-11-08--48	2.45341898577104
LoLy-11-08--49	2.51456100457499
LoLy-11-08--50	2.5635206036178
LoLy-11-08--51	2.35002770350711
LoLy-11-08--52	2.38066119254203
LoLy-11-08--53	2.54948819777311
LoLy-11-08--54	2.37701495245183
LoLy-11-08--55	2.5004047868035
LoLy-11-08--56	2.48762036075658
LoLy-11-08--57	2.55789316543762
LoLy-11-08--58	2.49925300629151
LoLy-11-08--59	2.46108941781413
LoLy-11-08--60	2.5866611336485
LoLy-11-08--61	2.32815307465854
LoLy-11-08--62	2.5075402545306
LoLy-11-08--63	2.79234218614202
LoLy-11-08--64	2.7265195058632
LoLy-11-08--65	2.2796015163908
LoLy-11-08--66	2.37044235952044
LoLy-11-08--67	2.32785273859767
LoLy-11-08--68	2.57304645583732
LoLy-11-08--69	2.46950741790317
LoLy-11-08--70	2.46224933370181
LoLy-11-08--71	2.51201872744872
LoLy-11-08--72	2.603375901271
LoLy-11-08--73	2.47993441444967
LoLy-11-08--74	2.57681837422182
LoLy-11-08--75	2.48815400510082
LoLy-11-08--76	2.5012895189443
LoLy-11-08--77	2.32409334116648
LoLy-11-08--78	2.49529577768686
LoLy-11-08--79	2.67246512064609
LoLy-11-08--80	2.3607479153484
LoLy-11-08--81	2.71511224638003
LoLy-11-08--82	2.60134495474369
LoLy-11-08--83	2.55071052074698
LoLy-11-08--84	2.64954796178259
LoLy-11-08--85	2.71730679439025
LoLy-11-08--86	2.38577337066107
LoLy-11-08--87	2.36273177924987
LoLy-11-08--88	2.20077462595625
LoLy-11-08--89	2.59441550492763
LoLy-11-08--90	2.3905563685506
LoLy-11-08--91	2.58857720777849
LoLy-11-08--92	2.52677106605155
LoLy-11-08--93	2.63104672267429
LoLy-11-08--94	2.48032394680266
LoLy-11-08--95	2.30713344595795
LoLy-11-08--96	2.53298393048451
LoLy-11-08--97	2.65783407751804
LoLy-11-08--98	2.55679786584238
LoLy-11-08--99	2.55661613915827
LoLy-11-08--100	2.49749318990462
LoLy-11-08--101	2.37569113538119
LoLy-11-08--102	2.41260304036642
LoLy-11-08--103	2.58805353573396
LoLy-11-08--104	2.78042030137688
LoLy-11-08--105	2.5012857999704
LoLy-11-08--106	2.51695187705723
LoLy-11-08--107	2.4326940274344
LoLy-11-08--108	2.64226592213591
LoLy-11-08--109	2.54387597775968
LoLy-11-08--110	2.5282003579201
LoLy-11-08--111	2.43172711468625
LoLy-11-08--112	2.60056289468206
LoLy-11-08--113	2.4681057263173
LoLy-11-08--114	2.55621365793925
LoLy-11-08--115	2.35796030756105
LoLy-11-08--116	2.50326024937276
LoLy-11-08--117	2.28787696516921
LoLy-11-08--118	2.51392507706866
LoLy-11-08--119	2.39867796786717
LoLy-11-08--120	2.449632073164
LoLy-11-08--121	2.5008360473723
LoLy-11-08--122	2.40103174338875
LoLy-11-08--123	2.48956658639677
LoLy-11-08--124	2.54587907239174
LoLy-11-08--125	2.45740569310732
LoLy-11-08--126	2.43770882573749
LoLy-11-08--127	2.59768782473789
LoLy-11-08--128	2.40192204174265
LoLy-11-08--129	2.38817545939169
LoLy-11-08--130	2.69146659546134
LoLy-11-08--131	2.61326820947969
LoLy-11-08--132	2.62517169638084
LoLy-11-08--133	2.52825719751662
LoLy-11-08--134	2.39944739932748
LoLy-11-08--135	2.53864361099641
LoLy-11-08--136	2.54449121684835
LoLy-11-08--137	2.34761120047124
LoLy-11-08--138	2.61932985835148
LoLy-11-08--139	2.55972749515314
LoLy-11-08--140	2.58685944580453
LoLy-11-08--141	2.56770753965891
LoLy-11-08--142	2.64584544584466
LoLy-11-08--143	2.6903684906753
LoLy-11-08--144	2.54916340124385
LoLy-11-08--145	2.26927907307539
LoLy-11-08--146	2.52685071686989
LoLy-11-08--147	2.5815656284444
LoLy-11-08--148	2.77971599125863
LoLy-11-08--149	2.50961036797695
LoLy-11-08--150	2.52382295101117
LoLy-11-08--151	2.41502865631863
LoLy-11-08--152	2.62798626666146
LoLy-11-08--153	2.64049168184406
LoLy-11-08--154	2.59402778294636
LoLy-11-08--155	2.45013425099757
LoLy-11-08--156	2.52402494450664
LoLy-11-08--157	2.46554247415906
LoLy-11-08--158	2.48680963557137
