Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-05--1	Be-10 (qtz)	14125	338	1170	13922	333	1099	14010	335	895	--	--	--
													
TM14-05--2	Be-10 (qtz)	13866	332	1148	13653	327	1078	13721	328	876	--	--	--
													
TM14-05--3	Be-10 (qtz)	14080	337	1166	13873	332	1096	13968	334	892	--	--	--
													
TM14-05--4	Be-10 (qtz)	13985	335	1158	13770	329	1087	13854	331	885	--	--	--
													
TM14-05--5	Be-10 (qtz)	14194	340	1175	13991	335	1105	14070	337	898	--	--	--
													
TM14-05--6	Be-10 (qtz)	13792	330	1142	13580	325	1072	13647	326	871	--	--	--
													
TM14-05--7	Be-10 (qtz)	14029	336	1162	13817	331	1091	13909	333	888	--	--	--
													
TM14-05--8	Be-10 (qtz)	13573	325	1124	13355	319	1054	13415	321	856	--	--	--
													
TM14-05--9	Be-10 (qtz)	13744	329	1138	13531	324	1068	13601	325	868	--	--	--
													
TM14-05--10	Be-10 (qtz)	14104	337	1168	13898	332	1098	13990	335	893	--	--	--
													
TM14-05--11	Be-10 (qtz)	13535	324	1121	13317	319	1052	13375	320	854	--	--	--
													
TM14-05--12	Be-10 (qtz)	14158	339	1172	13957	334	1102	14039	336	896	--	--	--
													
TM14-05--13	Be-10 (qtz)	14354	343	1189	14140	338	1117	14218	340	908	--	--	--
													
TM14-05--14	Be-10 (qtz)	13771	329	1140	13560	324	1071	13631	326	870	--	--	--
													
TM14-05--15	Be-10 (qtz)	13909	333	1152	13695	328	1081	13766	329	879	--	--	--
													
TM14-05--16	Be-10 (qtz)	13657	327	1131	13442	321	1061	13510	323	863	--	--	--
													
TM14-05--17	Be-10 (qtz)	13851	331	1147	13638	326	1077	13705	328	875	--	--	--
													
TM14-05--18	Be-10 (qtz)	13728	328	1137	13515	323	1067	13589	325	868	--	--	--
													
TM14-05--19	Be-10 (qtz)	14156	339	1172	13955	334	1102	14037	336	896	--	--	--
													
TM14-05--20	Be-10 (qtz)	13812	330	1144	13600	325	1074	13670	327	873	--	--	--
													
TM14-05--21	Be-10 (qtz)	14204	340	1176	14001	335	1106	14082	337	899	--	--	--
													
TM14-05--22	Be-10 (qtz)	13535	324	1121	13317	318	1051	13374	320	854	--	--	--
													
TM14-05--23	Be-10 (qtz)	13864	332	1148	13650	327	1078	13722	328	876	--	--	--
													
TM14-05--24	Be-10 (qtz)	13711	328	1135	13498	323	1066	13568	325	866	--	--	--
													
TM14-05--25	Be-10 (qtz)	13701	328	1134	13487	323	1065	13559	324	866	--	--	--
													
TM14-05--26	Be-10 (qtz)	13750	329	1139	13537	324	1069	13607	325	869	--	--	--
													
TM14-05--27	Be-10 (qtz)	13729	328	1137	13516	323	1067	13589	325	868	--	--	--
													
TM14-05--28	Be-10 (qtz)	14063	336	1165	13855	331	1094	13948	334	891	--	--	--
													
TM14-05--29	Be-10 (qtz)	13696	328	1134	13481	322	1065	13552	324	865	--	--	--
													
TM14-05--30	Be-10 (qtz)	14408	345	1193	14190	339	1121	14275	341	912	--	--	--
													
TM14-05--31	Be-10 (qtz)	13644	326	1130	13428	321	1060	13492	323	861	--	--	--
													
TM14-05--32	Be-10 (qtz)	14501	347	1201	14279	342	1128	14361	344	917	--	--	--
													
TM14-05--33	Be-10 (qtz)	14065	336	1165	13856	331	1094	13953	334	891	--	--	--
													
TM14-05--34	Be-10 (qtz)	13577	325	1124	13359	319	1055	13420	321	857	--	--	--
													
TM14-05--35	Be-10 (qtz)	13504	323	1118	13286	318	1049	13341	319	852	--	--	--
													
TM14-05--36	Be-10 (qtz)	13541	324	1121	13323	319	1052	13382	320	854	--	--	--
													
TM14-05--37	Be-10 (qtz)	14073	337	1165	13866	332	1095	13961	334	892	--	--	--
													
TM14-05--38	Be-10 (qtz)	14149	338	1172	13948	334	1101	14033	336	896	--	--	--
													
TM14-05--39	Be-10 (qtz)	14108	337	1168	13903	333	1098	13992	335	893	--	--	--
													
TM14-05--40	Be-10 (qtz)	14042	336	1163	13831	331	1092	13924	333	889	--	--	--
													
