Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-18--62	Be-10 (qtz)	14781	246	1198	14540	242	1121	14526	242	894	--	--	--
													
TM14-18--63	Be-10 (qtz)	14782	246	1198	14541	242	1121	14526	242	894	--	--	--
													
TM14-18--64	Be-10 (qtz)	14713	245	1192	14477	241	1116	14464	241	890	--	--	--
													
TM14-18--65	Be-10 (qtz)	14543	242	1178	14316	239	1104	14305	238	880	--	--	--
													
TM14-18--66	Be-10 (qtz)	14728	245	1193	14491	241	1117	14478	241	891	--	--	--
													
TM14-18--67	Be-10 (qtz)	14687	245	1190	14453	241	1114	14442	241	888	--	--	--
													
TM14-18--68	Be-10 (qtz)	14904	248	1208	14658	244	1130	14644	244	901	--	--	--
													
TM14-18--69	Be-10 (qtz)	14864	248	1204	14620	244	1127	14604	243	898	--	--	--
													
TM14-18--70	Be-10 (qtz)	14946	249	1211	14699	245	1133	14683	245	903	--	--	--
													
TM14-18--71	Be-10 (qtz)	14811	247	1200	14568	243	1123	14555	243	895	--	--	--
													
TM14-18--72	Be-10 (qtz)	14847	247	1203	14603	243	1126	14588	243	897	--	--	--
													
TM14-18--73	Be-10 (qtz)	14742	246	1194	14504	242	1118	14490	241	891	--	--	--
													
TM14-18--74	Be-10 (qtz)	15043	251	1219	14788	246	1140	14777	246	909	--	--	--
													
TM14-18--75	Be-10 (qtz)	14836	247	1202	14592	243	1125	14578	243	897	--	--	--
													
TM14-18--76	Be-10 (qtz)	14610	243	1184	14380	240	1109	14370	239	884	--	--	--
													
TM14-18--77	Be-10 (qtz)	14938	249	1210	14691	245	1133	14677	245	903	--	--	--
													
TM14-18--78	Be-10 (qtz)	14750	246	1195	14511	242	1119	14498	242	892	--	--	--
													
