Percentile	Sample_Name	PercentSnow	Age_yr
0.5	TM14-16	10	12906
0.841	TM14-16	10	13216
0.975	TM14-16	10	13522
0.025	TM14-17	10	13536
0.159	TM14-17	10	13786
0.5	TM14-17	10	14052
0.841	TM14-17	10	14327
0.975	TM14-17	10	14605
0.025	TM14-18	10	14308
0.159	TM14-18	10	14562
0.5	TM14-18	10	14832
0.841	TM14-18	10	15108
0.975	TM14-18	10	15381
0.025	UpLy-12-10	10	12467
0.159	UpLy-12-10	10	12757
0.5	UpLy-12-10	10	13083
0.841	UpLy-12-10	10	13413
0.975	UpLy-12-10	10	13719
0.025	C2-Boulder1	20	14233
0.159	C2-Boulder1	20	14496
0.5	C2-Boulder1	20	14789
0.841	C2-Boulder1	20	15097
0.975	C2-Boulder1	20	15399
0.025	C2-Boulder2	20	13138
0.159	C2-Boulder2	20	13507
0.5	C2-Boulder2	20	13907
0.841	C2-Boulder2	20	14324
0.975	C2-Boulder2	20	14743
0.025	LoLy-11-08	20	13639
0.159	LoLy-11-08	20	14029
0.5	LoLy-11-08	20	14445
0.841	LoLy-11-08	20	14871
0.975	LoLy-11-08	20	15292
0.025	LyCy-1	20	10988
0.159	LyCy-1	20	11495
0.5	LyCy-1	20	12031
0.841	LyCy-1	20	12578
0.975	LyCy-1	20	13116
0.025	LyCy-3	20	14007
0.159	LyCy-3	20	14624
0.5	LyCy-3	20	15266
0.841	LyCy-3	20	15911
0.975	LyCy-3	20	16535
0.025	LyCy-4	20	12643
0.159	LyCy-4	20	13359
0.5	LyCy-4	20	14107
0.841	LyCy-4	20	14860
0.975	LyCy-4	20	15589
0.025	LyCy-5	20	14441
0.159	LyCy-5	20	14922
0.5	LyCy-5	20	15424
0.841	LyCy-5	20	15932
0.975	LyCy-5	20	16426
0.025	TM14-01	20	13507
0.159	TM14-01	20	13780
0.5	TM14-01	20	14069
0.841	TM14-01	20	14363
0.975	TM14-01	20	14649
0.025	TM14-02	20	13124
0.159	TM14-02	20	13404
0.5	TM14-02	20	13705
0.841	TM14-02	20	14014
0.975	TM14-02	20	14316
0.025	TM14-03	20	14028
0.159	TM14-03	20	14353
0.5	TM14-03	20	14697
0.841	TM14-03	20	15047
0.975	TM14-03	20	15389
0.025	TM14-04	20	12657
0.159	TM14-04	20	12915
0.5	TM14-04	20	13182
0.841	TM14-04	20	13441
0.975	TM14-04	20	13681
0.025	TM14-05	20	12256
0.159	TM14-05	20	12601
0.5	TM14-05	20	12965
0.841	TM14-05	20	13330
0.975	TM14-05	20	13679
0.025	TM14-06	20	13273
0.159	TM14-06	20	13566
0.5	TM14-06	20	13890
0.841	TM14-06	20	14229
0.975	TM14-06	20	14564
0.025	TM14-07	20	14994
0.159	TM14-07	20	15300
0.5	TM14-07	20	15633
0.841	TM14-07	20	15988
0.975	TM14-07	20	16353
0.025	TM14-11	20	12403
0.159	TM14-11	20	12704
0.5	TM14-11	20	13035
0.841	TM14-11	20	13382
0.975	TM14-11	20	13725
0.025	TM14-12	20	14590
0.159	TM14-12	20	14879
0.5	TM14-12	20	15189
0.841	TM14-12	20	15513
0.975	TM14-12	20	15841
0.025	TM14-13	20	20008
0.159	TM14-13	20	20502
0.5	TM14-13	20	21040
0.841	TM14-13	20	21610
0.975	TM14-13	20	22182
0.025	TM14-15	20	13877
0.159	TM14-15	20	14114
0.5	TM14-15	20	14365
0.841	TM14-15	20	14621
0.975	TM14-15	20	14878
0.025	TM14-16	20	12330
0.159	TM14-16	20	12603
0.5	TM14-16	20	12896
0.841	TM14-16	20	13200
0.975	TM14-16	20	13505
0.025	TM14-17	20	13531
0.159	TM14-17	20	13779
0.5	TM14-17	20	14041
0.841	TM14-17	20	14311
0.975	TM14-17	20	14579
0.025	TM14-18	20	14312
0.159	TM14-18	20	14565
0.5	TM14-18	20	14833
0.841	TM14-18	20	15110
0.975	TM14-18	20	15386
0.025	UpLy-12-10	20	12473
0.159	UpLy-12-10	20	12761
0.5	UpLy-12-10	20	13083
