Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_diff_cm	Avg_diff_SD	Avg_diff_n	Avg_SWE_m	SWE_m_SD	SWE_n	Cor_SWEvsElevation	Cor_SWEvsInsolation	R_squared
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	August	657.89						0	0.374868816434567	-0.0330745193046189	0.141307278897059
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	September	495.58						0	0.0902117095102845	0.37718412070553	0.00403976867041546
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	October	315.1						0	0.665146076526165	0.0475245249724105	0.454910605867191
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	November	194.92						0	0.685296017450218	-0.0332400777694348	0.489425115421562
BEM	Bell Meadow	38.167	-119.942	6500	1980	Tuolumne	MONTHLY	December	153.67						0	0.520576548712945	-0.0638088590520588	0.246458088996122
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	January	231.22				0.0797848848027926		1	0.226860524027306	0.0164965881632034	0.121184362015554
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	February	308.54				0.487349209699194		38	0.212580840916089	0.0624046104174903	0.038777645161961
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	March	503				0.565621468029048		43	0.193057491557799	0.000970126669397888	0.0286103483667989
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	April	632.37				0.544986473221053		78	0.355143053243069	-0.0123946530632691	0.121152586735371
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	May	752.4				0.116181124486416		68	0.538642056595992	0.183649261803028	0.538334349925135
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	June	761.02						0	0.518287894485839	-0.268750650545776	0.270694396378618
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	July	769.63						0	0.360980358360112	-0.0894020404911492	0.117038051032853
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	August	690.65						0	0.374868816434567	-0.0330745193046189	0.141307278897059
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	September	549.41						0	0.0902117095102845	0.37718412070553	0.00403976867041546
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	October	372.49						0	0.665146076526165	0.0475245249724105	0.454910605867191
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	November	244.97						0	0.685296017450218	-0.0332400777694348	0.489425115421562
BHV	Beehive Meadow	37.995	-119.78	6500	1980	Tuolumne	MONTHLY	December	199.03						0	0.520576548712945	-0.0638088590520588	0.246458088996122
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	January	220.58						0	0.226860524027306	0.0164965881632034	0.121184362015554
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	February	300.52				0.689400813633946		34	0.212580840916089	0.0624046104174903	0.038777645161961
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	March	505.73				0.9032668372797		41	0.193057491557799	0.000970126669397888	0.0286103483667989
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	April	657.81				1.02051061886883		61	0.355143053243069	-0.0123946530632691	0.121152586735371
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	May	805.01				0.902013294282196		23	0.538642056595992	0.183649261803028	0.538334349925135
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	June	823.98						0	0.518287894485839	-0.268750650545776	0.270694396378618
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	July	828.23						0	0.360980358360112	-0.0894020404911492	0.117038051032853
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	August	725.45						0	0.374868816434567	-0.0330745193046189	0.141307278897059
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	September	557.79						0	0.0902117095102845	0.37718412070553	0.00403976867041546
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	October	365.83						0	0.665146076526165	0.0475245249724105	0.454910605867191
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	November	234.71						0	0.685296017450218	-0.0332400777694348	0.489425115421562
BNP	Bond Pass	38.178	-119.623	9300	2830	Tuolumne	MONTHLY	December	188.97						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	January	214.39				0.0796559485352567		2	0.226860524027306	0.0164965881632034	0.121184362015554
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	February	293.09				0.397285613545479		14	0.212580840916089	0.0624046104174903	0.038777645161961
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	March	495.72				0.389414431448449		11	0.193057491557799	0.000970126669397888	0.0286103483667989
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	April	648.29				0.465121506413402		58	0.355143053243069	-0.0123946530632691	0.121152586735371
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	May	795.74				0.325391254156599		7	0.538642056595992	0.183649261803028	0.538334349925135
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	June	816.1						0	0.518287894485839	-0.268750650545776	0.270694396378618
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	July	819.2						0	0.360980358360112	-0.0894020404911492	0.117038051032853
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	August	716.12						0	0.374868816434567	-0.0330745193046189	0.141307278897059
