Years_B1950	Depth_cm	Opal_percent
16661.6	1616.5	9.5
16708.2	1621.5	9.3
16754.8	1626.5	8.9
16801.3	1631.5	9.5
16847.9	1636.5	9.3
16894.5	1641.5	8.9
16912.7	1646.5	9.6
16934.5	1652.5	11
16949.1	1656.5	9.6
16967.2	1661.5	12.2
16985.4	1666.5	14.6
17003.6	1671.5	18.6
17021.8	1676.5	24.4
17036.4	1680.5	17.2
17060	1688.5	10
17070.9	1691.5	11.2
17089.1	1696.5	12.5
17107.3	1701.5	27.7
17125.5	1706.5	28
17143.7	1711.5	34.4
17161.8	1716.5	25.7
17180	1721.5	23.5
17198.2	1726.5	12.2
17216.4	1731.5	48.6
17234.6	1736.5	10.7
17252.8	1741.5	24.6
17271	1746.5	22.7
17289.2	1751.5	34
17307.3	1756.5	21.9
17325.5	1761.5	15.8
17343.7	1766.5	19.5
17361.9	1771.5	31.3
17380.1	1776.5	38
17398.3	1781.5	32.3
17416.5	1786.5	22.4
17434.6	1791.5	13.2
17452.8	1796.5	18.7
17496.5	1884.5	18.5
17518.3	1890.5	19.1
17536.5	1895.5	20.7
17551	1899.5	24.7
17572.9	1906.5	23.5
17593.2	1913.5	16
17636.9	2002.5	25.7
17651.4	2006.5	27.7
17673.3	2012.5	11.1
17687.8	2016.5	19.2
17706	2021.5	20.6
17724.2	2026.5	17.5
17742.4	2031.5	20.7
17760.5	2036.5	7.5
17771.5	2039.5	18
17790.4	2056.5	18.5
17804.9	2060.5	28.8
17863.1	2088.5	18.7
17890.4	2097.5	13.3
17900.6	2131	23.4
17970.4	2286.5	23.8
17988.6	2291.5	23.5
18006.8	2296.5	24.5
18025	2301.5	25.6
18043.2	2306.5	26.7
18061.4	2311.5	25
18079.5	2316.5	25.6
18097.7	2321.5	22.1
18115.9	2326.5	27
18134.1	2331.5	23.3
18152.3	2336.5	19.5
18170.5	2341.5	29.7
18188.7	2346.5	23.2
18206.9	2351.5	32.3
18225	2356.5	15.4
18243.2	2361.5	23
18261.4	2366.5	27.2
18283.2	2372.5	24.6
18297.8	2376.5	27.4
18316	2381.5	25
18334.2	2386.5	28.7
18352.3	2391.5	31.8
18370.5	2396.5	24.4
18388.7	2401.5	19.7
18406.9	2406.5	25.5
18425.1	2411.5	21.8
18443.3	2416.5	25
18461.5	2421.5	30.4
18497.8	2431.5	31.6
18516	2436.5	27.2
18534.2	2441.5	20.7
18552.4	2446.5	27.4
18570.6	2451.5	25
18588.8	2456.5	23.9
18607	2461.5	26
18625.1	2466.5	27.7
18643.3	2471.5	23.8
18661.5	2476.5	25.6
18679.7	2481.5	19.2
18697.9	2486.5	24.5
18734.3	2496.5	25.7
18754.3	2502.5	16.4
18768.8	2506.5	18.5
18787	2511.5	23.3
18805.2	2516.5	25.6
18823.4	2521.5	27.8
18841.6	2526.5	27.9
18877.9	2536.5	26.9
18896.1	2541.5	32.2
18914.3	2546.5	25.3
18932.5	2551.5	24.1
18952.5	2556.5	20.4
18972.6	2561.5	21.7
18992.6	2566.5	24.9
19012.7	2571.5	22.5
19068.8	2586.5	29.9
19088.8	2591.5	25.2
19108.9	2596.5	25.2
19128.9	2601.5	25.3
19148.9	2606.5	22.1
19169	2611.5	26.7
19189	2616.5	29.4
19209.1	2621.5	22.7
19229.1	2626.5	29.3
19249.1	2631.5	25.5
19269.2	2636.5	11.9
19289.2	2641.5	24.6
19309.3	2646.5	25.4
