Sample_Name	PercentSnow	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr
TM14-11	111	14627	291	924
TM14-12	111	15682	271	979
TM14-13	111	23150	481	1481
TM14-15	111	15445	242	946
TM14-16	111	14173	274	883
TM14-17	111	15286	267	944
TM14-18	111	15308	252	941
C2-Boulder1	112	15299	208	942
C2-Boulder2	112	15617	370	1008
UpLy-12-10	112	14822	232	919
LoLy-11-08	112	14554	358	944
TM14-01	112	16178	271	996
TM14-02	112	14660	247	902
TM14-03	112	14805	301	927
TM14-04	112	14548	218	889
TM14-05	112	14361	341	916
TM14-06	112	14645	255	915
TM14-07	112	16453	287	1029
TM14-11	112	14643	291	925
TM14-12	112	15703	272	981
TM14-13	112	23143	481	1481
TM14-15	112	15453	242	947
TM14-16	112	14195	275	884
TM14-17	112	15312	268	946
TM14-18	112	15338	252	943
C2-Boulder1	113	15307	208	942
C2-Boulder2	113	15638	371	1010
UpLy-12-10	113	14843	232	920
LoLy-11-08	113	14560	359	944
TM14-01	113	16197	271	997
TM14-02	113	14679	247	904
TM14-03	113	14811	301	927
TM14-04	113	14574	218	890
TM14-05	113	14362	341	916
TM14-06	113	14661	255	916
TM14-07	113	16477	287	1031
TM14-11	113	14657	292	926
TM14-12	113	15704	272	981
TM14-13	113	23202	482	1484
TM14-15	113	15470	242	948
TM14-16	113	14201	275	885
TM14-17	113	15314	268	946
TM14-18	113	15337	252	943
C2-Boulder1	114	15307	208	942
C2-Boulder2	114	15642	371	1010
UpLy-12-10	114	14841	232	920
LoLy-11-08	114	14563	359	944
TM14-01	114	16221	272	999
TM14-02	114	14704	248	905
TM14-03	114	14814	301	928
TM14-04	114	14591	219	891
TM14-05	114	14391	342	918
TM14-06	114	14676	256	917
TM14-07	114	16486	287	1031
TM14-11	114	14697	293	928
TM14-12	114	15721	272	982
TM14-13	114	23200	482	1484
TM14-15	114	15484	243	949
TM14-16	114	14222	275	886
TM14-17	114	15346	268	948
TM14-18	114	15364	253	944
C2-Boulder1	115	15337	209	944
C2-Boulder2	115	15674	372	1012
UpLy-12-10	115	14874	233	922
LoLy-11-08	115	14564	359	944
TM14-01	115	16248	272	1000
TM14-02	115	14711	248	906
TM14-03	115	14818	301	928
TM14-04	115	14613	219	893
TM14-05	115	14401	342	919
TM14-06	115	14692	256	918
TM14-07	115	16518	288	1033
TM14-11	115	14695	292	928
TM14-12	115	15755	272	984
TM14-13	115	23245	483	1487
TM14-15	115	15502	243	950
TM14-16	115	14267	276	889
TM14-17	115	15356	268	948
TM14-18	115	15366	253	944
C2-Boulder1	116	15346	209	945
C2-Boulder2	116	15681	372	1012
UpLy-12-10	116	14876	233	922
LoLy-11-08	116	14567	359	944
TM14-01	116	16276	273	1002
TM14-02	116	14734	248	907
TM14-03	116	14820	301	928
TM14-04	116	14620	219	893
TM14-05	116	14411	342	919
TM14-06	116	14699	256	918
TM14-07	116	16532	288	1034
TM14-11	116	14697	293	928
TM14-12	116	15751	272	984
TM14-13	116	23314	485	1492
TM14-15	116	15525	243	951
TM14-16	116	14276	276	889
TM14-17	116	15376	269	950
TM14-18	116	15385	253	946
C2-Boulder1	120	15418	210	949
C2-Boulder2	120	15792	375	1020
UpLy-12-10	120	14958	234	927
LoLy-11-08	120	14580	359	945
TM14-01	120	16355	274	1007
TM14-02	120	14768	249	909
TM14-03	120	14831	302	929
TM14-04	120	14683	220	897
TM14-05	120	14480	344	924
TM14-06	120	14750	257	921
TM14-07	120	16585	289	1038
TM14-11	120	14782	294	934
TM14-12	120	15794	273	987
TM14-13	120	23416	487	1498
TM14-15	120	15584	244	955
TM14-16	120	14332	277	893
TM14-17	120	15446	270	954
TM14-18	120	15436	254	949
C2-Boulder1	125	15468	210	952
C2-Boulder2	125	15901	377	1027
UpLy-12-10	125	15056	236	934
LoLy-11-08	125	14602	360	947
TM14-01	125	16449	276	1013
TM14-02	125	14854	250	914
TM14-03	125	14844	302	929
TM14-04	125	14778	222	903
TM14-05	125	14551	346	928
TM14-06	125	14824	258	926
TM14-07	125	16676	291	1043
TM14-11	125	14864	296	939
TM14-12	125	15860	274	991
TM14-13	125	23554	490	1508
TM14-15	125	15669	245	960
TM14-16	125	14406	279	897
TM14-17	125	15532	271	959
TM14-18	125	15504	255	953
C2-Boulder1	130	15555	212	958
C2-Boulder2	130	16018	380	1035
UpLy-12-10	130	15126	237	938
LoLy-11-08	130	14627	360	948
TM14-01	130	16571	278	1020
TM14-02	130	14911	251	918
TM14-03	130	14862	302	931
TM14-04	130	14844	223	907
TM14-05	130	14651	348	935
TM14-06	130	14887	259	930
TM14-07	130	16784	293	1050
TM14-11	130	14951	298	945
TM14-12	130	15967	276	998
TM14-13	130	23678	492	1516
TM14-15	130	15754	247	965
TM14-16	130	14514	281	904
TM14-17	130	15614	273	964
TM14-18	130	15575	256	957
C2-Boulder1	135	15642	213	963
C2-Boulder2	135	16146	383	1043
UpLy-12-10	135	15235	239	945
LoLy-11-08	135	14653	361	950
TM14-01	135	16688	280	1027
TM14-02	135	14994	252	923
TM14-03	135	14881	303	932
TM14-04	135	14928	224	912
TM14-05	135	14732	350	940
TM14-06	135	14940	260	933
TM14-07	135	16876	294	1056
TM14-11	135	15031	299	950
TM14-12	135	16025	277	1001
TM14-13	135	23829	496	1526
TM14-15	135	15859	248	972
TM14-16	135	14576	282	908
TM14-17	135	15711	275	970
TM14-18	135	15665	258	963
C2-Boulder1	140	15753	214	970
C2-Boulder2	140	16258	386	1050
UpLy-12-10	140	15353	241	952
LoLy-11-08	140	14689	362	952
TM14-01	140	16831	282	1036
TM14-02	140	15039	253	926
TM14-03	140	14908	303	933
TM14-04	140	15000	225	916
TM14-05	140	14806	352	945
TM14-06	140	14987	261	936
TM14-07	140	16946	296	1061
TM14-11	140	15095	301	954
TM14-12	140	16108	279	1006
TM14-13	140	23992	499	1536
TM14-15	140	15949	250	977
TM14-16	140	14658	284	913
TM14-17	140	15799	276	976
TM14-18	140	15712	258	966
C2-Boulder1	141	15730	214	969
C2-Boulder2	141	16268	386	1051
UpLy-12-10	141	15336	240	951
LoLy-11-08	141	14691	362	953
TM14-01	141	16826	282	1036
TM14-02	141	15035	253	926
TM14-03	141	14918	303	934
TM14-04	141	15000	225	916
TM14-05	141	14813	352	945
TM14-06	141	15013	261	938
TM14-07	141	16982	296	1063
TM14-11	141	15109	301	955
TM14-12	141	16138	279	1008
TM14-13	141	23992	499	1536
TM14-15	141	15973	250	979
TM14-16	141	14710	285	916
TM14-17	141	15821	277	977
TM14-18	141	15734	259	967
C2-Boulder1	142	15749	214	970
C2-Boulder2	142	16279	386	1052
UpLy-12-10	142	15419	242	957
LoLy-11-08	142	14691	362	953
TM14-01	142	16838	282	1037
TM14-02	142	15082	254	929
TM14-03	142	14914	303	934
TM14-04	142	15030	225	918
TM14-05	142	14841	353	947
TM14-06	142	15022	262	939
TM14-07	142	16988	296	1063
TM14-11	142	15107	301	955
TM14-12	142	16150	279	1009
TM14-13	142	24062	501	1541
TM14-15	142	15973	250	979
TM14-16	142	14720	285	917
TM14-17	142	15831	277	978
TM14-18	142	15768	259	969
C2-Boulder1	143	15774	215	971
C2-Boulder2	143	16316	387	1054
UpLy-12-10	143	15412	241	956
LoLy-11-08	143	14700	362	953
TM14-01	143	16866	283	1038
TM14-02	143	15078	254	928
TM14-03	143	14923	304	934
TM14-04	143	15028	225	918
TM14-05	143	14854	353	948
TM14-06	143	15041	262	940
TM14-07	143	17027	297	1066
TM14-11	143	15143	302	957
TM14-12	143	16171	280	1010
TM14-13	143	24068	501	1541
TM14-15	143	16007	251	981
TM14-16	143	14745	285	919
TM14-17	143	15864	277	980
TM14-18	143	15756	259	969
C2-Boulder1	144	15781	215	972
C2-Boulder2	144	16332	388	1055
UpLy-12-10	144	15420	242	957
LoLy-11-08	144	14706	362	954
TM14-01	144	16909	283	1041
TM14-02	144	15103	254	930
TM14-03	144	14922	304	934
TM14-04	144	15051	226	919
TM14-05	144	14856	353	948
TM14-06	144	15051	262	940
TM14-07	144	17011	297	1065
TM14-11	144	15138	301	957
TM14-12	144	16204	280	1013
TM14-13	144	24051	500	1540
TM14-15	144	16008	251	981
TM14-16	144	14748	285	919
TM14-17	144	15874	277	980
TM14-18	144	15808	260	972
C2-Boulder1	145	15825	215	974
C2-Boulder2	145	16352	388	1057
UpLy-12-10	145	15441	242	958
LoLy-11-08	145	14713	362	954
TM14-01	145	16930	284	1042
TM14-02	145	15088	254	929
TM14-03	145	14928	304	935
TM14-04	145	15083	226	921
TM14-05	145	14900	354	951
TM14-06	145	15055	262	941
TM14-07	145	17038	297	1066
TM14-11	145	15195	303	960
TM14-12	145	16199	280	1012
TM14-13	145	24153	503	1547
TM14-15	145	16031	251	982
TM14-16	145	14762	286	920
TM14-17	145	15920	278	983
TM14-18	145	15808	260	972
C2-Boulder1	160	16075	219	990
C2-Boulder2	160	16641	395	1076
UpLy-12-10	160	15758	247	978
LoLy-11-08	160	14803	365	960
TM14-01	160	17258	289	1063
TM14-02	160	15338	258	944
TM14-03	160	15009	305	940
TM14-04	160	15301	229	935
TM14-05	160	15102	359	964
TM14-06	160	15282	266	955
TM14-07	160	17279	301	1082
TM14-11	160	15441	308	976
TM14-12	160	16425	284	1027
TM14-13	160	24557	511	1573
TM14-15	160	16295	255	999
TM14-16	160	14980	290	933
TM14-17	160	16210	283	1001
TM14-18	160	16083	264	989
C2-Boulder1	180	16440	224	1013
C2-Boulder2	180	17091	406	1105
UpLy-12-10	180	16186	254	1005
LoLy-11-08	180	14952	368	970
TM14-01	180	17726	297	1092
TM14-02	180	15618	263	962
TM14-03	180	15145	308	948
TM14-04	180	15625	234	955
TM14-05	180	15397	366	983
TM14-06	180	15535	271	971
TM14-07	180	17649	308	1105
TM14-11	180	15800	315	999
TM14-12	180	16720	289	1045
TM14-13	180	25092	523	1609
TM14-15	180	16640	261	1020
TM14-16	180	15283	296	952
TM14-17	180	16509	289	1020
TM14-18	180	16373	269	1007
C2-Boulder1	200	16811	229	1036
C2-Boulder2	200	17494	416	1132
UpLy-12-10	200	16553	260	1028
LoLy-11-08	200	15103	372	980
TM14-01	200	18139	304	1117
TM14-02	200	15913	268	980
TM14-03	200	15309	311	959
TM14-04	200	15970	239	976
